ANADIA-AL,,AL,,,"149,96",,,,,,,-,,,,,,"149,96",,,,,"149,96",,,,,,,,,,,
ATALAIA-AL,,AL,,,"187,45",,,,,,,-,,,,,,"187,45",,,,,"187,45",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
BOCA DA MATA-AL,,AL,,,"162,46",,,,,,,-,,,,,,"162,46",,,,,"162,46",,,,,,,,,,,
BRANQUINHA-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
CAJUEIRO-AL,,AL,,,"149,96",,,,,,,-,,,,,,"149,96",,,,,"149,96",,,,,,,,,,,
CAMPESTRE-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
CAMPO ALEGRE-AL,,AL,,,"187,45",,,,,,,-,,,,,,"187,45",,,,,"187,45",,,,,,,,,,,
CAPELA-AL,,AL,,,"162,46",,,,,,,-,,,,,,"162,46",,,,,"162,46",,,,,,,,,,,
CHA PRETA-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,AL,,,"149,96",,,,,,,-,,,,,,"149,96",,,,,"149,96",,,,,,,,,,,
COQUEIRO SECO-AL,,AL,,,"5.896,90",,,,,,,"547,11",,,,,,"6.444,01",,,,,"6.444,01",,,,,,,,,,,
CORURIPE-AL,,AL,,,"12.132,37",,,,,,,"6.213,36",,,,,,"18.345,73",,,,,"18.345,73",,,,,,,,,,,
FELIZ DESERTO-AL,,AL,,,"4.403,41",,,,,,,"6.035,43",,,,,,"10.438,84",,,,,"10.438,84",,,,,,,,,,,
FLEXEIRAS-AL,,AL,,,"137,46",,,,,,,-,,,,,,"137,46",,,,,"137,46",,,,,,,,,,,
IBATEGUARA-AL,,AL,,,"143,71",,,,,,,-,,,,,,"143,71",,,,,"143,71",,,,,,,,,,,
IGREJA NOVA-AL,,AL,,,"156,21",,,,,,,-,,,,,,"156,21",,,,,"156,21",,,,,,,,,,,
JACUIPE-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
JAPARATINGA-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
JOAQUIM GOMES-AL,,AL,,,"156,21",,,,,,,-,,,,,,"156,21",,,,,"156,21",,,,,,,,,,,
JUNDIA-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
JUNQUEIRO-AL,,AL,,,"162,46",,,,,,,-,,,,,,"162,46",,,,,"162,46",,,,,,,,,,,
MACEIO-AL,,AL,,,"6.750,56",,,,,,,"2.749,74",,,,,,"9.500,30",,,,,"9.500,30",,,,,,,,,,,
MARAGOGI-AL,,AL,,,"149,96",,,,,,,-,,,,,,"149,96",,,,,"149,96",,,,,,,,,,,
MARECHAL DEODORO-AL,,AL,,,"11.178,89",,,,,,,"3.656,23",,,,,,"14.835,12",,,,,"14.835,12",,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,AL,,,"162,46",,,,,,,-,,,,,,"162,46",,,,,"162,46",,,,,,,,,,,
MESSIAS-AL,,AL,,,"131,22",,,,,,,-,,,,,,"131,22",,,,,"131,22",,,,,,,,,,,
MURICI-AL,,AL,,,"162,46",,,,,,,-,,,,,,"162,46",,,,,"162,46",,,,,,,,,,,
NOVO LINO-AL,,AL,,,"131,22",,,,,,,-,,,,,,"131,22",,,,,"131,22",,,,,,,,,,,
PARIPUEIRA-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,AL,,,"137,46",,,,,,,-,,,,,,"137,46",,,,,"137,46",,,,,,,,,,,
PENEDO-AL,,AL,,,"199,95",,,,,,,-,,,,,,"199,95",,,,,"199,95",,,,,,,,,,,
PIACABUCU-AL,,AL,,,"5.151,07",,,,,,,-,,,,,,"5.151,07",,,,,"5.151,07",,,,,,,,,,,
PILAR-AL,,AL,,,"22.105,30",,,,,,,"9.610,87",,,,,,"31.716,17",,,,,"31.716,17",,,,,,,,,,,
PINDOBA-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
PORTO CALVO-AL,,AL,,,"168,71",,,,,,,-,,,,,,"168,71",,,,,"168,71",,,,,,,,,,,
PORTO DE PEDRAS-AL,,AL,,,"131,22",,,,,,,-,,,,,,"131,22",,,,,"131,22",,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,AL,,,"149,96",,,,,,,-,,,,,,"149,96",,,,,"149,96",,,,,,,,,,,
RIO LARGO-AL,,AL,,,"206,20",,,,,,,-,,,,,,"206,20",,,,,"206,20",,,,,,,,,,,
ROTEIRO-AL,,AL,,,"215,02",,,,,,,"60,83",,,,,,"275,85",,,,,"275,85",,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,AL,,,"5.183,10",,,,,,,"353,27",,,,,,"5.536,37",,,,,"5.536,37",,,,,,,,,,,
SANTANA DO MUNDAU-AL,,AL,,,"137,46",,,,,,,-,,,,,,"137,46",,,,,"137,46",,,,,,,,,,,
SAO JOSE DA LAJE-AL,,AL,,,"162,46",,,,,,,-,,,,,,"162,46",,,,,"162,46",,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,AL,,,"174,96",,,,,,,-,,,,,,"174,96",,,,,"174,96",,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,AL,,,"21.683,36",,,,,,,"6.563,34",,,,,,"28.246,70",,,,,"28.246,70",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,AL,,,"124,97",,,,,,,-,,,,,,"124,97",,,,,"124,97",,,,,,,,,,,
