ANADIA-AL,,,,,AL,,,,"478,77",,,,-,,,,,,,"478,77",,,,,,,"4.399,69",,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"618,41",,,,-,,,,,,,"618,41",,,,,,,"5.519,98",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"418,97",,,,-,,,,,,,"418,97",,,,,,,"3.686,68",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"399,01",,,,-,,,,,,,"399,01",,,,,,,"3.666,72",,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"538,65",,,,-,,,,,,,"538,65",,,,,,,"4.786,45",,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"418,97",,,,-,,,,,,,"418,97",,,,,,,"3.686,68",,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"498,73",,,,-,,,,,,,"498,73",,,,,,,"4.419,65",,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"399,01",,,,-,,,,,,,"399,01",,,,,,,"3.666,72",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"618,41",,,,-,,,,,,,"618,41",,,,,,,"5.519,98",,,,,,,,,,
CAPELA-AL,,,,,AL,,,,"498,73",,,,-,,,,,,,"498,73",,,,,,,"4.746,53",,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"399,01",,,,-,,,,,,,"399,01",,,,,,,"3.666,72",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"478,77",,,,-,,,,,,,"478,77",,,,,,,"4.399,69",,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"399,01",,,,-,,,,,,,"399,01",,,,,,,"3.666,72",,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"48.524,13",,,,"20.776,29",,,,,,,"69.300,42",,,,,,,"615.838,99",,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"14.214,17",,,,"19.864,23",,,,,,,"34.078,40",,,,,,,"307.018,91",,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"438,92",,,,-,,,,,,,"438,92",,,,,,,"4.032,95",,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"458,82",,,,-,,,,,,,"458,82",,,,,,,"4.216,58",,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"518,68",,,,-,,,,,,,"518,68",,,,,,,"4.603,32",,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,"399,01",,,,-,,,,,,,"399,01",,,,,,,"3.666,72",,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"399,01",,,,-,,,,,,,"399,01",,,,,,,"3.666,72",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,"438,92",,,,-,,,,,,,"438,92",,,,,,,"438,92",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"518,68",,,,-,,,,,,,"518,68",,,,,,,"4.603,32",,,,,,,,,,
JUNDIA-AL,,,,,AL,,,,"399,01",,,,-,,,,,,,"399,01",,,,,,,"3.666,72",,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"518,68",,,,-,,,,,,,"518,68",,,,,,,"4.766,48",,,,,,,,,,
MACEIO-AL,,,,,AL,,,,"28.368,65",,,,"17.796,14",,,,,,,"46.164,79",,,,,,,"401.188,35",,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,"518,68",,,,-,,,,,,,"518,68",,,,,,,"4.439,60",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"63.343,53",,,,"35.253,08",,,,,,,"98.596,61",,,,,,,"829.070,70",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,"518,68",,,,-,,,,,,,"518,68",,,,,,,"4.766,48",,,,,,,,,,
MESSIAS-AL,,,,,AL,,,,"418,97",,,,-,,,,,,,"418,97",,,,,,,"3.849,84",,,,,,,,,,
