ANADIA-AL,,,,AL,,,,"200,59",,,,,,-,,,,,,"200,59",,,,,,,,"963,34",,,,,,,,,
ATALAIA-AL,,,,AL,,,,"250,74",,,,,,-,,,,,,"250,74",,,,,,,,"1.204,17",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"217,30",,,,,,-,,,,,,"217,30",,,,,,,,"1.043,62",,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"200,59",,,,,,-,,,,,,"200,59",,,,,,,,"963,34",,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"250,74",,,,,,-,,,,,,"250,74",,,,,,,,"1.204,17",,,,,,,,,
CAPELA-AL,,,,AL,,,,"217,30",,,,,,-,,,,,,"217,30",,,,,,,,"1.043,62",,,,,,,,,
CHA PRETA-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"200,59",,,,,,-,,,,,,"200,59",,,,,,,,"963,34",,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"9.135,18",,,,,,"943,56",,,,,,"10.078,74",,,,,,,,"46.590,50",,,,,,,,,
CORURIPE-AL,,,,AL,,,,"18.661,95",,,,,,"8.437,33",,,,,,"27.099,28",,,,,,,,"126.920,86",,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"5.889,94",,,,,,"8.072,90",,,,,,"13.962,84",,,,,,,,"67.058,09",,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"183,87",,,,,,-,,,,,,"183,87",,,,,,,,"883,05",,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,"192,23",,,,,,-,,,,,,"192,23",,,,,,,,"923,19",,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"208,95",,,,,,-,,,,,,"208,95",,,,,,,,"1.003,48",,,,,,,,,
JACUIPE-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,"208,95",,,,,,-,,,,,,"208,95",,,,,,,,"1.003,48",,,,,,,,,
JUNDIA-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,"217,30",,,,,,-,,,,,,"217,30",,,,,,,,"1.043,62",,,,,,,,,
MACEIO-AL,,,,AL,,,,"11.268,35",,,,,,"13.851,78",,,,,,"25.120,13",,,,,,,,"102.449,03",,,,,,,,,
MARAGOGI-AL,,,,AL,,,,"200,59",,,,,,-,,,,,,"200,59",,,,,,,,"963,34",,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,"20.603,81",,,,,,"8.312,22",,,,,,"28.916,03",,,,,,,,"116.684,06",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,"217,30",,,,,,-,,,,,,"217,30",,,,,,,,"1.043,62",,,,,,,,,
MESSIAS-AL,,,,AL,,,,"175,51",,,,,,-,,,,,,"175,51",,,,,,,,"842,91",,,,,,,,,
MURICI-AL,,,,AL,,,,"217,30",,,,,,-,,,,,,"217,30",,,,,,,,"1.043,62",,,,,,,,,
NOVO LINO-AL,,,,AL,,,,"175,51",,,,,,-,,,,,,"175,51",,,,,,,,"842,91",,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,"183,87",,,,,,-,,,,,,"183,87",,,,,,,,"883,05",,,,,,,,,
PENEDO-AL,,,,AL,,,,"267,45",,,,,,-,,,,,,"267,45",,,,,,,,"1.284,46",,,,,,,,,
PIACABUCU-AL,,,,AL,,,,"9.160,09",,,,,,-,,,,,,"9.160,09",,,,,,,,"41.319,81",,,,,,,,,
PILAR-AL,,,,AL,,,,"41.350,50",,,,,,"20.886,42",,,,,,"62.236,92",,,,,,,,"233.925,86",,,,,,,,,
PINDOBA-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,"225,66",,,,,,-,,,,,,"225,66",,,,,,,,"1.083,77",,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,"175,51",,,,,,-,,,,,,"175,51",,,,,,,,"842,91",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,"200,59",,,,,,-,,,,,,"200,59",,,,,,,,"963,34",,,,,,,,,
RIO LARGO-AL,,,,AL,,,,"275,81",,,,,,-,,,,,,"275,81",,,,,,,,"1.324,61",,,,,,,,,
ROTEIRO-AL,,,,AL,,,,"355,34",,,,,,"121,46",,,,,,"476,80",,,,,,,,"2.088,76",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,"9.135,02",,,,,,"943,52",,,,,,"10.078,54",,,,,,,,"45.078,96",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,"183,87",,,,,,-,,,,,,"183,87",,,,,,,,"883,05",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,"217,30",,,,,,-,,,,,,"217,30",,,,,,,,"1.043,62",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,"234,02",,,,,,-,,,,,,"234,02",,,,,,,,"1.123,90",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,"30.478,06",,,,,,"11.269,60",,,,,,"41.747,66",,,,,,,,"200.723,65",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,"167,16",,,,,,-,,,,,,"167,16",,,,,,,,"802,79",,,,,,,,,
SATUBA-AL,,,,AL,,,,"4.450,90",,,,,,"2.753,33",,,,,,"7.204,23",,,,,,,,"33.490,51",,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,"242,38",,,,,,-,,,,,,"242,38",,,,,,,,"1.164,04",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,"267,45",,,,,,-,,,,,,"267,45",,,,,,,,"1.284,46",,,,,,,,,
VICOSA-AL,,,,AL,,,,"225,66",,,,,,-,,,,,,"225,66",,,,,,,,"1.083,77",,,,,,,,,
COARI-AM,,,,AM,,,,"265.496,50",,,,,,"199.622,86",,,,,,"465.119,36",,,,,,,,"2.090.548,09",,,,,,,,,
CODAJAS-AM,,,,AM,,,,-,,,,,,-,,,,,,-,,,,,,,,"37.053,96",,,,,,,,,
MANAUS-AM,,,,AM,,,,"8.967,86",,,,,,"47.147,01",,,,,,"56.114,87",,,,,,,,"274.700,26",,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,"14,93",,,,,,-,,,,,,"14,93",,,,,,,,"69,17",,,,,,,,,
ADUSTINA-BA,,,,BA,,,,"14,26",,,,,,-,,,,,,"14,26",,,,,,,,"65,85",,,,,,,,,
AGUA FRIA-BA,,,,BA,,,,"15,61",,,,,,-,,,,,,"15,61",,,,,,,,"72,19",,,,,,,,,
AIQUARA-BA,,,,BA,,,,"13,58",,,,,,-,,,,,,"13,58",,,,,,,,"62,81",,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,"56.457,49",,,,,,"29.543,31",,,,,,"86.000,80",,,,,,,,"378.584,00",,,,,,,,,
AMARGOSA-BA,,,,BA,,,,"19,01",,,,,,-,,,,,,"19,01",,,,,,,,"87,92",,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,"17,65",,,,,,-,,,,,,"17,65",,,,,,,,"81,56",,,,,,,,,
ANAGE-BA,,,,BA,,,,"21,05",,,,,,-,,,,,,"21,05",,,,,,,,"97,63",,,,,,,,,
ANGUERA-BA,,,,BA,,,,"13,58",,,,,,-,,,,,,"13,58",,,,,,,,"62,81",,,,,,,,,
ANTAS-BA,,,,BA,,,,"14,26",,,,,,-,,,,,,"14,26",,,,,,,,"65,85",,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,"14,26",,,,,,-,,,,,,"14,26",,,,,,,,"65,85",,,,,,,,,
APORA-BA,,,,BA,,,,"15,61",,,,,,-,,,,,,"15,61",,,,,,,,"72,19",,,,,,,,,
APUAREMA-BA,,,,BA,,,,"14,26",,,,,,-,,,,,,"14,26",,,,,,,,"65,85",,,,,,,,,
ARACAS-BA,,,,BA,,,,"20.555,83",,,,,,"7.358,71",,,,,,"27.914,54",,,,,,,,"126.321,24",,,,,,,,,
ARACI-BA,,,,BA,,,,"21,72",,,,,,-,,,,,,"21,72",,,,,,,,"100,61",,,,,,,,,
