ANADIA-AL,,,,,AL,,,,,,,"771,70",,,,,,,,,-,,,,,"771,70",,,,,,,,,,"3.867,91",,,,,,
ATALAIA-AL,,,,,AL,,,,,,,"996,78",,,,,,,,,-,,,,,"996,78",,,,,,,,,,"4.996,05",,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,,,"675,24",,,,,,,,,-,,,,,"675,24",,,,,,,,,,"3.384,43",,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,,,"643,08",,,,,,,,,-,,,,,"643,08",,,,,,,,,,"3.223,25",,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,,,"868,17",,,,,,,,,-,,,,,"868,17",,,,,,,,,,"4.351,40",,,,,,
BRANQUINHA-AL,,,,,AL,,,,,,,"675,24",,,,,,,,,-,,,,,"675,24",,,,,,,,,,"3.384,43",,,,,,
CAJUEIRO-AL,,,,,AL,,,,,,,"803,86",,,,,,,,,-,,,,,"803,86",,,,,,,,,,"4.029,09",,,,,,
CAMPESTRE-AL,,,,,AL,,,,,,,"643,08",,,,,,,,,-,,,,,"643,08",,,,,,,,,,"3.223,25",,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,,,"996,78",,,,,,,,,-,,,,,"996,78",,,,,,,,,,"4.996,05",,,,,,
CAPELA-AL,,,,,AL,,,,,,,"803,86",,,,,,,,,-,,,,,"803,86",,,,,,,,,,"4.029,09",,,,,,
CHA PRETA-AL,,,,,AL,,,,,,,"643,08",,,,,,,,,-,,,,,"643,08",,,,,,,,,,"3.223,25",,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,,,"771,70",,,,,,,,,-,,,,,"771,70",,,,,,,,,,"3.867,91",,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,,,"1.441,47",,,,,,,,,"514,96",,,,,"1.956,43",,,,,,,,,,"11.859,09",,,,,,
CORURIPE-AL,,,,,AL,,,,,,,"1.126.069,08",,,,,,,,,"71.719,28",,,,,"1.197.788,36",,,,,,,,,,"5.233.012,35",,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,,,"23.340,36",,,,,,,,,"31.990,89",,,,,"55.331,25",,,,,,,,,,"277.330,33",,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,,,"675,24",,,,,,,,,-,,,,,"675,24",,,,,,,,,,"3.384,43",,,,,,
IBATEGUARA-AL,,,,,AL,,,,,,,"739,55",,,,,,,,,-,,,,,"739,55",,,,,,,,,,"3.706,75",,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,,,"836,01",,,,,,,,,-,,,,,"836,01",,,,,,,,,,"4.190,24",,,,,,
JACUIPE-AL,,,,,AL,,,,,,,"643,08",,,,,,,,,-,,,,,"643,08",,,,,,,,,,"3.223,25",,,,,,
JAPARATINGA-AL,,,,,AL,,,,,,,"643,08",,,,,,,,,-,,,,,"643,08",,,,,,,,,,"3.223,25",,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,,,,"890,63",,,,,,,,,"76,96",,,,,"967,59",,,,,,,,,,"18.119,59",,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,,,"836,01",,,,,,,,,-,,,,,"836,01",,,,,,,,,,"4.190,24",,,,,,
JUNDIA-AL,,,,,AL,,,,,,,"643,08",,,,,,,,,-,,,,,"643,08",,,,,,,,,,"3.223,25",,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,,,"836,01",,,,,,,,,-,,,,,"836,01",,,,,,,,,,"4.190,24",,,,,,
MACEIO-AL,,,,,AL,,,,,,,"94.170,27",,,,,,,,,"20.169,69",,,,,"114.339,96",,,,,,,,,,"476.518,51",,,,,,
MARAGOGI-AL,,,,,AL,,,,,,,"836,01",,,,,,,,,-,,,,,"836,01",,,,,,,,,,"4.190,24",,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,,,"195.979,18",,,,,,,,,"153.657,88",,,,,"349.637,06",,,,,,,,,,"1.269.745,80",,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,,,"868,17",,,,,,,,,-,,,,,"868,17",,,,,,,,,,"4.351,40",,,,,,
MESSIAS-AL,,,,,AL,,,,,,,"675,24",,,,,,,,,-,,,,,"675,24",,,,,,,,,,"3.384,43",,,,,,
MURICI-AL,,,,,AL,,,,,,,"868,17",,,,,,,,,-,,,,,"868,17",,,,,,,,,,"4.351,40",,,,,,
NOVO LINO-AL,,,,,AL,,,,,,,"675,24",,,,,,,,,-,,,,,"675,24",,,,,,,,,,"3.384,43",,,,,,
PARIPUEIRA-AL,,,,,AL,,,,,,,"643,08",,,,,,,,,"10.305,47",,,,,"10.948,55",,,,,,,,,,"40.637,11",,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,,,,"707,39",,,,,,,,,-,,,,,"707,39",,,,,,,,,,"3.545,59",,,,,,
PENEDO-AL,,,,,AL,,,,,,,"1.061,09",,,,,,,,,-,,,,,"1.061,09",,,,,,,,,,"5.318,39",,,,,,
PIACABUCU-AL,,,,,AL,,,,,,,"771,70",,,,,,,,,-,,,,,"771,70",,,,,,,,,,"3.867,91",,,,,,
PILAR-AL,,,,,AL,,,,,,,"242.616,56",,,,,,,,,"155.906,97",,,,,"398.523,53",,,,,,,,,,"1.671.353,78",,,,,,
PINDOBA-AL,,,,,AL,,,,,,,"643,08",,,,,,,,,-,,,,,"643,08",,,,,,,,,,"3.223,25",,,,,,
PORTO CALVO-AL,,,,,AL,,,,,,,"836,01",,,,,,,,,-,,,,,"836,01",,,,,,,,,,"4.190,24",,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,,,,"675,24",,,,,,,,,-,,,,,"675,24",,,,,,,,,,"3.384,43",,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,,,,"803,86",,,,,,,,,-,,,,,"803,86",,,,,,,,,,"4.029,09",,,,,,
RIO LARGO-AL,,,,,AL,,,,,,,"14.929,93",,,,,,,,,"8.945,40",,,,,"23.875,33",,,,,,,,,,"104.884,35",,,,,,
ROTEIRO-AL,,,,,AL,,,,,,,"806,77",,,,,,,,,"105,58",,,,,"912,35",,,,,,,,,,"4.380,56",,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,,,,"643,08",,,,,,,,,-,,,,,"643,08",,,,,,,,,,"3.223,25",,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,,,,"675,24",,,,,,,,,-,,,,,"675,24",,,,,,,,,,"3.384,43",,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,,,,"836,01",,,,,,,,,-,,,,,"836,01",,,,,,,,,,"4.190,24",,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,,,"900,32",,,,,,,,,-,,,,,"900,32",,,,,,,,,,"4.512,57",,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,,,,"235.771,63",,,,,,,,,"135.100,03",,,,,"370.871,66",,,,,,,,,,"1.676.612,40",,,,,,
