ANADIA-AL,,,,,,,,AL,,"650,28",,,,,,-,,,,,,"650,28",,,,,,,"6.905,69",,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"867,04",,,,,,-,,,,,,"867,04",,,,,,,"9.207,58",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"596,09",,,,,,-,,,,,,"596,09",,,,,,,"6.330,21",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"541,90",,,,,,-,,,,,,"541,90",,,,,,,"5.754,74",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"731,56",,,,,,-,,,,,,"731,56",,,,,,,"7.768,90",,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"568,99",,,,,,-,,,,,,"568,99",,,,,,,"6.042,47",,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"704,47",,,,,,-,,,,,,"704,47",,,,,,,"7.481,15",,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"541,90",,,,,,-,,,,,,"541,90",,,,,,,"5.754,74",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"839,94",,,,,,-,,,,,,"839,94",,,,,,,"8.919,85",,,,,,,,,
CAPELA-AL,,,,,,,,AL,,"650,28",,,,,,-,,,,,,"650,28",,,,,,,"6.905,69",,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"541,90",,,,,,-,,,,,,"541,90",,,,,,,"5.754,74",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"677,37",,,,,,-,,,,,,"677,37",,,,,,,"7.193,43",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"645,31",,,,,,"66,70",,,,,,"712,01",,,,,,,"7.842,68",,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"835.138,54",,,,,,"53.836,78",,,,,,"888.975,32",,,,,,,"7.144.696,76",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"19.477,16",,,,,,"27.219,33",,,,,,"46.696,49",,,,,,,"495.898,23",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"568,99",,,,,,-,,,,,,"568,99",,,,,,,"6.042,47",,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"623,18",,,,,,-,,,,,,"623,18",,,,,,,"6.617,95",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"704,47",,,,,,-,,,,,,"704,47",,,,,,,"7.481,15",,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"541,90",,,,,,-,,,,,,"541,90",,,,,,,"5.754,74",,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"541,90",,,,,,-,,,,,,"541,90",,,,,,,"5.754,74",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"3.477,57",,,,,,"1.221,60",,,,,,"4.699,17",,,,,,,"60.127,36",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,"704,47",,,,,,-,,,,,,"704,47",,,,,,,"7.481,15",,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,"541,90",,,,,,-,,,,,,"541,90",,,,,,,"5.777,22",,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,"731,56",,,,,,-,,,,,,"731,56",,,,,,,"7.768,90",,,,,,,,,
MACEIO-AL,,,,,,,,AL,,"66.140,55",,,,,,"13.681,88",,,,,,"79.822,43",,,,,,,"666.118,18",,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,"731,56",,,,,,-,,,,,,"731,56",,,,,,,"7.768,90",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,"93.392,56",,,,,,"79.511,85",,,,,,"172.904,41",,,,,,,"1.225.375,68",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,"731,56",,,,,,-,,,,,,"731,56",,,,,,,"7.768,90",,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,"623,18",,,,,,-,,,,,,"623,18",,,,,,,"6.617,95",,,,,,,,,
MURICI-AL,,,,,,,,AL,,"731,56",,,,,,-,,,,,,"731,56",,,,,,,"7.768,90",,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,"568,99",,,,,,-,,,,,,"568,99",,,,,,,"6.042,47",,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,"541,90",,,,,,"5.600,37",,,,,,"6.142,27",,,,,,,"63.030,12",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,"596,09",,,,,,-,,,,,,"596,09",,,,,,,"6.330,21",,,,,,,,,
PENEDO-AL,,,,,,,,AL,,"561.142,63",,,,,,-,,,,,,"561.142,63",,,,,,,"4.282.466,40",,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,"650,28",,,,,,-,,,,,,"650,28",,,,,,,"6.905,69",,,,,,,,,
PILAR-AL,,,,,,,,AL,,"103.675,37",,,,,,"66.381,28",,,,,,"170.056,65",,,,,,,"1.333.822,44",,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,"541,90",,,,,,-,,,,,,"541,90",,,,,,,"5.754,74",,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,"731,56",,,,,,-,,,,,,"731,56",,,,,,,"7.768,90",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,"568,99",,,,,,-,,,,,,"568,99",,,,,,,"6.042,47",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,"650,28",,,,,,-,,,,,,"650,28",,,,,,,"6.905,69",,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,"12.686,30",,,,,,"7.588,47",,,,,,"20.274,77",,,,,,,"195.145,70",,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,"1.584,23",,,,,,"672,30",,,,,,"2.256,53",,,,,,,"14.547,40",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,"541,90",,,,,,-,,,,,,"541,90",,,,,,,"101.225,65",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,"568,99",,,,,,-,,,,,,"568,99",,,,,,,"6.042,47",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,"704,47",,,,,,-,,,,,,"704,47",,,,,,,"7.481,15",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,"758,66",,,,,,-,,,,,,"758,66",,,,,,,"8.056,64",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,"254.528,59",,,,,,"170.262,60",,,,,,"424.791,19",,,,,,,"4.014.169,50",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,"541,90",,,,,,-,,,,,,"541,90",,,,,,,"5.754,74",,,,,,,,,
SATUBA-AL,,,,,,,,AL,,"579.781,53",,,,,,"12.196,85",,,,,,"591.978,38",,,,,,,"4.536.530,67",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,"839,94",,,,,,-,,,,,,"839,94",,,,,,,"8.919,85",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,"894,13",,,,,,-,,,,,,"894,13",,,,,,,"9.495,34",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
