ANADIA-AL,,,,,,,,,,AL,,"265,25",,,,,,,-,,,,,,,,"265,25",,,,,,,"4.638,03",,,,,,,,
ATALAIA-AL,,,,,,,,,,AL,,"342,61",,,,,,,-,,,,,,,,"342,61",,,,,,,"5.990,81",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,,AL,,"254,19",,,,,,,-,,,,,,,,"254,19",,,,,,,"4.444,77",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,,AL,,"221,04",,,,,,,-,,,,,,,,"221,04",,,,,,,"3.865,01",,,,,,,,
BOCA DA MATA-AL,,,,,,,,,,AL,,"298,40",,,,,,,-,,,,,,,,"298,40",,,,,,,"5.217,78",,,,,,,,
BRANQUINHA-AL,,,,,,,,,,AL,,"232,09",,,,,,,-,,,,,,,,"232,09",,,,,,,"4.058,26",,,,,,,,
CAJUEIRO-AL,,,,,,,,,,AL,,"287,35",,,,,,,-,,,,,,,,"287,35",,,,,,,"5.024,52",,,,,,,,
CAMPESTRE-AL,,,,,,,,,,AL,,"221,04",,,,,,,-,,,,,,,,"221,04",,,,,,,"3.865,01",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,,AL,,"353,66",,,,,,,-,,,,,,,,"353,66",,,,,,,"6.184,05",,,,,,,,
CAPELA-AL,,,,,,,,,,AL,,"265,25",,,,,,,-,,,,,,,,"265,25",,,,,,,"4.638,03",,,,,,,,
CHA PRETA-AL,,,,,,,,,,AL,,"221,04",,,,,,,-,,,,,,,,"221,04",,,,,,,"3.865,01",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,,AL,,"287,35",,,,,,,-,,,,,,,,"287,35",,,,,,,"5.024,52",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,,AL,,"96.436,82",,,,,,,"383,73",,,,,,,,"96.820,55",,,,,,,"1.043.170,01",,,,,,,,
CORURIPE-AL,,,,,,,,,,AL,,"1.533.283,27",,,,,,,"27.329,18",,,,,,,,"1.560.612,45",,,,,,,"17.236.368,24",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,,AL,,"7.995,81",,,,,,,"11.174,15",,,,,,,,"19.169,96",,,,,,,"335.197,30",,,,,,,,
