ANADIA-AL,,,,,,,,AL,,,"557,23",,,,,,,,-,,,,,,,"557,23",,,,,,,,,,"2.095,22",,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"742,97",,,,,,,,-,,,,,,,"742,97",,,,,,,,,,"2.793,63",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"510,79",,,,,,,,-,,,,,,,"510,79",,,,,,,,,,"1.920,62",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"464,36",,,,,,,,-,,,,,,,"464,36",,,,,,,,,,"1.746,02",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"626,88",,,,,,,,-,,,,,,,"626,88",,,,,,,,,,"2.357,13",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"487,57",,,,,,,,-,,,,,,,"487,57",,,,,,,,,,"1.833,31",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"603,66",,,,,,,,-,,,,,,,"603,66",,,,,,,,,,"2.269,83",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"464,36",,,,,,,,-,,,,,,,"464,36",,,,,,,,,,"1.746,02",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"719,75",,,,,,,,-,,,,,,,"719,75",,,,,,,,,,"2.706,34",,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"557,23",,,,,,,,-,,,,,,,"557,23",,,,,,,,,,"2.095,22",,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"464,36",,,,,,,,-,,,,,,,"464,36",,,,,,,,,,"1.746,02",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"580,45",,,,,,,,-,,,,,,,"580,45",,,,,,,,,,"2.182,53",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"61.751,09",,,,,,,,"129,68",,,,,,,"61.880,77",,,,,,,,,,"63.688,27",,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"1.181.400,80",,,,,,,,"26.944,25",,,,,,,"1.208.345,05",,,,,,,,,,"3.080.565,46",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"16.690,18",,,,,,,,"23.324,53",,,,,,,"40.014,71",,,,,,,,,,"150.458,56",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"487,57",,,,,,,,-,,,,,,,"487,57",,,,,,,,,,"1.833,31",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"534,01",,,,,,,,-,,,,,,,"534,01",,,,,,,,,,"2.007,93",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"603,66",,,,,,,,-,,,,,,,"603,66",,,,,,,,,,"2.269,83",,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"464,36",,,,,,,,-,,,,,,,"464,36",,,,,,,,,,"1.746,02",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"464,36",,,,,,,,-,,,,,,,"464,36",,,,,,,,,,"1.746,02",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"487,57",,,,,,,,-,,,,,,,"487,57",,,,,,,,,,"8.021,66",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,"603,66",,,,,,,,-,,,,,,,"603,66",,,,,,,,,,"2.269,83",,,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,"464,50",,,,,,,,-,,,,,,,"464,50",,,,,,,,,,"1.746,16",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,"626,88",,,,,,,,-,,,,,,,"626,88",,,,,,,,,,"2.357,13",,,,,,,,,,
MACEIO-AL,,,,,,,,AL,,,"74.183,03",,,,,,,,"21.437,82",,,,,,,"95.620,85",,,,,,,,,,"277.924,33",,,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,"626,88",,,,,,,,-,,,,,,,"626,88",,,,,,,,,,"2.357,13",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,"100.554,77",,,,,,,,"49.924,59",,,,,,,"150.479,36",,,,,,,,,,"518.492,56",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,"626,88",,,,,,,,-,,,,,,,"626,88",,,,,,,,,,"2.357,13",,,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,"534,01",,,,,,,,-,,,,,,,"534,01",,,,,,,,,,"2.007,93",,,,,,,,,,
MURICI-AL,,,,,,,,AL,,,"626,88",,,,,,,,-,,,,,,,"626,88",,,,,,,,,,"2.357,13",,,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,"487,57",,,,,,,,-,,,,,,,"487,57",,,,,,,,,,"1.833,31",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,"464,36",,,,,,,,"9.109,59",,,,,,,"9.573,95",,,,,,,,,,"28.627,64",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,"510,79",,,,,,,,-,,,,,,,"510,79",,,,,,,,,,"1.920,62",,,,,,,,,,
PENEDO-AL,,,,,,,,AL,,,"872,74",,,,,,,,-,,,,,,,"872,74",,,,,,,,,,"1.316.684,82",,,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,"557,23",,,,,,,,-,,,,,,,"557,23",,,,,,,,,,"2.095,22",,,,,,,,,,
PILAR-AL,,,,,,,,AL,,,"112.471,43",,,,,,,,"72.124,76",,,,,,,"184.596,19",,,,,,,,,,"525.775,23",,,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,"464,36",,,,,,,,-,,,,,,,"464,36",,,,,,,,,,"1.746,02",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,,"626,88",,,,,,,,-,,,,,,,"626,88",,,,,,,,,,"2.357,13",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,,"487,57",,,,,,,,-,,,,,,,"487,57",,,,,,,,,,"1.833,31",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,,"557,23",,,,,,,,-,,,,,,,"557,23",,,,,,,,,,"2.095,22",,,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,,"13.518,84",,,,,,,,"8.210,39",,,,,,,"21.729,23",,,,,,,,,,"60.102,40",,,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,,"62.731,58",,,,,,,,"878,80",,,,,,,"63.610,38",,,,,,,,,,"68.479,57",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,,"467,47",,,,,,,,-,,,,,,,"467,47",,,,,,,,,,"2.929,17",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,,"487,57",,,,,,,,-,,,,,,,"487,57",,,,,,,,,,"1.833,31",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,,"603,66",,,,,,,,-,,,,,,,"603,66",,,,,,,,,,"2.269,83",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,,"650,10",,,,,,,,-,,,,,,,"650,10",,,,,,,,,,"2.444,43",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,,"343.382,61",,,,,,,,"186.772,55",,,,,,,"530.155,16",,,,,,,,,,"1.647.569,47",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,,"464,36",,,,,,,,-,,,,,,,"464,36",,,,,,,,,,"1.746,02",,,,,,,,,,
SATUBA-AL,,,,,,,,AL,,,"25.428,65",,,,,,,,"15.988,32",,,,,,,"41.416,97",,,,,,,,,,"1.465.713,74",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,,"719,75",,,,,,,,-,,,,,,,"719,75",,,,,,,,,,"2.706,34",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,,"766,19",,,,,,,,-,,,,,,,"766,19",,,,,,,,,,"2.880,94",,,,,,,,,,
VICOSA-AL,,,,,,,,AL,,,"626,88",,,,,,,,-,,,,,,,"626,88",,,,,,,,,,"2.357,13",,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,"2.015.858,52",,,,,,,,"414.845,28",,,,,,,"2.430.703,80",,,,,,,,,,"9.295.699,15",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA-AM,,,,,,,,AM,,,-,,,,,,,,"2.838,03",,,,,,,"2.838,03",,,,,,,,,,"8.338,62",,,,,,,,,,
ANORI-AM,,,,,,,,AM,,,-,,,,,,,,"2.838,03",,,,,,,"2.838,03",,,,,,,,,,"8.338,62",,,,,,,,,,
AUTAZES-AM,,,,,,,,AM,,,-,,,,,,,,"7.449,72",,,,,,,"7.449,72",,,,,,,,,,"21.311,40",,,,,,,,,,
BERURI-AM,,,,,,,,AM,,,-,,,,,,,,"2.838,03",,,,,,,"2.838,03",,,,,,,,,,"8.338,62",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,AM,,,-,,,,,,,,"7.449,72",,,,,,,"7.449,72",,,,,,,,,,"21.311,40",,,,,,,,,,
CAREIRO-AM,,,,,,,,AM,,,-,,,,,,,,"2.838,03",,,,,,,"2.838,03",,,,,,,,,,"8.338,62",,,,,,,,,,
COARI-AM,,,,,,,,AM,,,"1.994.953,03",,,,,,,,"1.973.486,99",,,,,,,"3.968.440,02",,,,,,,,,,"11.692.851,64",,,,,,,,,,
CODAJAS-AM,,,,,,,,AM,,,-,,,,,,,,"2.838,03",,,,,,,"2.838,03",,,,,,,,,,"8.338,62",,,,,,,,,,
