ANADIA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.846,19",,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.676,34",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.727,59",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.371,81",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.201,96",,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.490,41",,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.083,36",,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.371,81",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.794,92",,,,,,,,,
CAPELA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.846,19",,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.371,81",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.083,36",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"85.837,06",,,,,"349,77",,,,,,,,"86.186,83",,,,,,,,"504.667,29",,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"87.751,88",,,,,"1.586,98",,,,,,,,"89.338,86",,,,,,,,"10.364.861,79",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"205.697,84",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.609,00",,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.727,59",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.083,36",,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.371,81",,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.371,81",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"2.473,18",,,,,"1.038,73",,,,,,,,"3.511,91",,,,,,,,"28.186,65",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.083,36",,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.371,81",,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.083,36",,,,,,,,,
MACEIO-AL,,,,,,,,AL,,"101.987,27",,,,,"26.328,58",,,,,,,,"128.315,85",,,,,,,,"746.667,60",,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.320,56",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,"45.907,31",,,,,"39.942,66",,,,,,,,"85.849,97",,,,,,,,"847.850,30",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.083,36",,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.727,59",,,,,,,,,
MURICI-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"3.201,96",,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.609,00",,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,-,,,,,"10.427,69",,,,,,,,"10.427,69",,,,,,,,"52.032,63",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.727,59",,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,-,,,,,-,,,,,,,,-,,,,,,,,"2.846,19",,,,,,,,,
PILAR-AL,,,,,,,,AL,,"254.192,06",,,,,"174.134,34",,,,,,,,"428.326,40",,,,,,,,"1.670.522,39",,,,,,,,,
