ANADIA-AL,,,,,,,,,AL,,"715,48",,,,,-,,,,,,"715,48",,,,,,,"6.872,96",,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"924,16",,,,,-,,,,,,"924,16",,,,,,,"8.877,59",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"685,67",,,,,-,,,,,,"685,67",,,,,,,"6.586,59",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"596,23",,,,,-,,,,,,"596,23",,,,,,,"5.727,47",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"804,91",,,,,-,,,,,,"804,91",,,,,,,"7.732,07",,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"626,04",,,,,-,,,,,,"626,04",,,,,,,"6.013,84",,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"775,10",,,,,-,,,,,,"775,10",,,,,,,"7.445,71",,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"596,23",,,,,-,,,,,,"596,23",,,,,,,"5.727,47",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"953,97",,,,,-,,,,,,"953,97",,,,,,,"9.163,95",,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"715,48",,,,,-,,,,,,"715,48",,,,,,,"6.872,96",,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"596,23",,,,,-,,,,,,"596,23",,,,,,,"5.727,47",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"775,10",,,,,-,,,,,,"775,10",,,,,,,"7.445,71",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"102.851,03",,,,,"438,71",,,,,,"103.289,74",,,,,,,"881.670,37",,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"2.379.288,57",,,,,"71.744,89",,,,,,"2.451.033,46",,,,,,,"20.126.418,55",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"21.567,70",,,,,"30.140,87",,,,,,"51.708,57",,,,,,,"496.717,49",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"655,86",,,,,-,,,,,,"655,86",,,,,,,"6.300,22",,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"685,67",,,,,-,,,,,,"685,67",,,,,,,"6.586,59",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"775,10",,,,,-,,,,,,"775,10",,,,,,,"7.445,71",,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"596,23",,,,,-,,,,,,"596,23",,,,,,,"5.727,47",,,,,,,,,
