ANADIA-AL,,,AL,,,,"363,15",,,,,,-,,,,,"363,15",,,,,"363,15",,,,,,,,,,,
ATALAIA-AL,,,AL,,,,"453,93",,,,,,-,,,,,"453,93",,,,,"453,93",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
BOCA DA MATA-AL,,,AL,,,,"393,41",,,,,,-,,,,,"393,41",,,,,"393,41",,,,,,,,,,,
BRANQUINHA-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
CAJUEIRO-AL,,,AL,,,,"363,15",,,,,,-,,,,,"363,15",,,,,"363,15",,,,,,,,,,,
CAMPESTRE-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,,"453,93",,,,,,-,,,,,"453,93",,,,,"453,93",,,,,,,,,,,
CAPELA-AL,,,AL,,,,"393,41",,,,,,-,,,,,"393,41",,,,,"393,41",,,,,,,,,,,
CHA PRETA-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,,"363,15",,,,,,-,,,,,"363,15",,,,,"363,15",,,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,,"16.486,46",,,,,,-,,,,,"16.486,46",,,,,"16.486,46",,,,,,,,,,,
CORURIPE-AL,,,AL,,,,"33.753,69",,,,,,"15.286,10",,,,,"49.039,79",,,,,"49.039,79",,,,,,,,,,,
FELIZ DESERTO-AL,,,AL,,,,"10.663,11",,,,,,"14.613,72",,,,,"25.276,83",,,,,"25.276,83",,,,,,,,,,,
FLEXEIRAS-AL,,,AL,,,,"332,88",,,,,,-,,,,,"332,88",,,,,"332,88",,,,,,,,,,,
IBATEGUARA-AL,,,AL,,,,"348,01",,,,,,-,,,,,"348,01",,,,,"348,01",,,,,,,,,,,
IGREJA NOVA-AL,,,AL,,,,"378,28",,,,,,-,,,,,"378,28",,,,,"378,28",,,,,,,,,,,
JACUIPE-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
JAPARATINGA-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,,"378,28",,,,,,-,,,,,"378,28",,,,,"378,28",,,,,,,,,,,
JUNDIA-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
JUNQUEIRO-AL,,,AL,,,,"393,41",,,,,,-,,,,,"393,41",,,,,"393,41",,,,,,,,,,,
MACEIO-AL,,,AL,,,,"20.230,00",,,,,,"24.358,91",,,,,"44.588,91",,,,,"44.588,91",,,,,,,,,,,
MARAGOGI-AL,,,AL,,,,"363,15",,,,,,-,,,,,"363,15",,,,,"363,15",,,,,,,,,,,
MARECHAL DEODORO-AL,,,AL,,,,"34.696,86",,,,,,"16.568,98",,,,,"51.265,84",,,,,"51.265,84",,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,,"393,41",,,,,,-,,,,,"393,41",,,,,"393,41",,,,,,,,,,,
MESSIAS-AL,,,AL,,,,"317,75",,,,,,-,,,,,"317,75",,,,,"317,75",,,,,,,,,,,
MURICI-AL,,,AL,,,,"393,41",,,,,,-,,,,,"393,41",,,,,"393,41",,,,,,,,,,,
NOVO LINO-AL,,,AL,,,,"317,75",,,,,,-,,,,,"317,75",,,,,"317,75",,,,,,,,,,,
PARIPUEIRA-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,AL,,,,"332,88",,,,,,-,,,,,"332,88",,,,,"332,88",,,,,,,,,,,
PENEDO-AL,,,AL,,,,"484,20",,,,,,-,,,,,"484,20",,,,,"484,20",,,,,,,,,,,
PIACABUCU-AL,,,AL,,,,"348,01",,,,,,-,,,,,"348,01",,,,,"348,01",,,,,,,,,,,
PILAR-AL,,,AL,,,,"64.965,04",,,,,,"31.235,91",,,,,"96.200,95",,,,,"96.200,95",,,,,,,,,,,
PINDOBA-AL,,,AL,,,,"302,62",,,,,,-,,,,,"302,62",,,,,"302,62",,,,,,,,,,,
PORTO CALVO-AL,,,AL,,,,"408,54",,,,,,-,,,,,"408,54",,,,,"408,54",,,,,,,,,,,
PORTO DE PEDRAS-AL,,,AL,,,,"317,75",,,,,,-,,,,,"317,75",,,,,"317,75",,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,AL,,,,"363,15",,,,,,-,,,,,"363,15",,,,,"363,15",,,,,,,,,,,
RIO LARGO-AL,,,AL,,,,"499,33",,,,,,-,,,,,"499,33",,,,,"499,33",,,,,,,,,,,
ROTEIRO-AL,,,AL,,,,"565,13",,,,,,"168,89",,,,,"734,02",,,,,"734,02",,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,,"16.486,46",,,,,,-,,,,,"16.486,46",,,,,"16.486,46",,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,,"332,88",,,,,,-,,,,,"332,88",,,,,"332,88",,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,"393,41",,,,,,-,,,,,"393,41",,,,,"393,41",,,,,,,,,,,
