ANADIA-AL,,,,AL,,,,,"665,31",,,,,,,-,,,,,,,"665,31",,,,,,,"6.572,48",,,,,,,,
ATALAIA-AL,,,,AL,,,,,"859,36",,,,,,,-,,,,,,,"859,36",,,,,,,"8.489,46",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"582,15",,,,,,,-,,,,,,,"582,15",,,,,,,"5.750,92",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"554,42",,,,,,,-,,,,,,,"554,42",,,,,,,"5.477,04",,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"748,47",,,,,,,-,,,,,,,"748,47",,,,,,,"7.394,04",,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"582,15",,,,,,,-,,,,,,,"582,15",,,,,,,"5.750,92",,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"693,03",,,,,,,-,,,,,,,"693,03",,,,,,,"6.846,32",,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"554,42",,,,,,,-,,,,,,,"554,42",,,,,,,"5.477,04",,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"859,36",,,,,,,-,,,,,,,"859,36",,,,,,,"8.489,46",,,,,,,,
CAPELA-AL,,,,AL,,,,,"693,03",,,,,,,-,,,,,,,"693,03",,,,,,,"6.846,32",,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"554,42",,,,,,,-,,,,,,,"554,42",,,,,,,"5.477,04",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"665,31",,,,,,,-,,,,,,,"665,31",,,,,,,"6.572,48",,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"1.218,15",,,,,,,"428,10",,,,,,,"1.646,25",,,,,,,"13.306,91",,,,,,,,
CORURIPE-AL,,,,AL,,,,,"983.155,90",,,,,,,"58.718,07",,,,,,,"1.041.873,97",,,,,,,"8.623.717,45",,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"20.122,50",,,,,,,"27.580,41",,,,,,,"47.702,91",,,,,,,"471.248,27",,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"582,15",,,,,,,-,,,,,,,"582,15",,,,,,,"5.750,92",,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"637,59",,,,,,,-,,,,,,,"637,59",,,,,,,"6.298,62",,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"720,75",,,,,,,-,,,,,,,"720,75",,,,,,,"7.120,19",,,,,,,,
JACUIPE-AL,,,,AL,,,,,"554,42",,,,,,,-,,,,,,,"554,42",,,,,,,"5.477,04",,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"554,42",,,,,,,-,,,,,,,"554,42",,,,,,,"5.477,04",,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,,"1.212,94",,,,,,,"253,29",,,,,,,"1.466,23",,,,,,,"16.765,48",,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"720,75",,,,,,,-,,,,,,,"720,75",,,,,,,"7.120,19",,,,,,,,
JUNDIA-AL,,,,AL,,,,,"554,42",,,,,,,-,,,,,,,"554,42",,,,,,,"5.477,04",,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"720,75",,,,,,,-,,,,,,,"720,75",,,,,,,"7.120,19",,,,,,,,
MACEIO-AL,,,,AL,,,,,"80.785,72",,,,,,,"24.201,53",,,,,,,"104.987,25",,,,,,,"847.172,41",,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"720,75",,,,,,,-,,,,,,,"720,75",,,,,,,"7.120,19",,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"118.443,75",,,,,,,"114.513,70",,,,,,,"232.957,45",,,,,,,"1.784.149,58",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"748,47",,,,,,,-,,,,,,,"748,47",,,,,,,"7.394,04",,,,,,,,
MESSIAS-AL,,,,AL,,,,,"582,15",,,,,,,-,,,,,,,"582,15",,,,,,,"5.750,92",,,,,,,,
MURICI-AL,,,,AL,,,,,"748,47",,,,,,,-,,,,,,,"748,47",,,,,,,"7.394,04",,,,,,,,
NOVOLINO-AL,,,,AL,,,,,"582,15",,,,,,,-,,,,,,,"582,15",,,,,,,"5.750,92",,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,,"554,42",,,,,,,"11.510,91",,,,,,,"12.065,33",,,,,,,"89.394,85",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,,"609,87",,,,,,,-,,,,,,,"609,87",,,,,,,"6.024,76",,,,,,,,
PENEDO-AL,,,,AL,,,,,"914,80",,,,,,,-,,,,,,,"914,80",,,,,,,"9.037,17",,,,,,,,
PIACABUCU-AL,,,,AL,,,,,"665,31",,,,,,,-,,,,,,,"665,31",,,,,,,"6.572,48",,,,,,,,
PILAR-AL,,,,AL,,,,,"184.706,65",,,,,,,"118.635,14",,,,,,,"303.341,79",,,,,,,"2.764.197,67",,,,,,,,
PINDOBA-AL,,,,AL,,,,,"554,42",,,,,,,-,,,,,,,"554,42",,,,,,,"5.477,04",,,,,,,,
PORTO CALVO-AL,,,,AL,,,,,"720,75",,,,,,,-,,,,,,,"720,75",,,,,,,"7.120,19",,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,,"582,15",,,,,,,-,,,,,,,"582,15",,,,,,,"5.750,92",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"693,03",,,,,,,-,,,,,,,"693,03",,,,,,,"6.846,32",,,,,,,,
