PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"485,37",,,,,,,,-,,,,,,"485,37",,,,,,,,"5.397,39",,,,,,,,
RIO LARGO-AL,,,,AL,,,,,"4.701,60",,,,,,,,"2.619,29",,,,,,"7.320,89",,,,,,,,"76.451,99",,,,,,,,
ROTEIRO-AL,,,,AL,,,,,"499,46",,,,,,,,"71,70",,,,,,"571,16",,,,,,,,"9.787,31",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,,"22.612,23",,,,,,,,-,,,,,,"22.612,23",,,,,,,,"268.461,64",,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,,"407,71",,,,,,,,-,,,,,,"407,71",,,,,,,,"4.834,30",,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,,"504,79",,,,,,,,-,,,,,,"504,79",,,,,,,,"5.783,33",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,,"543,62",,,,,,,,-,,,,,,"543,62",,,,,,,,"6.228,36",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,,"65.287,68",,,,,,,,"23.333,00",,,,,,"88.620,68",,,,,,,,"1.061.866,92",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,,"388,29",,,,,,,,-,,,,,,"388,29",,,,,,,,"4.448,90",,,,,,,,
SATUBA-AL,,,,AL,,,,,"4.801,75",,,,,,,,"2.821,63",,,,,,"7.623,38",,,,,,,,"90.979,92",,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,,"582,45",,,,,,,,-,,,,,,"582,45",,,,,,,,"6.509,65",,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,,"640,69",,,,,,,,-,,,,,,"640,69",,,,,,,,"7.176,81",,,,,,,,
VICOSA-AL,,,,AL,,,,,"524,20",,,,,,,,-,,,,,,"524,20",,,,,,,,"6.006,17",,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,,-,,,,,,,,"12.885,18",,,,,,"12.885,18",,,,,,,,"219.037,22",,,,,,,,
COARI-AM,,,,AM,,,,,"878.430,78",,,,,,,,"767.458,86",,,,,,"1.645.889,64",,,,,,,,"19.143.801,10",,,,,,,,
IRANDUBA-AM,,,,AM,,,,,-,,,,,,,,"12.885,18",,,,,,"12.885,18",,,,,,,,"219.037,22",,,,,,,,
MANAUS-AM,,,,AM,,,,,"22.223,94",,,,,,,,"38.655,55",,,,,,"60.879,49",,,,,,,,"683.556,88",,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"395,46",,,,,,,,
ADUSTINA-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"382,47",,,,,,,,
AGUA FRIA-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"408,61",,,,,,,,
AIQUARA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,,"123.665,73",,,,,,,,"63.391,99",,,,,,"187.057,72",,,,,,,,"2.325.363,60",,,,,,,,
AMARGOSA-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"497,38",,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"466,57",,,,,,,,
ANAGE-BA,,,,BA,,,,,"60,55",,,,,,,,-,,,,,,"60,55",,,,,,,,"550,68",,,,,,,,
