ANADIA-AL,,,,,,,,,AL,,"684,53",,,,,,,-,,,,,,"684,53",,,,,,,"4.372,78",,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"884,19",,,,,,,-,,,,,,"884,19",,,,,,,"5.648,20",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"656,01",,,,,,,-,,,,,,"656,01",,,,,,,"4.190,58",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"570,44",,,,,,,-,,,,,,"570,44",,,,,,,"3.643,97",,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"770,10",,,,,,,-,,,,,,"770,10",,,,,,,"4.919,38",,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"598,96",,,,,,,-,,,,,,"598,96",,,,,,,"3.826,17",,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"741,57",,,,,,,-,,,,,,"741,57",,,,,,,"4.737,17",,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"570,44",,,,,,,-,,,,,,"570,44",,,,,,,"3.643,97",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"912,71",,,,,,,-,,,,,,"912,71",,,,,,,"5.830,39",,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"684,53",,,,,,,-,,,,,,"684,53",,,,,,,"4.372,78",,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"570,44",,,,,,,-,,,,,,"570,44",,,,,,,"3.643,97",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"741,57",,,,,,,-,,,,,,"741,57",,,,,,,"4.737,17",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"90.377,94",,,,,,,"367,14",,,,,,"90.745,08",,,,,,,"946.349,46",,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"1.539.877,80",,,,,,,"67.116,46",,,,,,"1.606.994,26",,,,,,,"15.675.755,79",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"20.634,75",,,,,,,"28.837,07",,,,,,"49.471,82",,,,,,,"316.027,34",,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"627,48",,,,,,,-,,,,,,"627,48",,,,,,,"4.008,37",,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"656,01",,,,,,,-,,,,,,"656,01",,,,,,,"4.190,58",,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"741,57",,,,,,,-,,,,,,"741,57",,,,,,,"4.737,17",,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"570,44",,,,,,,-,,,,,,"570,44",,,,,,,"3.643,97",,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,"570,44",,,,,,,-,,,,,,"570,44",,,,,,,"3.643,97",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,"3.789,42",,,,,,,"1.328,01",,,,,,"5.117,43",,,,,,,"46.081,63",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,"741,57",,,,,,,-,,,,,,"741,57",,,,,,,"4.737,17",,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,"570,44",,,,,,,-,,,,,,"570,44",,,,,,,"3.643,97",,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,"741,57",,,,,,,-,,,,,,"741,57",,,,,,,"4.737,17",,,,,,,,
MACEIO-AL,,,,,,,,,AL,,"109.406,92",,,,,,,"28.891,31",,,,,,"138.298,23",,,,,,,"1.404.582,57",,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,"798,62",,,,,,,-,,,,,,"798,62",,,,,,,"5.101,59",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,"43.421,26",,,,,,,"38.405,72",,,,,,"81.826,98",,,,,,,"1.252.427,62",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,"741,57",,,,,,,-,,,,,,"741,57",,,,,,,"4.737,17",,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,"656,01",,,,,,,-,,,,,,"656,01",,,,,,,"4.190,58",,,,,,,,
MURICI-AL,,,,,,,,,AL,,"2.681,38",,,,,,,"1.232,77",,,,,,"3.914,15",,,,,,,"13.872,71",,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,"627,48",,,,,,,-,,,,,,"627,48",,,,,,,"4.008,37",,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,"598,96",,,,,,,"10.967,90",,,,,,"11.566,86",,,,,,,"100.474,63",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,"656,01",,,,,,,-,,,,,,"656,01",,,,,,,"4.190,58",,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,"684,53",,,,,,,-,,,,,,"684,53",,,,,,,"4.372,78",,,,,,,,
PILAR-AL,,,,,,,,,AL,,"146.569,14",,,,,,,"94.004,70",,,,,,"240.573,84",,,,,,,"2.960.256,49",,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,"570,44",,,,,,,-,,,,,,"570,44",,,,,,,"3.643,97",,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,"770,10",,,,,,,-,,,,,,"770,10",,,,,,,"4.919,38",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,"570,44",,,,,,,-,,,,,,"570,44",,,,,,,"3.643,97",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,"713,05",,,,,,,-,,,,,,"713,05",,,,,,,"4.554,97",,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,"7.212,91",,,,,,,"4.026,84",,,,,,"11.239,75",,,,,,,"101.854,51",,,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,"91.287,96",,,,,,,"1.352,76",,,,,,"92.640,72",,,,,,,"963.843,97",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,"90.352,88",,,,,,,"349,05",,,,,,"90.701,93",,,,,,,"945.770,12",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,"598,96",,,,,,,-,,,,,,"598,96",,,,,,,"3.826,17",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,"741,57",,,,,,,-,,,,,,"741,57",,,,,,,"4.737,17",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,"827,14",,,,,,,-,,,,,,"827,14",,,,,,,"5.283,80",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,AL,,"280.588,79",,,,,,,"172.216,19",,,,,,"452.804,98",,,,,,,"4.782.403,34",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,AL,,"570,44",,,,,,,-,,,,,,"570,44",,,,,,,"3.643,97",,,,,,,,
SATUBA-AL,,,,,,,,,AL,,"25.429,96",,,,,,,"16.402,32",,,,,,"41.832,28",,,,,,,"299.568,08",,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,AL,,"884,19",,,,,,,-,,,,,,"884,19",,,,,,,"5.648,20",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,AL,,"941,23",,,,,,,-,,,,,,"941,23",,,,,,,"6.012,58",,,,,,,,
VICOSA-AL,,,,,,,,,AL,,"770,10",,,,,,,-,,,,,,"770,10",,,,,,,"4.919,38",,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,"2.477.956,96",,,,,,,"465.498,24",,,,,,"2.943.455,20",,,,,,,"29.973.611,79",,,,,,,,
ANAMA-AM,,,,,,,,,AM,,-,,,,,,,"4.025,88",,,,,,"4.025,88",,,,,,,"37.560,40",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANORI-AM,,,,,,,,,AM,,-,,,,,,,"4.025,88",,,,,,"4.025,88",,,,,,,"37.560,40",,,,,,,,
AUTAZES-AM,,,,,,,,,AM,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
BERURI-AM,,,,,,,,,AM,,-,,,,,,,"4.025,88",,,,,,"4.025,88",,,,,,,"37.560,40",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,AM,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
CAREIRO-AM,,,,,,,,,AM,,-,,,,,,,"4.025,88",,,,,,"4.025,88",,,,,,,"37.560,40",,,,,,,,
COARI-AM,,,,,,,,,AM,,"2.909.264,97",,,,,,,"2.899.291,82",,,,,,"5.808.556,79",,,,,,,"61.441.239,88",,,,,,,,
CODAJAS-AM,,,,,,,,,AM,,-,,,,,,,"4.025,88",,,,,,"4.025,88",,,,,,,"37.560,40",,,,,,,,
IRANDUBA-AM,,,,,,,,,AM,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
ITACOATIARA-AM,,,,,,,,,AM,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
ITAPIRANGA-AM,,,,,,,,,AM,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
MANACAPURU-AM,,,,,,,,,AM,,-,,,,,,,"4.025,88",,,,,,"4.025,88",,,,,,,"37.560,40",,,,,,,,
MANAQUIRI-AM,,,,,,,,,AM,,-,,,,,,,"4.025,88",,,,,,"4.025,88",,,,,,,"37.560,40",,,,,,,,
MANAUS-AM,,,,,,,,,AM,,"1.654.438,12",,,,,,,"156.634,49",,,,,,"1.811.072,61",,,,,,,"20.768.675,56",,,,,,,,
PARINTINS-AM,,,,,,,,,AM,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
SILVES-AM,,,,,,,,,AM,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
TEFE-AM,,,,,,,,,AM,,"229.249,55",,,,,,,"125.750,33",,,,,,"354.999,88",,,,,,,"1.697.923,68",,,,,,,,
URUCARA-AM,,,,,,,,,AM,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
URUCURITUBA-AM,,,,,,,,,AM,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,"4.792.952,64",,,,,,,"3.317.132,58",,,,,,"8.110.085,22",,,,,,,"85.048.753,14",,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,,AP,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
MACAPA-AP,,,,,,,,,AP,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
MAZAGAO-AP,,,,,,,,,AP,,-,,,,,,,"11.919,42",,,,,,"11.919,42",,,,,,,"97.554,58",,,,,,,,
AMAPA  TOTAL,,,,,,,,,,,-,,,,,,,"35.758,26",,,,,,"35.758,26",,,,,,,"292.663,74",,,,,,,,
ACAJUTIBA-BA,,,,,,,,,BA,,"1.329,13",,,,,,,-,,,,,,"1.329,13",,,,,,,"12.819,14",,,,,,,,
ADUSTINA-BA,,,,,,,,,BA,,"1.329,13",,,,,,,-,,,,,,"1.329,13",,,,,,,"12.819,14",,,,,,,,
AGUA FRIA-BA,,,,,,,,,BA,,"1.329,13",,,,,,,-,,,,,,"1.329,13",,,,,,,"12.819,14",,,,,,,,
AIQUARA-BA,,,,,,,,,BA,,"1.155,76",,,,,,,-,,,,,,"1.155,76",,,,,,,"11.147,06",,,,,,,,
ALAGOINHAS-BA,,,,,,,,,BA,,"469.067,77",,,,,,,"271.448,88",,,,,,"740.516,65",,,,,,,"8.219.573,67",,,,,,,,
ALCOBACA-BA,,,,,,,,,BA,,"1.502,50",,,,,,,-,,,,,,"1.502,50",,,,,,,"14.491,20",,,,,,,,
ALMADINA-BA,,,,,,,,,BA,,"1.155,76",,,,,,,-,,,,,,"1.155,76",,,,,,,"11.147,06",,,,,,,,
