ANADIA-AL,,,,,,,,AL,,,,"861,68",,,,,,,-,,,,,,,"861,68",,,,,,,,,,"2.428,54",,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,,"1.113,01",,,,,,,-,,,,,,,"1.113,01",,,,,,,,,,"3.136,88",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,,"825,78",,,,,,,-,,,,,,,"825,78",,,,,,,,,,"2.327,35",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,,"718,07",,,,,,,-,,,,,,,"718,07",,,,,,,,,,"2.023,79",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,,"969,39",,,,,,,-,,,,,,,"969,39",,,,,,,,,,"2.732,11",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,,"753,97",,,,,,,-,,,,,,,"753,97",,,,,,,,,,"2.124,98",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,,"933,49",,,,,,,-,,,,,,,"933,49",,,,,,,,,,"2.630,93",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,,"718,07",,,,,,,-,,,,,,,"718,07",,,,,,,,,,"2.023,79",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,,"1.148,91",,,,,,,-,,,,,,,"1.148,91",,,,,,,,,,"3.238,06",,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,,"861,68",,,,,,,-,,,,,,,"861,68",,,,,,,,,,"2.428,54",,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,,"718,07",,,,,,,-,,,,,,,"718,07",,,,,,,,,,"2.023,79",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,,"933,49",,,,,,,-,,,,,,,"933,49",,,,,,,,,,"2.630,93",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,,"115.059,76",,,,,,,"353,80",,,,,,,"115.413,56",,,,,,,,,,"329.294,04",,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,,"2.166.631,38",,,,,,,"79.463,11",,,,,,,"2.246.094,49",,,,,,,,,,"6.525.442,66",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,,"25.974,92",,,,,,,"36.299,95",,,,,,,"62.274,87",,,,,,,,,,"175.513,90",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,,"789,88",,,,,,,-,,,,,,,"789,88",,,,,,,,,,"2.226,17",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,,"825,78",,,,,,,-,,,,,,,"825,78",,,,,,,,,,"2.327,35",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,,"933,49",,,,,,,-,,,,,,,"933,49",,,,,,,,,,"2.630,93",,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,,"718,07",,,,,,,-,,,,,,,"718,07",,,,,,,,,,"2.023,79",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,,"718,07",,,,,,,-,,,,,,,"718,07",,,,,,,,,,"2.023,79",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,,"2.613,92",,,,,,,"766,10",,,,,,,"3.380,02",,,,,,,,,,"10.149,78",,,,,,,,,,
