ANADIA-AL,,,AL,,"575,64",,,,,,,,-,,,,,,,"575,64",,,,,,,,"5.542,15",,,,,,,,,,
ATALAIA-AL,,,AL,,"743,54",,,,,,,,-,,,,,,,"743,54",,,,,,,,"7.155,10",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,"503,69",,,,,,,,-,,,,,,,"503,69",,,,,,,,"4.848,21",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,"479,70",,,,,,,,-,,,,,,,"479,70",,,,,,,,"4.619,60",,,,,,,,,,
BOCA DA MATA-AL,,,AL,,"647,60",,,,,,,,-,,,,,,,"647,60",,,,,,,,"6.230,28",,,,,,,,,,
BRANQUINHA-AL,,,AL,,"503,69",,,,,,,,-,,,,,,,"503,69",,,,,,,,"4.848,21",,,,,,,,,,
CAJUEIRO-AL,,,AL,,"599,63",,,,,,,,-,,,,,,,"599,63",,,,,,,,"5.773,03",,,,,,,,,,
CAMPESTRE-AL,,,AL,,"479,70",,,,,,,,-,,,,,,,"479,70",,,,,,,,"4.619,60",,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,"743,54",,,,,,,,-,,,,,,,"743,54",,,,,,,,"7.155,10",,,,,,,,,,
CAPELA-AL,,,AL,,"599,63",,,,,,,,-,,,,,,,"599,63",,,,,,,,"5.773,03",,,,,,,,,,
CHA PRETA-AL,,,AL,,"479,70",,,,,,,,-,,,,,,,"479,70",,,,,,,,"4.619,60",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,"575,64",,,,,,,,-,,,,,,,"575,64",,,,,,,,"5.542,15",,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,"479,70",,,,,,,,-,,,,,,,"479,70",,,,,,,,"4.619,60",,,,,,,,,,
CORURIPE-AL,,,AL,,"970.562,24",,,,,,,,"30.851,79",,,,,,,"1.001.414,03",,,,,,,,"7.666.631,97",,,,,,,,,,
FELIZ DESERTO-AL,,,AL,,"17.089,55",,,,,,,,"23.882,65",,,,,,,"40.972,20",,,,,,,,"394.407,06",,,,,,,,,,
FLEXEIRAS-AL,,,AL,,"527,67",,,,,,,,-,,,,,,,"527,67",,,,,,,,"5.076,85",,,,,,,,,,
IBATEGUARA-AL,,,AL,,"551,66",,,,,,,,-,,,,,,,"551,66",,,,,,,,"5.307,71",,,,,,,,,,
IGREJA NOVA-AL,,,AL,,"623,61",,,,,,,,-,,,,,,,"623,61",,,,,,,,"6.001,63",,,,,,,,,,
JACUIPE-AL,,,AL,,"479,70",,,,,,,,-,,,,,,,"479,70",,,,,,,,"4.619,59",,,,,,,,,,
JAPARATINGA-AL,,,AL,,"479,70",,,,,,,,-,,,,,,,"479,70",,,,,,,,"4.619,59",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,"527,67",,,,,,,,-,,,,,,,"527,67",,,,,,,,"5.076,84",,,,,,,,,,
JOAQUIM GOMES-AL,,,AL,,"623,61",,,,,,,,-,,,,,,,"623,61",,,,,,,,"6.001,63",,,,,,,,,,
JUNDIA-AL,,,AL,,"479,70",,,,,,,,-,,,,,,,"479,70",,,,,,,,"4.619,59",,,,,,,,,,
JUNQUEIRO-AL,,,AL,,"623,61",,,,,,,,-,,,,,,,"623,61",,,,,,,,"6.001,63",,,,,,,,,,
MACEIO-AL,,,AL,,"71.347,60",,,,,,,,-,,,,,,,"71.347,60",,,,,,,,"665.598,64",,,,,,,,,,
MARAGOGI-AL,,,AL,,"623,61",,,,,,,,-,,,,,,,"623,61",,,,,,,,"6.001,63",,,,,,,,,,
MARECHAL DEODORO-AL,,,AL,,"139.077,41",,,,,,,,"74.702,23",,,,,,,"213.779,64",,,,,,,,"1.711.814,32",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,"623,61",,,,,,,,-,,,,,,,"623,61",,,,,,,,"6.001,63",,,,,,,,,,
