SANTANA DO MUNDAU,,,AL,,,,,"489,35",,,,,,,-,,,,,,,"489,35",,,,,"955,49",,,,,,,,,
SAO JOSE DA LAJE,,,AL,,,,,"605,86",,,,,,,-,,,,,,,"605,86",,,,,"1.182,98",,,,,,,,,
SAO LUIS DO QUITUNDE,,,AL,,,,,"652,47",,,,,,,-,,,,,,,"652,47",,,,,"1.273,99",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS,,,AL,,,,,"120.816,37",,,,,,,"34.104,75",,,,,,,"154.921,12",,,,,"293.885,13",,,,,,,,,
SAO MIGUEL DOS MILAGRES,,,AL,,,,,"466,05",,,,,,,-,,,,,,,"466,05",,,,,"909,99",,,,,,,,,
SATUBA,,,AL,,,,,"51.190,54",,,,,,,"32.687,24",,,,,,,"83.877,78",,,,,"125.538,08",,,,,,,,,
TEOTONIO VILELA,,,AL,,,,,"699,07",,,,,,,-,,,,,,,"699,07",,,,,"1.364,98",,,,,,,,,
UNIAO DOS PALMARES,,,AL,,,,,"768,98",,,,,,,-,,,,,,,"768,98",,,,,"1.501,48",,,,,,,,,
VICOSA,,,AL,,,,,"629,17",,,,,,,-,,,,,,,"629,17",,,,,"1.228,49",,,,,,,,,
ANAMA,,,AM,,,,,-,,,,,,,"2.513,54",,,,,,,"2.513,54",,,,,"5.067,29",,,,,,,,,
ANORI,,,AM,,,,,-,,,,,,,"2.513,54",,,,,,,"2.513,54",,,,,"5.067,29",,,,,,,,,
AUTAZES,,,AM,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
BERURI,,,AM,,,,,-,,,,,,,"2.513,54",,,,,,,"2.513,54",,,,,"5.067,29",,,,,,,,,
CAREIRO DA VARZEA,,,AM,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
CAREIRO,,,AM,,,,,-,,,,,,,"2.513,54",,,,,,,"2.513,54",,,,,"5.067,29",,,,,,,,,
COARI,,,AM,,,,,"1.437.460,82",,,,,,,"1.204.793,33",,,,,,,"2.642.254,15",,,,,"4.863.993,08",,,,,,,,,
CODAJAS,,,AM,,,,,-,,,,,,,"2.513,54",,,,,,,"2.513,54",,,,,"5.067,29",,,,,,,,,
IRANDUBA,,,AM,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
ITACOATIARA,,,AM,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
ITAPIRANGA,,,AM,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
MANACAPURU,,,AM,,,,,-,,,,,,,"2.513,54",,,,,,,"2.513,54",,,,,"5.067,29",,,,,,,,,
MANAQUIRI,,,AM,,,,,-,,,,,,,"2.513,54",,,,,,,"2.513,54",,,,,"5.067,29",,,,,,,,,
MANAUS,,,AM,,,,,"65.818,49",,,,,,,"65.598,00",,,,,,,"131.416,49",,,,,"993.485,73",,,,,,,,,
PARINTINS,,,AM,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
SILVES,,,AM,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
URUCARA,,,AM,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
URUCURITUBA,,,AM,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
LARANJAL DO JARI,,,AP,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
MACAPA,,,AP,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
MAZAGAO,,,AP,,,,,-,,,,,,,"5.776,53",,,,,,,"5.776,53",,,,,"11.460,33",,,,,,,,,
ACAJUTIBA,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
ADUSTINA,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
AGUA FRIA,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
AIQUARA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
ALAGOINHAS,,,BA,,,,,"246.373,24",,,,,,,"131.860,28",,,,,,,"378.233,52",,,,,"683.567,62",,,,,,,,,
AMARGOSA,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
AMELIA RODRIGUES,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
ANAGE,,,BA,,,,,"105,99",,,,,,,-,,,,,,,"105,99",,,,,"205,14",,,,,,,,,
ANGUERA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
ANTAS,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
ANTONIO CARDOSO,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
APORA,,,BA,,,,,"82,06",,,,,,,-,,,,,,,"82,06",,,,,"158,82",,,,,,,,,
APUAREMA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
ARACAS,,,BA,,,,,"210.276,72",,,,,,,"96.906,76",,,,,,,"307.183,48",,,,,"562.775,29",,,,,,,,,
ARACI,,,BA,,,,,"105,99",,,,,,,-,,,,,,,"105,99",,,,,"205,14",,,,,,,,,
ARAMARI,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
ARATUIPE,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
BAIXA GRANDE,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
BANZAE,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
BARRA DO CHOCA,,,BA,,,,,"105,99",,,,,,,-,,,,,,,"105,99",,,,,"205,14",,,,,,,,,
BARROCAS,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
BELO CAMPO,,,BA,,,,,"82,06",,,,,,,-,,,,,,,"82,06",,,,,"158,82",,,,,,,,,
BIRITINGA,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA NOVA,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
BOA VISTA DO TUPIM,,,BA,,,,,"85,48",,,,,,,-,,,,,,,"85,48",,,,,"165,44",,,,,,,,,
BOM JESUS DA SERRA,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
BREJOES,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
CAATIBA,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
CABACEIRAS DO PARAGUACU,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
CACHOEIRA,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
CAEM,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
CAETANOS,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
CAMACARI,,,BA,,,,,"202,73",,,,,,,"27,70",,,,,,,"230,43",,,,,"927,34",,,,,,,,,
CANDEAL,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
CANDEIAS,,,BA,,,,,"189.985,49",,,,,,,"228.790,43",,,,,,,"418.775,92",,,,,"699.769,12",,,,,,,,,
