ANADIA,,,AL,,,,,"643,80",,,,,,-,,,,,,,"643,80",,,,,,,"4.204,96",,,,,,,,,,,
ATALAIA,,,AL,,,,,"831,58",,,,,,-,,,,,,,"831,58",,,,,,,"5.431,42",,,,,,,,,,,
BARRA DE SANTO ANTONIO,,,AL,,,,,"563,33",,,,,,-,,,,,,,"563,33",,,,,,,"3.679,34",,,,,,,,,,,
BARRA DE SAO MIGUEL,,,AL,,,,,"536,50",,,,,,-,,,,,,,"536,50",,,,,,,"3.504,13",,,,,,,,,,,
BOCA DA MATA,,,AL,,,,,"724,28",,,,,,-,,,,,,,"724,28",,,,,,,"4.730,59",,,,,,,,,,,
BRANQUINHA,,,AL,,,,,"563,33",,,,,,-,,,,,,,"563,33",,,,,,,"3.679,34",,,,,,,,,,,
CAJUEIRO,,,AL,,,,,"670,63",,,,,,-,,,,,,,"670,63",,,,,,,"4.380,18",,,,,,,,,,,
CAMPESTRE,,,AL,,,,,"536,50",,,,,,-,,,,,,,"536,50",,,,,,,"3.504,13",,,,,,,,,,,
CAMPO ALEGRE,,,AL,,,,,"831,58",,,,,,-,,,,,,,"831,58",,,,,,,"5.431,42",,,,,,,,,,,
CAPELA,,,AL,,,,,"670,63",,,,,,-,,,,,,,"670,63",,,,,,,"4.380,18",,,,,,,,,,,
CHA PRETA,,,AL,,,,,"536,50",,,,,,-,,,,,,,"536,50",,,,,,,"3.504,13",,,,,,,,,,,
COLONIA LEOPOLDINA,,,AL,,,,,"643,80",,,,,,-,,,,,,,"643,80",,,,,,,"4.204,96",,,,,,,,,,,
COQUEIRO SECO,,,AL,,,,,"717,59",,,,,,"116,80",,,,,,,"834,39",,,,,,,"5.044,64",,,,,,,,,,,
CORURIPE,,,AL,,,,,"695.545,20",,,,,,"30.758,83",,,,,,,"726.304,03",,,,,,,"6.397.694,15",,,,,,,,,,,
FELIZ DESERTO,,,AL,,,,,"19.113,09",,,,,,"26.710,54",,,,,,,"45.823,63",,,,,,,"299.294,10",,,,,,,,,,,
FLEXEIRAS,,,AL,,,,,"590,15",,,,,,-,,,,,,,"590,15",,,,,,,"3.854,54",,,,,,,,,,,
IBATEGUARA,,,AL,,,,,"616,98",,,,,,-,,,,,,,"616,98",,,,,,,"4.029,76",,,,,,,,,,,
IGREJA NOVA,,,AL,,,,,"697,46",,,,,,-,,,,,,,"697,46",,,,,,,"4.555,39",,,,,,,,,,,
JACUIPE,,,AL,,,,,"536,50",,,,,,-,,,,,,,"536,50",,,,,,,"3.504,13",,,,,,,,,,,
JAPARATINGA,,,AL,,,,,"536,50",,,,,,-,,,,,,,"536,50",,,,,,,"3.504,13",,,,,,,,,,,
JEQUIA DA PRAIA,,,AL,,,,,"590,15",,,,,,-,,,,,,,"590,15",,,,,,,"3.854,54",,,,,,,,,,,
JOAQUIM GOMES,,,AL,,,,,"697,46",,,,,,-,,,,,,,"697,46",,,,,,,"4.555,39",,,,,,,,,,,
JUNDIA,,,AL,,,,,"536,50",,,,,,-,,,,,,,"536,50",,,,,,,"3.504,13",,,,,,,,,,,
JUNQUEIRO,,,AL,,,,,"697,46",,,,,,-,,,,,,,"697,46",,,,,,,"4.555,39",,,,,,,,,,,
MACEIO,,,AL,,,,,"56.448,74",,,,,,"11.806,93",,,,,,,"68.255,67",,,,,,,"548.529,05",,,,,,,,,,,
MARAGOGI,,,AL,,,,,"697,46",,,,,,-,,,,,,,"697,46",,,,,,,"4.555,39",,,,,,,,,,,
MARECHAL DEODORO,,,AL,,,,,"109.065,58",,,,,,"59.164,07",,,,,,,"168.229,65",,,,,,,"1.428.767,72",,,,,,,,,,,
MATRIZ DE CAMARAGIBE,,,AL,,,,,"697,46",,,,,,-,,,,,,,"697,46",,,,,,,"4.555,39",,,,,,,,,,,
MESSIAS,,,AL,,,,,"563,33",,,,,,-,,,,,,,"563,33",,,,,,,"3.679,34",,,,,,,,,,,
MURICI,,,AL,,,,,"724,28",,,,,,-,,,,,,,"724,28",,,,,,,"4.730,59",,,,,,,,,,,
NOVO LINO,,,AL,,,,,"563,33",,,,,,-,,,,,,,"563,33",,,,,,,"3.679,34",,,,,,,,,,,
PARIPUEIRA,,,AL,,,,,"536,50",,,,,,"7.110,39",,,,,,,"7.646,89",,,,,,,"40.036,45",,,,,,,,,,,
