ANADIA-AL,,,,,,AL,,"894,77",,,,,,,-,,,,,"894,77",,,,,,"894,77",,,,,,,,
ATALAIA-AL,,,,,,AL,,"1.193,02",,,,,,,-,,,,,"1.193,02",,,,,,"1.193,02",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,AL,,"820,20",,,,,,,-,,,,,"820,20",,,,,,"820,20",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,AL,,"745,64",,,,,,,-,,,,,"745,64",,,,,,"745,64",,,,,,,,
BOCA DA MATA-AL,,,,,,AL,,"1.006,61",,,,,,,-,,,,,"1.006,61",,,,,,"1.006,61",,,,,,,,
BRANQUINHA-AL,,,,,,AL,,"782,92",,,,,,,-,,,,,"782,92",,,,,,"782,92",,,,,,,,
CAJUEIRO-AL,,,,,,AL,,"969,33",,,,,,,-,,,,,"969,33",,,,,,"969,33",,,,,,,,
CAMPESTRE-AL,,,,,,AL,,"745,64",,,,,,,-,,,,,"745,64",,,,,,"745,64",,,,,,,,
CAMPO ALEGRE-AL,,,,,,AL,,"1.155,74",,,,,,,-,,,,,"1.155,74",,,,,,"1.155,74",,,,,,,,
CAPELA-AL,,,,,,AL,,"894,77",,,,,,,-,,,,,"894,77",,,,,,"894,77",,,,,,,,
CHA PRETA-AL,,,,,,AL,,"745,64",,,,,,,-,,,,,"745,64",,,,,,"745,64",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,AL,,"932,05",,,,,,,-,,,,,"932,05",,,,,,"932,05",,,,,,,,
COQUEIRO SECO-AL,,,,,,AL,,"914,00",,,,,,,"108,59",,,,,"1.022,59",,,,,,"1.022,59",,,,,,,,
CORURIPE-AL,,,,,,AL,,"715.819,89",,,,,,,"60.639,10",,,,,"776.458,99",,,,,,"776.458,99",,,,,,,,
FELIZ DESERTO-AL,,,,,,AL,,"26.800,13",,,,,,,"37.453,18",,,,,"64.253,31",,,,,,"64.253,31",,,,,,,,
FLEXEIRAS-AL,,,,,,AL,,"782,92",,,,,,,-,,,,,"782,92",,,,,,"782,92",,,,,,,,
IBATEGUARA-AL,,,,,,AL,,"857,48",,,,,,,-,,,,,"857,48",,,,,,"857,48",,,,,,,,
IGREJA NOVA-AL,,,,,,AL,,"969,33",,,,,,,-,,,,,"969,33",,,,,,"969,33",,,,,,,,
JACUIPE-AL,,,,,,AL,,"745,64",,,,,,,-,,,,,"745,64",,,,,,"745,64",,,,,,,,
JAPARATINGA-AL,,,,,,AL,,"745,64",,,,,,,-,,,,,"745,64",,,,,,"745,64",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,AL,,"15.851,11",,,,,,,"6.328,64",,,,,"22.179,75",,,,,,"22.179,75",,,,,,,,
JOAQUIM GOMES-AL,,,,,,AL,,"969,33",,,,,,,-,,,,,"969,33",,,,,,"969,33",,,,,,,,
