ANADIA-AL,,,,,,,,,AL,,"687,21",,,,,-,,,,,,"687,21",,,,,,,"6.440,42",,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"887,65",,,,,-,,,,,,"887,65",,,,,,,"8.318,89",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"658,58",,,,,-,,,,,,"658,58",,,,,,,"6.172,06",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"572,68",,,,,-,,,,,,"572,68",,,,,,,"5.367,01",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"773,12",,,,,-,,,,,,"773,12",,,,,,,"7.245,49",,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"601,31",,,,,-,,,,,,"601,31",,,,,,,"5.635,38",,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"744,48",,,,,-,,,,,,"744,48",,,,,,,"6.977,12",,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"572,68",,,,,-,,,,,,"572,68",,,,,,,"5.367,01",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"916,29",,,,,-,,,,,,"916,29",,,,,,,"8.587,26",,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"687,21",,,,,-,,,,,,"687,21",,,,,,,"6.440,42",,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"572,68",,,,,-,,,,,,"572,68",,,,,,,"5.367,01",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"744,48",,,,,-,,,,,,"744,48",,,,,,,"6.977,12",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"71.641,44",,,,,"313,14",,,,,,"71.954,58",,,,,,,"762.456,30",,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"1.984.876,98",,,,,"67.641,18",,,,,,"2.052.518,16",,,,,,,"15.251.329,15",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"20.715,70",,,,,"28.950,19",,,,,,"49.665,89",,,,,,,"465.457,89",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"629,95",,,,,-,,,,,,"629,95",,,,,,,"5.903,73",,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"658,58",,,,,-,,,,,,"658,58",,,,,,,"6.172,06",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"744,48",,,,,-,,,,,,"744,48",,,,,,,"6.977,12",,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"572,68",,,,,-,,,,,,"572,68",,,,,,,"5.367,01",,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,"572,68",,,,,-,,,,,,"572,68",,,,,,,"5.367,01",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,"629,95",,,,,-,,,,,,"629,95",,,,,,,"30.327,07",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,"744,48",,,,,-,,,,,,"744,48",,,,,,,"6.977,12",,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,"572,68",,,,,-,,,,,,"572,68",,,,,,,"5.367,01",,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,"744,48",,,,,-,,,,,,"744,48",,,,,,,"6.977,12",,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,"88.634,17",,,,,"22.007,38",,,,,,"110.641,55",,,,,,,"1.117.095,76",,,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,"801,75",,,,,-,,,,,,"801,75",,,,,,,"7.513,83",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,"62.178,33",,,,,"47.273,58",,,,,,"109.451,91",,,,,,,"705.329,91",,,,,,,,,
