ANADIA-AL,,,,AL,,,,"691,02",,,,,,-,,,,,,,,"691,02",,,,,,,,"4.536,04",,,,,,,
ATALAIA-AL,,,,AL,,,,"892,57",,,,,,-,,,,,,,,"892,57",,,,,,,,"5.859,06",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"604,64",,,,,,-,,,,,,,,"604,64",,,,,,,,"3.969,03",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"575,85",,,,,,-,,,,,,,,"575,85",,,,,,,,"3.780,02",,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"777,40",,,,,,-,,,,,,,,"777,40",,,,,,,,"5.103,06",,,,,,,
BRANQUINHA-AL,,,,AL,,,,"604,64",,,,,,-,,,,,,,,"604,64",,,,,,,,"3.969,03",,,,,,,
CAJUEIRO-AL,,,,AL,,,,"719,81",,,,,,-,,,,,,,,"719,81",,,,,,,,"4.725,04",,,,,,,
CAMPESTRE-AL,,,,AL,,,,"575,85",,,,,,-,,,,,,,,"575,85",,,,,,,,"3.780,02",,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"892,57",,,,,,-,,,,,,,,"892,57",,,,,,,,"5.859,06",,,,,,,
CAPELA-AL,,,,AL,,,,"719,81",,,,,,-,,,,,,,,"719,81",,,,,,,,"4.725,04",,,,,,,
CHA PRETA-AL,,,,AL,,,,"575,85",,,,,,-,,,,,,,,"575,85",,,,,,,,"3.780,02",,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"691,02",,,,,,-,,,,,,,,"691,02",,,,,,,,"4.536,04",,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"1.281,85",,,,,,"455,37",,,,,,,,"1.737,22",,,,,,,,"8.446,97",,,,,,,
CORURIPE-AL,,,,AL,,,,"828.808,95",,,,,,"57.499,85",,,,,,,,"886.308,80",,,,,,,,"5.970.478,89",,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"20.900,10",,,,,,"28.646,20",,,,,,,,"49.546,30",,,,,,,,"325.235,39",,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"604,64",,,,,,-,,,,,,,,"604,64",,,,,,,,"3.969,03",,,,,,,
IBATEGUARA-AL,,,,AL,,,,"662,23",,,,,,-,,,,,,,,"662,23",,,,,,,,"4.347,04",,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"748,60",,,,,,-,,,,,,,,"748,60",,,,,,,,"4.914,05",,,,,,,
JACUIPE-AL,,,,AL,,,,"575,85",,,,,,-,,,,,,,,"575,85",,,,,,,,"3.780,02",,,,,,,
JAPARATINGA-AL,,,,AL,,,,"575,85",,,,,,-,,,,,,,,"575,85",,,,,,,,"3.780,02",,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,"1.428,15",,,,,,"333,78",,,,,,,,"1.761,93",,,,,,,,"12.405,67",,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,"748,60",,,,,,-,,,,,,,,"748,60",,,,,,,,"4.914,05",,,,,,,
