ANADIA-AL,,,,AL,,,,,"461,64",,,,,,-,,,,,,"461,64",,,,,"3.458,94",,,,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"577,05",,,,,,-,,,,,,"577,05",,,,,"4.323,67",,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"384,70",,,,,,-,,,,,,"384,70",,,,,"2.882,44",,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"384,70",,,,,,-,,,,,,"384,70",,,,,"2.882,44",,,,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"500,11",,,,,,-,,,,,,"500,11",,,,,"3.747,19",,,,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"384,70",,,,,,-,,,,,,"384,70",,,,,"2.882,44",,,,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"461,64",,,,,,-,,,,,,"461,64",,,,,"3.458,94",,,,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"384,70",,,,,,-,,,,,,"384,70",,,,,"2.882,44",,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"577,05",,,,,,-,,,,,,"577,05",,,,,"4.323,67",,,,,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"500,11",,,,,,-,,,,,,"500,11",,,,,"3.747,19",,,,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"384,70",,,,,,-,,,,,,"384,70",,,,,"2.882,44",,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"461,64",,,,,,-,,,,,,"461,64",,,,,"3.458,94",,,,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"384,70",,,,,,-,,,,,,"384,70",,,,,"2.882,44",,,,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"46.383,00",,,,,,"19.440,23",,,,,,"65.823,23",,,,,"481.850,57",,,,,,,,,,,,,
