PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"148,03",,,,,,,,,-,,,,,,"148,03",,,,,,,,"762,75",,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,,"203,54",,,,,,,,,-,,,,,,"203,54",,,,,,,,"1.048,80",,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,,"300,17",,,,,,,,,"114,66",,,,,,"414,83",,,,,,,,"1.611,96",,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,,"8.775,51",,,,,,,,,"766,49",,,,,,"9.542,00",,,,,,,,"35.000,42",,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,,"135,69",,,,,,,,,-,,,,,,"135,69",,,,,,,,"699,18",,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,,"160,36",,,,,,,,,-,,,,,,"160,36",,,,,,,,"826,32",,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,,"172,70",,,,,,,,,-,,,,,,"172,70",,,,,,,,"889,88",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,,"31.216,52",,,,,,,,,"11.794,03",,,,,,"43.010,55",,,,,,,,"158.975,99",,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,,"123,35",,,,,,,,,-,,,,,,"123,35",,,,,,,,"635,63",,,,,,,,,,,
SATUBA-AL,,,,AL,,,,,"4.506,14",,,,,,,,,"2.829,61",,,,,,"7.335,75",,,,,,,,"26.286,28",,,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,,"178,87",,,,,,,,,-,,,,,,"178,87",,,,,,,,"921,66",,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,,"197,37",,,,,,,,,-,,,,,,"197,37",,,,,,,,"1.017,01",,,,,,,,,,,
VICOSA-AL,,,,AL,,,,,"166,53",,,,,,,,,-,,,,,,"166,53",,,,,,,,"858,11",,,,,,,,,,,
COARI-AM,,,,AM,,,,,"254.152,56",,,,,,,,,"227.697,65",,,,,,"481.850,21",,,,,,,,"1.625.428,73",,,,,,,,,,,
CODAJAS-AM,,,,AM,,,,,-,,,,,,,,,"44,34",,,,,,"44,34",,,,,,,,"37.053,96",,,,,,,,,,,
MANAUS-AM,,,,AM,,,,,"8.652,16",,,,,,,,,"59.981,35",,,,,,"68.633,51",,,,,,,,"218.585,39",,,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
ADUSTINA-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
AGUA FRIA-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
AIQUARA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,23",,,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,,"53.783,86",,,,,,,,,"28.140,01",,,,,,"81.923,87",,,,,,,,"292.583,20",,,,,,,,,,,
AMARGOSA-BA,,,,BA,,,,,"29,92",,,,,,,,,-,,,,,,"29,92",,,,,,,,"68,91",,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,,"27,78",,,,,,,,,-,,,,,,"27,78",,,,,,,,"63,91",,,,,,,,,,,
ANAGE-BA,,,,BA,,,,,"33,12",,,,,,,,,-,,,,,,"33,12",,,,,,,,"76,58",,,,,,,,,,,
ANGUERA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,23",,,,,,,,,,,
ANTAS-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
APORA-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
APUAREMA-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
ARACAS-BA,,,,BA,,,,,"19.371,11",,,,,,,,,"6.803,76",,,,,,"26.174,87",,,,,,,,"98.406,70",,,,,,,,,,,
ARACI-BA,,,,BA,,,,,"34,19",,,,,,,,,-,,,,,,"34,19",,,,,,,,"78,89",,,,,,,,,,,
ARAMARI-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,23",,,,,,,,,,,
ARATUIPE-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,23",,,,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,,,"27,78",,,,,,,,,-,,,,,,"27,78",,,,,,,,"63,91",,,,,,,,,,,
BANZAE-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,,,"32,05",,,,,,,,,-,,,,,,"32,05",,,,,,,,"73,90",,,,,,,,,,,
BELO CAMPO-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
BIRITINGA-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
BOA NOVA-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,,,"26,71",,,,,,,,,-,,,,,,"26,71",,,,,,,,"61,60",,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
BREJOES-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
CAATIBA-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
CACHOEIRA-BA,,,,BA,,,,,"29,92",,,,,,,,,-,,,,,,"29,92",,,,,,,,"68,91",,,,,,,,,,,
