ANADIA-AL,,,,,AL,,,,,"384,89",,,,,,,,,-,,,,,,"384,89",,,,,,,,,"1.841,93",,,,,,,,,
ATALAIA-AL,,,,,AL,,,,,"481,11",,,,,,,,,-,,,,,,"481,11",,,,,,,,,"2.302,41",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"416,96",,,,,,,,,-,,,,,,"416,96",,,,,,,,,"1.995,42",,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"384,89",,,,,,,,,-,,,,,,"384,89",,,,,,,,,"1.841,93",,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"481,11",,,,,,,,,-,,,,,,"481,11",,,,,,,,,"2.302,41",,,,,,,,,
CAPELA-AL,,,,,AL,,,,,"416,96",,,,,,,,,-,,,,,,"416,96",,,,,,,,,"1.995,42",,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"384,89",,,,,,,,,-,,,,,,"384,89",,,,,,,,,"1.841,93",,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"321,42",,,,,,,,,-,,,,,,"321,42",,,,,,,,,"34.835,28",,,,,,,,,
CORURIPE-AL,,,,,AL,,,,,"36.182,30",,,,,,,,,"16.160,88",,,,,,"52.343,18",,,,,,,,,"251.802,32",,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"11.301,61",,,,,,,,,"15.477,41",,,,,,"26.779,02",,,,,,,,,"128.224,08",,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"352,82",,,,,,,,,-,,,,,,"352,82",,,,,,,,,"1.688,43",,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"368,85",,,,,,,,,-,,,,,,"368,85",,,,,,,,,"1.765,17",,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"400,93",,,,,,,,,-,,,,,,"400,93",,,,,,,,,"1.918,67",,,,,,,,,
JACUIPE-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
