ANADIA-AL,,,,,,,,,,AL,,,,"815,67",,,,,,,,-,,,,,,"815,67",,,,,,,,,"4.079,83",,,,,,,
ATALAIA-AL,,,,,,,,,,AL,,,,"1.053,58",,,,,,,,-,,,,,,"1.053,58",,,,,,,,,"5.269,80",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,,AL,,,,"781,69",,,,,,,,-,,,,,,"781,69",,,,,,,,,"3.909,84",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,,AL,,,,"679,73",,,,,,,,-,,,,,,"679,73",,,,,,,,,"3.399,87",,,,,,,
BOCA DA MATA-AL,,,,,,,,,,AL,,,,"917,63",,,,,,,,-,,,,,,"917,63",,,,,,,,,"4.589,81",,,,,,,
BRANQUINHA-AL,,,,,,,,,,AL,,,,"713,71",,,,,,,,-,,,,,,"713,71",,,,,,,,,"3.569,86",,,,,,,
CAJUEIRO-AL,,,,,,,,,,AL,,,,"883,64",,,,,,,,-,,,,,,"883,64",,,,,,,,,"4.419,83",,,,,,,
CAMPESTRE-AL,,,,,,,,,,AL,,,,"679,73",,,,,,,,-,,,,,,"679,73",,,,,,,,,"3.399,87",,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,,AL,,,,"1.087,56",,,,,,,,-,,,,,,"1.087,56",,,,,,,,,"5.439,78",,,,,,,
CAPELA-AL,,,,,,,,,,AL,,,,"815,67",,,,,,,,-,,,,,,"815,67",,,,,,,,,"4.079,83",,,,,,,
CHA PRETA-AL,,,,,,,,,,AL,,,,"679,73",,,,,,,,-,,,,,,"679,73",,,,,,,,,"3.399,87",,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,,AL,,,,"883,64",,,,,,,,-,,,,,,"883,64",,,,,,,,,"4.419,83",,,,,,,
COQUEIRO SECO-AL,,,,,,,,,,AL,,,,"118.217,27",,,,,,,,"248,72",,,,,,"118.465,99",,,,,,,,,"562.045,18",,,,,,,
CORURIPE-AL,,,,,,,,,,AL,,,,"2.155.236,48",,,,,,,,"77.908,69",,,,,,"2.233.145,17",,,,,,,,,"10.921.951,02",,,,,,,
FELIZ DESERTO-AL,,,,,,,,,,AL,,,,"24.587,94",,,,,,,,"34.361,64",,,,,,"58.949,58",,,,,,,,,"294.854,75",,,,,,,
FLEXEIRAS-AL,,,,,,,,,,AL,,,,"747,70",,,,,,,,-,,,,,,"747,70",,,,,,,,,"3.739,85",,,,,,,
IBATEGUARA-AL,,,,,,,,,,AL,,,,"781,69",,,,,,,,-,,,,,,"781,69",,,,,,,,,"3.909,84",,,,,,,
IGREJA NOVA-AL,,,,,,,,,,AL,,,,"883,64",,,,,,,,-,,,,,,"883,64",,,,,,,,,"4.419,83",,,,,,,
JACUIPE-AL,,,,,,,,,,AL,,,,"679,73",,,,,,,,-,,,,,,"679,73",,,,,,,,,"3.399,87",,,,,,,
JAPARATINGA-AL,,,,,,,,,,AL,,,,"679,73",,,,,,,,-,,,,,,"679,73",,,,,,,,,"3.399,87",,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,,AL,,,,"1.771,30",,,,,,,,"429,91",,,,,,"2.201,21",,,,,,,,,"14.971,81",,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,,AL,,,,"883,64",,,,,,,,-,,,,,,"883,64",,,,,,,,,"4.419,83",,,,,,,
JUNDIA-AL,,,,,,,,,,AL,,,,"679,73",,,,,,,,-,,,,,,"679,73",,,,,,,,,"3.399,87",,,,,,,
