ANADIA-AL,,,,,,,,,AL,,,"619,95",,,,,,-,,,,,,,"619,95",,,,,,,"5.436,31",,,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"800,77",,,,,,-,,,,,,,"800,77",,,,,,,"7.021,92",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"594,12",,,,,,-,,,,,,,"594,12",,,,,,,"5.209,80",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"516,62",,,,,,-,,,,,,,"516,62",,,,,,,"4.530,26",,,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"697,44",,,,,,-,,,,,,,"697,44",,,,,,,"6.115,84",,,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"542,46",,,,,,-,,,,,,,"542,46",,,,,,,"4.756,78",,,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"671,61",,,,,,-,,,,,,,"671,61",,,,,,,"5.889,34",,,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"516,62",,,,,,-,,,,,,,"516,62",,,,,,,"4.530,26",,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"826,60",,,,,,-,,,,,,,"826,60",,,,,,,"7.248,42",,,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"619,95",,,,,,-,,,,,,,"619,95",,,,,,,"5.436,31",,,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"516,62",,,,,,-,,,,,,,"516,62",,,,,,,"4.530,26",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"671,61",,,,,,-,,,,,,,"671,61",,,,,,,"5.889,34",,,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"106.043,29",,,,,,"80,81",,,,,,,"106.124,10",,,,,,,"668.783,05",,,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"2.168.872,26",,,,,,"59.638,81",,,,,,,"2.228.511,07",,,,,,,"15.218.117,79",,,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,"18.688,05",,,,,,"26.116,56",,,,,,,"44.804,61",,,,,,,"392.888,97",,,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,"568,29",,,,,,-,,,,,,,"568,29",,,,,,,"4.983,29",,,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,"594,12",,,,,,-,,,,,,,"594,12",,,,,,,"5.209,80",,,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,"671,61",,,,,,-,,,,,,,"671,61",,,,,,,"5.889,34",,,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,,"516,62",,,,,,-,,,,,,,"516,62",,,,,,,"4.530,26",,,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,,"516,62",,,,,,-,,,,,,,"516,62",,,,,,,"4.530,26",,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,,"2.272,38",,,,,,"715,72",,,,,,,"2.988,10",,,,,,,"19.865,05",,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,,"671,61",,,,,,-,,,,,,,"671,61",,,,,,,"5.889,34",,,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,,"516,62",,,,,,-,,,,,,,"516,62",,,,,,,"4.530,26",,,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,,"671,61",,,,,,-,,,,,,,"671,61",,,,,,,"5.889,34",,,,,,,,,,,
