ANADIA-AL,,,,,,,,AL,,,"684,68",,,,,,,,-,,,,,,,,"684,68",,,,,,,"8.883,37",,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"912,91",,,,,,,,-,,,,,,,,"912,91",,,,,,,"11.844,48",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"627,62",,,,,,,,-,,,,,,,,"627,62",,,,,,,"8.143,07",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"570,56",,,,,,,,-,,,,,,,,"570,56",,,,,,,"7.402,79",,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"770,26",,,,,,,,-,,,,,,,,"770,26",,,,,,,"9.993,78",,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"599,09",,,,,,,,-,,,,,,,,"599,09",,,,,,,"7.772,92",,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"741,73",,,,,,,,-,,,,,,,,"741,73",,,,,,,"9.623,62",,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"570,56",,,,,,,,-,,,,,,,,"570,56",,,,,,,"7.402,79",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"884,38",,,,,,,,-,,,,,,,,"884,38",,,,,,,"11.474,35",,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"684,68",,,,,,,,-,,,,,,,,"684,68",,,,,,,"8.883,37",,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"570,56",,,,,,,,-,,,,,,,,"570,56",,,,,,,"7.402,79",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"713,21",,,,,,,,-,,,,,,,,"713,21",,,,,,,"9.253,51",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"656,10",,,,,,,,"55,17",,,,,,,,"711,27",,,,,,,"9.949,71",,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"885.843,30",,,,,,,,"53.668,91",,,,,,,,"939.512,21",,,,,,,"9.301.942,72",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"20.507,55",,,,,,,,"28.659,31",,,,,,,,"49.166,86",,,,,,,"637.915,28",,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"599,09",,,,,,,,-,,,,,,,,"599,09",,,,,,,"7.772,92",,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"656,15",,,,,,,,-,,,,,,,,"656,15",,,,,,,"8.513,22",,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"741,73",,,,,,,,-,,,,,,,,"741,73",,,,,,,"9.623,62",,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"570,56",,,,,,,,-,,,,,,,,"570,56",,,,,,,"7.402,79",,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"570,56",,,,,,,,-,,,,,,,,"570,56",,,,,,,"7.402,79",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"1.871,12",,,,,,,,"534,25",,,,,,,,"2.405,37",,,,,,,"69.473,05",,,,,,,,
