RIO LARGO-AL,,,AL,,,"1.836,55",,,,,,,"811,15",,,,,,,"2.647,70",,,,,,"25.274,02",,,,,,,,,,,,,
ROTEIRO-AL,,,AL,,,"669,57",,,,,,,"205,55",,,,,,,"875,12",,,,,,"5.404,37",,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,"350,88",,,,,,,-,,,,,,,"350,88",,,,,,"39.698,50",,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,"368,42",,,,,,,-,,,,,,,"368,42",,,,,,"2.643,26",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,"456,14",,,,,,,-,,,,,,,"456,14",,,,,,"3.272,82",,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,"491,23",,,,,,,-,,,,,,,"491,23",,,,,,"3.525,12",,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,"87.044,94",,,,,,,"26.194,93",,,,,,,"113.239,87",,,,,,"673.040,96",,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,"350,88",,,,,,,-,,,,,,,"350,88",,,,,,"2.518,26",,,,,,,,,,,,,
SATUBA-AL,,,AL,,,"10.751,07",,,,,,,"6.685,50",,,,,,,"17.436,57",,,,,,"131.846,84",,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,"526,31",,,,,,,-,,,,,,,"526,31",,,,,,"3.777,38",,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,"578,95",,,,,,,-,,,,,,,"578,95",,,,,,"4.154,68",,,,,,,,,,,,,
VICOSA-AL,,,AL,,,"473,68",,,,,,,-,,,,,,,"473,68",,,,,,"3.398,96",,,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,-,,,,,,,"3.472,94",,,,,,,"3.472,94",,,,,,"48.915,92",,,,,,,,,,,,,
COARI-AM,,,AM,,,"997.063,51",,,,,,,"829.407,28",,,,,,,"1.826.470,79",,,,,,"10.501.200,97",,,,,,,,,,,,,
IRANDUBA-AM,,,AM,,,-,,,,,,,"3.472,94",,,,,,,"3.472,94",,,,,,"48.915,92",,,,,,,,,,,,,
MANAUS-AM,,,AM,,,"42.469,86",,,,,,,"39.397,86",,,,,,,"81.867,72",,,,,,"470.297,47",,,,,,,,,,,,,
ACAJUTIBA-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
ADUSTINA-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
AGUA FRIA-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
AIQUARA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
ALAGOINHAS-BA,,,BA,,,"147.308,68",,,,,,,"76.282,49",,,,,,,"223.591,17",,,,,,"1.248.206,81",,,,,,,,,,,,,
AMARGOSA-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
ANAGE-BA,,,BA,,,"74,87",,,,,,,-,,,,,,,"74,87",,,,,,"514,00",,,,,,,,,,,,,
ANGUERA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
ANTAS-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
APORA-BA,,,BA,,,"57,97",,,,,,,-,,,,,,,"57,97",,,,,,"398,62",,,,,,,,,,,,,
APUAREMA-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
ARACAS-BA,,,BA,,,"131.744,56",,,,,,,"59.650,30",,,,,,,"191.394,86",,,,,,"1.110.366,18",,,,,,,,,,,,,
ARACI-BA,,,BA,,,"74,87",,,,,,,-,,,,,,,"74,87",,,,,,"514,00",,,,,,,,,,,,,
ARAMARI -BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
