ANADIA-AL,,,,,,,,,AL,,"769,86",,,,,,,-,,,,,,"769,86",,,,,,,"8.050,90",,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"994,40",,,,,,,-,,,,,,"994,40",,,,,,,"10.399,10",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"737,78",,,,,,,-,,,,,,"737,78",,,,,,,"7.715,44",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"641,55",,,,,,,-,,,,,,"641,55",,,,,,,"6.709,08",,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"866,09",,,,,,,-,,,,,,"866,09",,,,,,,"9.057,28",,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"673,63",,,,,,,-,,,,,,"673,63",,,,,,,"7.044,55",,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"834,02",,,,,,,-,,,,,,"834,02",,,,,,,"8.721,82",,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"641,55",,,,,,,-,,,,,,"641,55",,,,,,,"6.709,08",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"1.026,48",,,,,,,-,,,,,,"1.026,48",,,,,,,"10.734,57",,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"769,86",,,,,,,-,,,,,,"769,86",,,,,,,"8.050,90",,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"641,55",,,,,,,-,,,,,,"641,55",,,,,,,"6.709,08",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"834,02",,,,,,,-,,,,,,"834,02",,,,,,,"8.721,82",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"107.079,00",,,,,,,"308,15",,,,,,"107.387,15",,,,,,,"981.193,71",,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"2.143.354,52",,,,,,,"78.563,17",,,,,,"2.221.917,69",,,,,,,"19.692.022,55",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"23.206,99",,,,,,,"32.431,77",,,,,,"55.638,76",,,,,,,"581.849,49",,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"705,70",,,,,,,-,,,,,,"705,70",,,,,,,"7.380,00",,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"737,78",,,,,,,-,,,,,,"737,78",,,,,,,"7.715,44",,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"834,02",,,,,,,-,,,,,,"834,02",,,,,,,"8.721,82",,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"641,55",,,,,,,-,,,,,,"641,55",,,,,,,"6.709,08",,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,"641,55",,,,,,,-,,,,,,"641,55",,,,,,,"6.709,08",,,,,,,,
