PORTO DE PEDRAS-AL,,,,AL,,,,,"618,58",,,,,,,-,,,,,,,,"618,58",,,,,,,"4.587,61",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"736,40",,,,,,,-,,,,,,,,"736,40",,,,,,,"5.461,44",,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,,"6.193,81",,,,,,,"3.368,04",,,,,,,,"9.561,85",,,,,,,"102.652,93",,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,,"1.091,23",,,,,,,"323,86",,,,,,,,"1.415,09",,,,,,,"9.406,89",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,,"2.882,45",,,,,,,"1.479,19",,,,,,,,"4.361,64",,,,,,,"14.898,46",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,,"618,58",,,,,,,-,,,,,,,,"618,58",,,,,,,"4.587,61",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,,"765,86",,,,,,,-,,,,,,,,"765,86",,,,,,,"5.679,91",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,,"824,77",,,,,,,-,,,,,,,,"824,77",,,,,,,"6.116,82",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,,"302.690,35",,,,,,,"202.366,90",,,,,,,,"505.057,25",,,,,,,"3.673.643,74",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,,"589,12",,,,,,,-,,,,,,,,"589,12",,,,,,,"4.369,14",,,,,,,,,,
SATUBA-AL,,,,AL,,,,,"31.970,42",,,,,,,"20.202,94",,,,,,,,"52.173,36",,,,,,,"464.264,55",,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,,"883,68",,,,,,,-,,,,,,,,"883,68",,,,,,,"6.553,74",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,,"972,05",,,,,,,-,,,,,,,,"972,05",,,,,,,"7.209,12",,,,,,,,,,
VICOSA-AL,,,,AL,,,,,"795,31",,,,,,,-,,,,,,,,"795,31",,,,,,,"5.898,37",,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,"1.614.080,64",,,,,,,"558.893,64",,,,,,,,"2.172.974,28",,,,,,,"15.978.547,85",,,,,,,,,,
ANAMA-AM,,,,AM,,,,,-,,,,,,,"2.167,19",,,,,,,,"2.167,19",,,,,,,"14.478,74",,,,,,,,,,
ANORI-AM,,,,AM,,,,,-,,,,,,,"2.167,19",,,,,,,,"2.167,19",,,,,,,"14.478,74",,,,,,,,,,
AUTAZES-AM,,,,AM,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
BERURI-AM,,,,AM,,,,,-,,,,,,,"2.167,19",,,,,,,,"2.167,19",,,,,,,"14.478,74",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
CAREIRO-AM,,,,AM,,,,,-,,,,,,,"2.167,19",,,,,,,,"2.167,19",,,,,,,"14.478,74",,,,,,,,,,
COARI-AM,,,,AM,,,,,"1.556.358,33",,,,,,,"1.549.983,97",,,,,,,,"3.106.342,30",,,,,,,"21.976.868,09",,,,,,,,,,
CODAJAS-AM,,,,AM,,,,,-,,,,,,,"2.167,19",,,,,,,,"2.167,19",,,,,,,"14.478,74",,,,,,,,,,
IRANDUBA-AM,,,,AM,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
ITACOATIARA-AM,,,,AM,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
ITAPIRANGA-AM,,,,AM,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
MANACAPURU-AM,,,,AM,,,,,-,,,,,,,"2.167,19",,,,,,,,"2.167,19",,,,,,,"14.478,74",,,,,,,,,,
MANAQUIRI-AM,,,,AM,,,,,-,,,,,,,"2.167,19",,,,,,,,"2.167,19",,,,,,,"14.478,74",,,,,,,,,,
MANAUS-AM,,,,AM,,,,,"872.303,73",,,,,,,"67.461,74",,,,,,,,"939.765,47",,,,,,,"6.111.437,61",,,,,,,,,,
PARINTINS-AM,,,,AM,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
SILVES-AM,,,,AM,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
URUCARA-AM,,,,AM,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
URUCURITUBA-AM,,,,AM,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,40",,,,,,,,,,
