ANADIA-AL,,,,,,AL,,"427,61",,,,,,,-,,,,,"427,61",,,,,,"427,61",,,,,,,,
ATALAIA-AL,,,,,,AL,,"552,33",,,,,,,-,,,,,"552,33",,,,,,"552,33",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,AL,,"374,16",,,,,,,-,,,,,"374,16",,,,,,"374,16",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,AL,,"356,34",,,,,,,-,,,,,"356,34",,,,,,"356,34",,,,,,,,
BOCA DA MATA-AL,,,,,,AL,,"481,06",,,,,,,-,,,,,"481,06",,,,,,"481,06",,,,,,,,
BRANQUINHA-AL,,,,,,AL,,"374,16",,,,,,,-,,,,,"374,16",,,,,,"374,16",,,,,,,,
CAJUEIRO-AL,,,,,,AL,,"445,43",,,,,,,-,,,,,"445,43",,,,,,"445,43",,,,,,,,
CAMPESTRE-AL,,,,,,AL,,"356,34",,,,,,,-,,,,,"356,34",,,,,,"356,34",,,,,,,,
CAMPO ALEGRE-AL,,,,,,AL,,"552,33",,,,,,,-,,,,,"552,33",,,,,,"552,33",,,,,,,,
CAPELA-AL,,,,,,AL,,"445,43",,,,,,,-,,,,,"445,43",,,,,,"445,43",,,,,,,,
CHA PRETA-AL,,,,,,AL,,"356,34",,,,,,,-,,,,,"356,34",,,,,,"356,34",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,AL,,"427,61",,,,,,,-,,,,,"427,61",,,,,,"427,61",,,,,,,,
COQUEIRO SECO-AL,,,,,,AL,,"356,34",,,,,,,-,,,,,"356,34",,,,,,"356,34",,,,,,,,
CORURIPE-AL,,,,,,AL,,"39.933,32",,,,,,,"18.196,62",,,,,"58.129,94",,,,,,"58.129,94",,,,,,,,
FELIZ DESERTO-AL,,,,,,AL,,"12.694,80",,,,,,,"17.740,99",,,,,"30.435,79",,,,,,"30.435,79",,,,,,,,
FLEXEIRAS-AL,,,,,,AL,,"391,98",,,,,,,-,,,,,"391,98",,,,,,"391,98",,,,,,,,
IBATEGUARA-AL,,,,,,AL,,"409,79",,,,,,,-,,,,,"409,79",,,,,,"409,79",,,,,,,,
IGREJA NOVA-AL,,,,,,AL,,"463,24",,,,,,,-,,,,,"463,24",,,,,,"463,24",,,,,,,,
JACUIPE-AL,,,,,,AL,,"356,34",,,,,,,-,,,,,"356,34",,,,,,"356,34",,,,,,,,
JAPARATINGA-AL,,,,,,AL,,"356,34",,,,,,,-,,,,,"356,34",,,,,,"356,34",,,,,,,,
