ROTEIRO-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"6.466,69",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,,"632,20",,,,,,-,,,,,"632,20",,,,,"5.256,48",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,,"782,72",,,,,,-,,,,,"782,72",,,,,"6.508,01",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,"842,93",,,,,,-,,,,,"842,93",,,,,"7.008,64",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,,"218.277,20",,,,,,"125.868,97",,,,,"344.146,17",,,,,"2.692.284,74",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,,"602,09",,,,,,-,,,,,"602,09",,,,,"5.006,15",,,,,,,,,,
SATUBA-AL,,,,,AL,,,,,"24.296,61",,,,,,"15.244,13",,,,,"39.540,74",,,,,"387.282,99",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,,"903,14",,,,,,-,,,,,"903,14",,,,,"7.509,26",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,,"993,46",,,,,,-,,,,,"993,46",,,,,"8.260,19",,,,,,,,,,
VICOSA-AL,,,,,AL,,,,,"812,83",,,,,,-,,,,,"812,83",,,,,"6.758,33",,,,,,,,,,
TOTAL ALAGOAS,,,,,,,,,,"1.752.227,90",,,,,,"501.194,62",,,,,"2.253.422,52",,,,,"18.499.680,91",,,,,,,,,,
ANAMA-AM,,,,,AM,,,,,-,,,,,,"2.405,79",,,,,"2.405,79",,,,,"17.499,19",,,,,,,,,,
ANORI-AM,,,,,AM,,,,,-,,,,,,"2.405,79",,,,,"2.405,79",,,,,"17.499,19",,,,,,,,,,
AUTAZES-AM,,,,,AM,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
BERURI-AM,,,,,AM,,,,,-,,,,,,"2.405,79",,,,,"2.405,79",,,,,"17.499,19",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
CAREIRO-AM,,,,,AM,,,,,-,,,,,,"2.405,79",,,,,"2.405,79",,,,,"17.499,19",,,,,,,,,,
COARI-AM,,,,,AM,,,,,"2.028.283,68",,,,,,"1.850.306,47",,,,,"3.878.590,15",,,,,"29.416.695,03",,,,,,,,,,
CODAJAS-AM,,,,,AM,,,,,-,,,,,,"2.405,79",,,,,"2.405,79",,,,,"17.499,19",,,,,,,,,,
IRANDUBA-AM,,,,,AM,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
ITACOATIARA-AM,,,,,AM,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
ITAPIRANGA-AM,,,,,AM,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
MANACAPURU-AM,,,,,AM,,,,,-,,,,,,"2.405,79",,,,,"2.405,79",,,,,"17.499,19",,,,,,,,,,
MANAQUIRI-AM,,,,,AM,,,,,-,,,,,,"2.405,79",,,,,"2.405,79",,,,,"17.499,19",,,,,,,,,,
MANAUS-AM,,,,,AM,,,,,"1.074.743,80",,,,,,"88.212,63",,,,,"1.162.956,43",,,,,"6.801.474,71",,,,,,,,,,
PARINTINS-AM,,,,,AM,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
SILVES-AM,,,,,AM,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
URUCARA-AM,,,,,AM,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
URUCURITUBA-AM,,,,,AM,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
TOTAL AMAZONAS,,,,,,,,,,"3.103.027,48",,,,,,"2.016.956,26",,,,,"5.119.983,74",,,,,"36.736.982,58",,,,,,,,,,
LARANJAL DO JARI-AP,,,,,AP,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
MACAPA-AP,,,,,AP,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
MAZAGAO-AP,,,,,AP,,,,,-,,,,,,"6.844,07",,,,,"6.844,07",,,,,"44.035,39",,,,,,,,,,
TOTAL AMAPA,,,,,,,,,,-,,,,,,"20.532,21",,,,,"20.532,21",,,,,"132.106,17",,,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
ADUSTINA-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
AIQUARA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,,"278.179,39",,,,,,"127.263,68",,,,,"405.443,07",,,,,"3.232.479,20",,,,,,,,,,
AMARGOSA-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,,"97,82",,,,,,-,,,,,"97,82",,,,,"769,54",,,,,,,,,,
ANAGE-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
ANGUERA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
ANTAS-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,,"76,08",,,,,,-,,,,,"76,08",,,,,"598,54",,,,,,,,,,
APORA-BA,,,,,BA,,,,,"86,95",,,,,,-,,,,,"86,95",,,,,"684,04",,,,,,,,,,
APUAREMA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
ARACAS-BA,,,,,BA,,,,,"217.481,91",,,,,,"94.011,75",,,,,"311.493,66",,,,,"2.443.048,31",,,,,,,,,,
ARACI-BA,,,,,BA,,,,,"112,32",,,,,,-,,,,,"112,32",,,,,"883,56",,,,,,,,,,
ARAMARI-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,,"94,20",,,,,,-,,,,,"94,20",,,,,"741,05",,,,,,,,,,
BANZAE-BA,,,,,BA,,,,,"76,08",,,,,,-,,,,,"76,08",,,,,"598,54",,,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,,"112,32",,,,,,-,,,,,"112,32",,,,,"883,56",,,,,,,,,,
BARROCAS-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,,"86,95",,,,,,-,,,,,"86,95",,,,,"684,04",,,,,,,,,,
BIRITINGA-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"8.990,48",,,,,,,,,,
BOA NOVA-BA,,,,,BA,,,,,"94,20",,,,,,-,,,,,"94,20",,,,,"741,05",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,,"90,58",,,,,,-,,,,,"90,58",,,,,"712,54",,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,,"76,08",,,,,,-,,,,,"76,08",,,,,"598,54",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJOES-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
CAATIBA-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
CAEM-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
CAETANOS-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
CAMACARI-BA,,,,,BA,,,,,"675,79",,,,,,"302,59",,,,,"978,38",,,,,"5.466,46",,,,,,,,,,
CANDEAL-BA,,,,,BA,,,,,"76,08",,,,,,-,,,,,"76,08",,,,,"598,54",,,,,,,,,,
CANDEIAS-BA,,,,,BA,,,,,"210.390,96",,,,,,"236.239,49",,,,,"446.630,45",,,,,"3.636.169,61",,,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
CANSANCAO-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
CANUDOS-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,,"76,08",,,,,,-,,,,,"76,08",,,,,"598,54",,,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,,"94,20",,,,,,-,,,,,"94,20",,,,,"741,05",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,,"138.622,34",,,,,,"41.008,42",,,,,"179.630,76",,,,,"1.360.655,36",,,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,,"97,82",,,,,,-,,,,,"97,82",,,,,"769,54",,,,,,,,,,
CATU-BA,,,,,BA,,,,,"212.590,03",,,,,,"105.655,07",,,,,"318.245,10",,,,,"2.494.489,31",,,,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
CIPO-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,,"86,95",,,,,,-,,,,,"86,95",,,,,"684,04",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,,"90,58",,,,,,-,,,,,"90,58",,,,,"712,54",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,,"119,56",,,,,,-,,,,,"119,56",,,,,"940,58",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,,"97,82",,,,,,-,,,,,"97,82",,,,,"769,54",,,,,,,,,,
CONDE-BA,,,,,BA,,,,,"159,90",,,,,,"42,38",,,,,"202,28",,,,,"1.558,55",,,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,,"94,20",,,,,,-,,,,,"94,20",,,,,"741,05",,,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,,"90,58",,,,,,-,,,,,"90,58",,,,,"712,54",,,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,,"90,58",,,,,,-,,,,,"90,58",,,,,"712,54",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,,"115,94",,,,,,-,,,,,"115,94",,,,,"912,07",,,,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,,"112,32",,,,,,-,,,,,"112,32",,,,,"908,91",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,,"105,07",,,,,,-,,,,,"105,07",,,,,"826,57",,,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,,"231.305,30",,,,,,"140.467,31",,,,,"371.772,61",,,,,"2.951.121,83",,,,,,,,,,
ESPLANADA-BA,,,,,BA,,,,,"411.657,79",,,,,,"246.616,96",,,,,"658.274,75",,,,,"5.305.189,40",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,,"115,94",,,,,,-,,,,,"115,94",,,,,"912,07",,,,,,,,,,
FATIMA-BA,,,,,BA,,,,,"90,58",,,,,,-,,,,,"90,58",,,,,"712,54",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,,"144,93",,,,,,-,,,,,"144,93",,,,,"1.140,09",,,,,,,,,,
GAVIAO-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
GLORIA-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,,"86,95",,,,,,-,,,,,"86,95",,,,,"684,04",,,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
IACU-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
IBIQUERA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
ICHU-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,,"2.645,59",,,,,,"1.297,51",,,,,"3.943,10",,,,,"15.735,03",,,,,,,,,,
IPECAETA-BA,,,,,BA,,,,,"90,58",,,,,,-,,,,,"90,58",,,,,"712,54",,,,,,,,,,
IPIRA-BA,,,,,BA,,,,,"119,56",,,,,,-,,,,,"119,56",,,,,"940,58",,,,,,,,,,
IRAJUBA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
IRARA-BA,,,,,BA,,,,,"97,82",,,,,,-,,,,,"97,82",,,,,"769,54",,,,,,,,,,
ITABERABA-BA,,,,,BA,,,,,"119,56",,,,,,-,,,,,"119,56",,,,,"940,58",,,,,,,,,,
ITAGI-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITAMBE-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
ITANAGRA-BA,,,,,BA,,,,,"89.280,15",,,,,,"10.568,94",,,,,"99.849,09",,,,,"775.117,60",,,,,,,,,,
ITAPARICA-BA,,,,,BA,,,,,"2.506,71",,,,,,"126.161,72",,,,,"128.668,43",,,,,"1.074.775,65",,,,,,,,,,
ITAPETINGA-BA,,,,,BA,,,,,"119,56",,,,,,-,,,,,"119,56",,,,,"940,58",,,,,,,,,,
ITAPICURU-BA,,,,,BA,,,,,"97,82",,,,,,-,,,,,"97,82",,,,,"769,54",,,,,,,,,,
ITAQUARA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
ITARANTIM-BA,,,,,BA,,,,,"86,95",,,,,,-,,,,,"86,95",,,,,"684,04",,,,,,,,,,
ITATIM-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
ITIRUCU-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
ITIUBA-BA,,,,,BA,,,,,"105,07",,,,,,-,,,,,"105,07",,,,,"826,57",,,,,,,,,,
JACOBINA-BA,,,,,BA,,,,,"126,81",,,,,,-,,,,,"126,81",,,,,"997,58",,,,,,,,,,
JAGUAQUARA-BA,,,,,BA,,,,,"112,32",,,,,,-,,,,,"112,32",,,,,"883,56",,,,,,,,,,
JAGUARIPE-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
JANDAIRA-BA,,,,,BA,,,,,"76,08",,,,,,-,,,,,"76,08",,,,,"598,54",,,,,,,,,,
JEQUIE-BA,,,,,BA,,,,,"144,93",,,,,,-,,,,,"144,93",,,,,"1.140,09",,,,,,,,,,
JEREMOABO-BA,,,,,BA,,,,,"105,07",,,,,,-,,,,,"105,07",,,,,"826,57",,,,,,,,,,
JIQUIRICA-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
JITAUNA-BA,,,,,BA,,,,,"94,20",,,,,,-,,,,,"94,20",,,,,"741,05",,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
LAJE-BA,,,,,BA,,,,,"90,58",,,,,,-,,,,,"90,58",,,,,"712,54",,,,,,,,,,
LAJEDINHO-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
LAMARAO-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
LAURO DE FREITAS-BA,,,,,BA,,,,,"137,68",,,,,,-,,,,,"137,68",,,,,"1.083,10",,,,,,,,,,
MACAJUBA-BA,,,,,BA,,,,,"76,08",,,,,,-,,,,,"76,08",,,,,"598,54",,,,,,,,,,
MACARANI-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
MADRE DE DEUS-BA,,,,,BA,,,,,"1.062.560,91",,,,,,"576.939,21",,,,,"1.639.500,12",,,,,"13.564.593,18",,,,,,,,,,
MAIQUINIQUE-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
MAIRI-BA,,,,,BA,,,,,"94,20",,,,,,-,,,,,"94,20",,,,,"741,05",,,,,,,,,,
MANOEL VITORINO-BA,,,,,BA,,,,,"86,95",,,,,,-,,,,,"86,95",,,,,"684,04",,,,,,,,,,
MARACAS-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
