PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"480,74",,,,,,,,-,,,,,,"480,74",,,,,,"2.997,30",,,,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,,"6.552,82",,,,,,,,"3.800,22",,,,,,"10.353,04",,,,,,"22.998,24",,,,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,,"705,84",,,,,,,,"196,87",,,,,,"902,71",,,,,,"6.040,57",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,,"24.662,55",,,,,,,,-,,,,,,"24.662,55",,,,,,"147.376,69",,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,,"440,68",,,,,,,,-,,,,,,"440,68",,,,,,"2.747,53",,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,,"520,81",,,,,,,,-,,,,,,"520,81",,,,,,"3.247,08",,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,,"560,87",,,,,,,,-,,,,,,"560,87",,,,,,"3.496,85",,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,,"71.514,52",,,,,,,,"25.267,46",,,,,,"96.781,98",,,,,,"611.392,45",,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,,"400,62",,,,,,,,-,,,,,,"400,62",,,,,,"2.497,74",,,,,,,,,,,,,
SATUBA-AL,,,,AL,,,,,"6.137,47",,,,,,,,"3.687,35",,,,,,"9.824,82",,,,,,"45.967,67",,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,,"580,90",,,,,,,,-,,,,,,"580,90",,,,,,"3.621,74",,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,,"640,99",,,,,,,,-,,,,,,"640,99",,,,,,"3.996,39",,,,,,,,,,,,,
VICOSA-AL,,,,AL,,,,,"540,84",,,,,,,,-,,,,,,"540,84",,,,,,"3.371,98",,,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,,-,,,,,,,,"17.651,51",,,,,,"17.651,51",,,,,,"142.922,08",,,,,,,,,,,,,
COARI-AM,,,,AM,,,,,"974.350,80",,,,,,,,"867.959,92",,,,,,"1.842.310,72",,,,,,"10.623.125,74",,,,,,,,,,,,,
IRANDUBA-AM,,,,AM,,,,,-,,,,,,,,"17.651,51",,,,,,"17.651,51",,,,,,"142.922,08",,,,,,,,,,,,,
