ANADIA,,,AL,,,,,,"602,80",,,,,,,,-,,,,,,"602,80",,,,,"1.167,25",,,,,,,,,
ATALAIA,,,AL,,,,,,"778,62",,,,,,,,-,,,,,,"778,62",,,,,"1.507,71",,,,,,,,,
BARRA DE SANTO ANTONIO,,,AL,,,,,,"527,45",,,,,,,,-,,,,,,"527,45",,,,,"1.021,35",,,,,,,,,
BARRA DE SAO MIGUEL,,,AL,,,,,,"502,34",,,,,,,,-,,,,,,"502,34",,,,,"972,72",,,,,,,,,
BOCA DA MATA,,,AL,,,,,,"678,16",,,,,,,,-,,,,,,"678,16",,,,,"1.313,17",,,,,,,,,
BRANQUINHA,,,AL,,,,,,"527,45",,,,,,,,-,,,,,,"527,45",,,,,"1.021,35",,,,,,,,,
CAJUEIRO,,,AL,,,,,,"627,92",,,,,,,,-,,,,,,"627,92",,,,,"1.215,89",,,,,,,,,
CAMPESTRE,,,AL,,,,,,"502,34",,,,,,,,-,,,,,,"502,34",,,,,"972,72",,,,,,,,,
CAMPO ALEGRE,,,AL,,,,,,"778,62",,,,,,,,-,,,,,,"778,62",,,,,"1.507,71",,,,,,,,,
CAPELA,,,AL,,,,,,"627,92",,,,,,,,-,,,,,,"627,92",,,,,"1.215,89",,,,,,,,,
CHA PRETA,,,AL,,,,,,"502,34",,,,,,,,-,,,,,,"502,34",,,,,"972,72",,,,,,,,,
COLONIA LEOPOLDINA,,,AL,,,,,,"602,80",,,,,,,,-,,,,,,"602,80",,,,,"1.167,25",,,,,,,,,
COQUEIRO SECO,,,AL,,,,,,"843,53",,,,,,,,"220,06",,,,,,"1.063,59",,,,,"2.020,48",,,,,,,,,
CORURIPE,,,AL,,,,,,"764.327,38",,,,,,,,"43.033,49",,,,,,"807.360,87",,,,,"1.538.825,45",,,,,,,,,
FELIZ DESERTO,,,AL,,,,,,"17.895,88",,,,,,,,"25.009,50",,,,,,"42.905,38",,,,,"83.081,08",,,,,,,,,
FLEXEIRAS,,,AL,,,,,,"552,57",,,,,,,,-,,,,,,"552,57",,,,,"1.069,98",,,,,,,,,
IBATEGUARA,,,AL,,,,,,"577,69",,,,,,,,-,,,,,,"577,69",,,,,"1.118,62",,,,,,,,,
IGREJA NOVA,,,AL,,,,,,"653,04",,,,,,,,-,,,,,,"653,04",,,,,"1.264,53",,,,,,,,,
JACUIPE,,,AL,,,,,,"502,34",,,,,,,,-,,,,,,"502,34",,,,,"972,72",,,,,,,,,
JAPARATINGA,,,AL,,,,,,"502,34",,,,,,,,-,,,,,,"502,34",,,,,"972,72",,,,,,,,,
JEQUIA DA PRAIA,,,AL,,,,,,"3.522,14",,,,,,,,"1.247,22",,,,,,"4.769,36",,,,,"9.167,58",,,,,,,,,
JOAQUIM GOMES,,,AL,,,,,,"653,04",,,,,,,,-,,,,,,"653,04",,,,,"1.264,53",,,,,,,,,
JUNDIA,,,AL,,,,,,"502,34",,,,,,,,-,,,,,,"502,34",,,,,"972,72",,,,,,,,,
JUNQUEIRO,,,AL,,,,,,"653,04",,,,,,,,-,,,,,,"653,04",,,,,"1.264,53",,,,,,,,,
MACEIO,,,AL,,,,,,"63.156,20",,,,,,,,"10.153,34",,,,,,"73.309,54",,,,,"144.567,80",,,,,,,,,
MARAGOGI,,,AL,,,,,,"653,04",,,,,,,,-,,,,,,"653,04",,,,,"1.264,53",,,,,,,,,
