ANADIA-AL,,,,,AL,,,,,"733,60",,,,,,-,,,,,,"733,60",,,,,,"5.284,88",,,,,,,,,
ATALAIA-AL,,,,,AL,,,,,"947,57",,,,,,-,,,,,,"947,57",,,,,,"6.826,31",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"641,90",,,,,,-,,,,,,"641,90",,,,,,"4.624,28",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"611,33",,,,,,-,,,,,,"611,33",,,,,,"4.404,06",,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"825,30",,,,,,-,,,,,,"825,30",,,,,,"5.945,50",,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"641,90",,,,,,-,,,,,,"641,90",,,,,,"4.624,28",,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"764,17",,,,,,-,,,,,,"764,17",,,,,,"5.505,11",,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"611,33",,,,,,-,,,,,,"611,33",,,,,,"4.404,06",,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"947,57",,,,,,-,,,,,,"947,57",,,,,,"6.826,31",,,,,,,,,
CAPELA-AL,,,,,AL,,,,,"764,17",,,,,,-,,,,,,"764,17",,,,,,"5.505,11",,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"611,33",,,,,,-,,,,,,"611,33",,,,,,"4.404,06",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"733,60",,,,,,-,,,,,,"733,60",,,,,,"5.284,88",,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"1.261,66",,,,,,"419,46",,,,,,"1.681,12",,,,,,"15.247,47",,,,,,,,,
CORURIPE-AL,,,,,AL,,,,,"1.157.745,52",,,,,,"66.356,51",,,,,,"1.224.102,03",,,,,,"7.880.077,26",,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"22.187,94",,,,,,"30.411,35",,,,,,"52.599,29",,,,,,"378.927,76",,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"641,90",,,,,,-,,,,,,"641,90",,,,,,"4.624,28",,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"703,03",,,,,,-,,,,,,"703,03",,,,,,"5.064,68",,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"794,73",,,,,,-,,,,,,"794,73",,,,,,"5.725,29",,,,,,,,,
JACUIPE-AL,,,,,AL,,,,,"611,33",,,,,,-,,,,,,"611,33",,,,,,"4.404,06",,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,,"611,33",,,,,,-,,,,,,"611,33",,,,,,"4.404,06",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,,"3.478,25",,,,,,"1.178,43",,,,,,"4.656,68",,,,,,"23.402,70",,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,"794,73",,,,,,-,,,,,,"794,73",,,,,,"5.725,29",,,,,,,,,
JUNDIA-AL,,,,,AL,,,,,"611,33",,,,,,-,,,,,,"611,33",,,,,,"4.404,06",,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,"794,73",,,,,,-,,,,,,"794,73",,,,,,"5.725,29",,,,,,,,,
MACEIO-AL,,,,,AL,,,,,"91.022,21",,,,,,"13.119,12",,,,,,"104.141,33",,,,,,"674.014,55",,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,,"794,73",,,,,,-,,,,,,"794,73",,,,,,"5.725,29",,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,"161.068,72",,,,,,"126.280,42",,,,,,"287.349,14",,,,,,"1.808.436,60",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,"825,30",,,,,,-,,,,,,"825,30",,,,,,"5.945,50",,,,,,,,,
MESSIAS-AL,,,,,AL,,,,,"641,90",,,,,,-,,,,,,"641,90",,,,,,"4.624,28",,,,,,,,,
MURICI-AL,,,,,AL,,,,,"825,30",,,,,,-,,,,,,"825,30",,,,,,"5.945,50",,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,,"641,90",,,,,,-,,,,,,"641,90",,,,,,"4.624,28",,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,,"611,33",,,,,,"5.586,91",,,,,,"6.198,24",,,,,,"55.988,76",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,,"672,47",,,,,,-,,,,,,"672,47",,,,,,"4.844,49",,,,,,,,,
PENEDO-AL,,,,,AL,,,,,"1.008,70",,,,,,-,,,,,,"1.008,70",,,,,,"7.266,73",,,,,,,,,
PIACABUCU-AL,,,,,AL,,,,,"733,60",,,,,,-,,,,,,"733,60",,,,,,"5.284,88",,,,,,,,,
PILAR-AL,,,,,AL,,,,,"227.841,72",,,,,,"145.280,87",,,,,,"373.122,59",,,,,,"2.356.458,95",,,,,,,,,
PINDOBA-AL,,,,,AL,,,,,"611,33",,,,,,-,,,,,,"611,33",,,,,,"4.404,06",,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,,"794,73",,,,,,-,,,,,,"794,73",,,,,,"5.725,29",,,,,,,,,
