ANADIA-AL,,,,,,,,AL,,,"653,18",,,,,,,-,,,,,,,,"653,18",,,,,,,"3.002,54",,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"843,69",,,,,,,-,,,,,,,,"843,69",,,,,,,"3.878,28",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"625,96",,,,,,,-,,,,,,,,"625,96",,,,,,,"2.877,43",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"544,31",,,,,,,-,,,,,,,,"544,31",,,,,,,"2.502,11",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"734,83",,,,,,,-,,,,,,,,"734,83",,,,,,,"3.377,86",,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"571,53",,,,,,,-,,,,,,,,"571,53",,,,,,,"2.627,23",,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"707,61",,,,,,,-,,,,,,,,"707,61",,,,,,,"3.252,74",,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"544,31",,,,,,,-,,,,,,,,"544,31",,,,,,,"2.502,11",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"870,91",,,,,,,-,,,,,,,,"870,91",,,,,,,"4.003,40",,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"653,18",,,,,,,-,,,,,,,,"653,18",,,,,,,"3.002,54",,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"544,31",,,,,,,-,,,,,,,,"544,31",,,,,,,"2.502,11",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"707,61",,,,,,,-,,,,,,,,"707,61",,,,,,,"3.252,74",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"91.126,42",,,,,,,"295,49",,,,,,,,"91.421,91",,,,,,,"388.635,70",,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"1.840.859,97",,,,,,,"63.801,43",,,,,,,,"1.904.661,40",,,,,,,"8.036.648,69",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"19.689,70",,,,,,,"27.516,36",,,,,,,,"47.206,06",,,,,,,"216.997,33",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"598,75",,,,,,,-,,,,,,,,"598,75",,,,,,,"2.752,34",,,,,,,,,
