ANADIA-AL,,,,,,,,,AL,,"840,62",,,,,,-,,,,,,,"840,62",,,,,,"7.281,04",,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"1.085,81",,,,,,-,,,,,,,"1.085,81",,,,,,"9.404,70",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"805,60",,,,,,-,,,,,,,"805,60",,,,,,"6.977,66",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"700,52",,,,,,-,,,,,,,"700,52",,,,,,"6.067,53",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"945,70",,,,,,-,,,,,,,"945,70",,,,,,"8.191,19",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"735,54",,,,,,-,,,,,,,"735,54",,,,,,"6.370,92",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"910,68",,,,,,-,,,,,,,"910,68",,,,,,"7.887,80",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"700,52",,,,,,-,,,,,,,"700,52",,,,,,"6.067,53",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"1.120,83",,,,,,-,,,,,,,"1.120,83",,,,,,"9.708,09",,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"840,62",,,,,,-,,,,,,,"840,62",,,,,,"7.281,04",,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"700,52",,,,,,-,,,,,,,"700,52",,,,,,"6.067,53",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"910,68",,,,,,-,,,,,,,"910,68",,,,,,"7.887,80",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"111.032,11",,,,,,"318,15",,,,,,,"111.350,26",,,,,,"873.806,56",,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"2.133.835,34",,,,,,"84.940,37",,,,,,,"2.218.775,71",,,,,,"17.470.104,86",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"25.340,08",,,,,,"35.412,76",,,,,,,"60.752,84",,,,,,"526.210,73",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"770,57",,,,,,-,,,,,,,"770,57",,,,,,"6.674,30",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"805,60",,,,,,-,,,,,,,"805,60",,,,,,"6.977,66",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"910,68",,,,,,-,,,,,,,"910,68",,,,,,"7.887,80",,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"700,52",,,,,,-,,,,,,,"700,52",,,,,,"6.067,53",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,"700,52",,,,,,-,,,,,,,"700,52",,,,,,"6.067,53",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,"2.491,38",,,,,,"722,74",,,,,,,"3.214,12",,,,,,"33.541,19",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,"910,68",,,,,,-,,,,,,,"910,68",,,,,,"7.887,80",,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,"700,52",,,,,,-,,,,,,,"700,52",,,,,,"6.067,53",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,"910,68",,,,,,-,,,,,,,"910,68",,,,,,"7.887,80",,,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,"91.174,62",,,,,,"21.755,34",,,,,,,"112.929,96",,,,,,"1.230.025,72",,,,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,"980,73",,,,,,-,,,,,,,"980,73",,,,,,"8.494,56",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,"62.571,89",,,,,,"46.291,32",,,,,,,"108.863,21",,,,,,"814.193,12",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,"910,68",,,,,,-,,,,,,,"910,68",,,,,,"7.887,80",,,,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,"805,60",,,,,,-,,,,,,,"805,60",,,,,,"6.977,66",,,,,,,,,,
MURICI-AL,,,,,,,,,AL,,"945,70",,,,,,-,,,,,,,"945,70",,,,,,"24.380,14",,,,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,"770,57",,,,,,-,,,,,,,"770,57",,,,,,"6.674,30",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,"735,54",,,,,,"5.932,45",,,,,,,"6.667,99",,,,,,"75.507,17",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,"805,60",,,,,,-,,,,,,,"805,60",,,,,,"6.977,66",,,,,,,,,,
PENEDO-AL,,,,,,,,,AL,,"405.178,40",,,,,,"86,64",,,,,,,"405.265,04",,,,,,"2.510.012,74",,,,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,"840,62",,,,,,-,,,,,,,"840,62",,,,,,"7.281,04",,,,,,,,,,
PILAR-AL,,,,,,,,,AL,,"213.924,50",,,,,,"116.264,80",,,,,,,"330.189,30",,,,,,"3.007.203,96",,,,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,"700,52",,,,,,-,,,,,,,"700,52",,,,,,"6.067,53",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,"945,70",,,,,,-,,,,,,,"945,70",,,,,,"8.191,19",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,"700,52",,,,,,-,,,,,,,"700,52",,,,,,"6.067,53",,,,,,,,,,
