ANADIA-AL,,,,,,,,AL,,"701,61",,,,,-,,,,,,,,"701,61",,,,,,,,"4.435,26",,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"906,24",,,,,-,,,,,,,,"906,24",,,,,,,,"5.728,87",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"672,37",,,,,-,,,,,,,,"672,37",,,,,,,,"4.250,44",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"584,67",,,,,-,,,,,,,,"584,67",,,,,,,,"3.696,04",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"789,31",,,,,-,,,,,,,,"789,31",,,,,,,,"4.989,67",,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"613,91",,,,,-,,,,,,,,"613,91",,,,,,,,"3.880,86",,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"760,08",,,,,-,,,,,,,,"760,08",,,,,,,,"4.804,85",,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"584,67",,,,,-,,,,,,,,"584,67",,,,,,,,"3.696,04",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"935,48",,,,,-,,,,,,,,"935,48",,,,,,,,"5.913,69",,,,,,,,,
CAPELA-AL,,,,,,,,AL,,"701,61",,,,,-,,,,,,,,"701,61",,,,,,,,"4.435,26",,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"584,67",,,,,-,,,,,,,,"584,67",,,,,,,,"3.696,04",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"760,08",,,,,-,,,,,,,,"760,08",,,,,,,,"4.804,85",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"68.216,50",,,,,"287,51",,,,,,,,"68.504,01",,,,,,,,"554.360,53",,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"674.001,57",,,,,"62.301,10",,,,,,,,"736.302,67",,,,,,,,"10.591.602,78",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"21.149,58",,,,,"29.556,53",,,,,,,,"50.706,11",,,,,,,,"320.541,51",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"643,14",,,,,-,,,,,,,,"643,14",,,,,,,,"4.065,66",,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"672,37",,,,,-,,,,,,,,"672,37",,,,,,,,"4.250,44",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"760,08",,,,,-,,,,,,,,"760,08",,,,,,,,"4.804,85",,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"584,67",,,,,-,,,,,,,,"584,67",,,,,,,,"3.696,04",,,,,,,,,
