ANADIA-AL,,,,,,,,AL,,,"627,46",,,,,,,,-,,,,,,,"627,46",,,,,,,,,,"1.803,46",,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"836,61",,,,,,,,-,,,,,,,"836,61",,,,,,,,,,"2.404,62",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"575,17",,,,,,,,-,,,,,,,"575,17",,,,,,,,,,"1.653,17",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"522,88",,,,,,,,-,,,,,,,"522,88",,,,,,,,,,"1.502,88",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"705,89",,,,,,,,-,,,,,,,"705,89",,,,,,,,,,"2.028,90",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"549,02",,,,,,,,-,,,,,,,"549,02",,,,,,,,,,"1.578,02",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"679,75",,,,,,,,-,,,,,,,"679,75",,,,,,,,,,"1.953,75",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"522,88",,,,,,,,-,,,,,,,"522,88",,,,,,,,,,"1.502,88",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"810,47",,,,,,,,-,,,,,,,"810,47",,,,,,,,,,"2.329,48",,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"627,46",,,,,,,,-,,,,,,,"627,46",,,,,,,,,,"1.803,46",,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"522,88",,,,,,,,-,,,,,,,"522,88",,,,,,,,,,"1.502,88",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"653,60",,,,,,,,-,,,,,,,"653,60",,,,,,,,,,"1.878,61",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"71.786,93",,,,,,,,"254,23",,,,,,,"72.041,16",,,,,,,,,,"205.106,18",,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"1.621.869,26",,,,,,,,"60.241,54",,,,,,,"1.682.110,80",,,,,,,,,,"4.620.622,75",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"18.793,68",,,,,,,,"26.264,17",,,,,,,"45.057,85",,,,,,,,,,"129.507,12",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"549,02",,,,,,,,-,,,,,,,"549,02",,,,,,,,,,"1.578,02",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"601,31",,,,,,,,-,,,,,,,"601,31",,,,,,,,,,"1.728,32",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"679,75",,,,,,,,-,,,,,,,"679,75",,,,,,,,,,"1.953,75",,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"522,88",,,,,,,,-,,,,,,,"522,88",,,,,,,,,,"1.502,88",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"522,88",,,,,,,,-,,,,,,,"522,88",,,,,,,,,,"1.502,88",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"1.498,94",,,,,,,,"398,97",,,,,,,"1.897,91",,,,,,,,,,"3.689,75",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,"679,75",,,,,,,,-,,,,,,,"679,75",,,,,,,,,,"1.953,75",,,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,"522,88",,,,,,,,-,,,,,,,"522,88",,,,,,,,,,"1.502,88",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,"705,89",,,,,,,,-,,,,,,,"705,89",,,,,,,,,,"2.028,90",,,,,,,,,,
MACEIO-AL,,,,,,,,AL,,,"84.340,95",,,,,,,,"23.931,61",,,,,,,"108.272,56",,,,,,,,,,"297.185,56",,,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,"705,89",,,,,,,,-,,,,,,,"705,89",,,,,,,,,,"2.028,90",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,"114.442,43",,,,,,,,"85.779,64",,,,,,,"200.222,07",,,,,,,,,,"530.168,44",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,"705,89",,,,,,,,-,,,,,,,"705,89",,,,,,,,,,"2.028,90",,,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,"601,31",,,,,,,,-,,,,,,,"601,31",,,,,,,,,,"1.728,32",,,,,,,,,,
MURICI-AL,,,,,,,,AL,,,"705,89",,,,,,,,-,,,,,,,"705,89",,,,,,,,,,"2.028,90",,,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,"549,02",,,,,,,,-,,,,,,,"549,02",,,,,,,,,,"1.578,02",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,"522,88",,,,,,,,"10.906,33",,,,,,,"11.429,21",,,,,,,,,,"25.973,66",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,"575,17",,,,,,,,-,,,,,,,"575,17",,,,,,,,,,"1.653,17",,,,,,,,,,
PENEDO-AL,,,,,,,,AL,,,"862,75",,,,,,,,-,,,,,,,"862,75",,,,,,,,,,"2.479,76",,,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,"627,46",,,,,,,,-,,,,,,,"627,46",,,,,,,,,,"1.803,46",,,,,,,,,,
PILAR-AL,,,,,,,,AL,,,"91.726,02",,,,,,,,"58.691,12",,,,,,,"150.417,14",,,,,,,,,,"451.335,78",,,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,"522,88",,,,,,,,-,,,,,,,"522,88",,,,,,,,,,"1.502,88",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,,"705,89",,,,,,,,-,,,,,,,"705,89",,,,,,,,,,"2.028,90",,,,,,,,,,
