PORTO REAL DO COLEGIO,,,,AL,,,,,,"598,22",,,,,,,,-,,,,,,,"598,22",,,,,,,,,"2.980,77",,,,,,,,
RIO LARGO,,,,AL,,,,,,"4.414,21",,,,,,,,"2.337,83",,,,,,,"6.752,04",,,,,,,,,"33.085,25",,,,,,,,
ROTEIRO,,,,AL,,,,,,"719,06",,,,,,,,"155,11",,,,,,,"874,17",,,,,,,,,"3.985,70",,,,,,,,
SANTA LUZIA DO NORTE,,,,AL,,,,,,"478,58",,,,,,,,-,,,,,,,"478,58",,,,,,,,,"2.384,62",,,,,,,,
SANTANA DO MUNDAU,,,,AL,,,,,,"502,51",,,,,,,,-,,,,,,,"502,51",,,,,,,,,"2.503,86",,,,,,,,
SAO JOSE DA LAJE,,,,AL,,,,,,"622,15",,,,,,,,-,,,,,,,"622,15",,,,,,,,,"3.100,00",,,,,,,,
SAO LUIS DO QUITUNDE,,,,AL,,,,,,"670,01",,,,,,,,-,,,,,,,"670,01",,,,,,,,,"3.338,47",,,,,,,,
SAO MIGUEL DOS CAMPOS,,,,AL,,,,,,"195.658,94",,,,,,,,"110.332,82",,,,,,,"305.991,76",,,,,,,,,"1.455.506,06",,,,,,,,
SAO MIGUEL DOS MILAGRES,,,,AL,,,,,,"478,58",,,,,,,,-,,,,,,,"478,58",,,,,,,,,"2.384,62",,,,,,,,
SATUBA,,,,AL,,,,,,"38.109,73",,,,,,,,"24.241,22",,,,,,,"62.350,95",,,,,,,,,"328.710,25",,,,,,,,
TEOTONIO VILELA,,,,AL,,,,,,"717,87",,,,,,,,-,,,,,,,"717,87",,,,,,,,,"3.576,94",,,,,,,,
UNIAO DOS PALMARES,,,,AL,,,,,,"789,66",,,,,,,,-,,,,,,,"789,66",,,,,,,,,"3.934,63",,,,,,,,
VICOSA,,,,AL,,,,,,"646,08",,,,,,,,-,,,,,,,"646,08",,,,,,,,,"3.219,24",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ALAGOAS,,,,,,,,,,"1.525.192,91",,,,,,,,"403.642,83",,,,,,,"1.928.835,74",,,,,,,,,"8.693.210,80",,,,,,,,
ANAMA,,,,AM,,,,,,-,,,,,,,,"2.011,77",,,,,,,"2.011,77",,,,,,,,,"8.986,18",,,,,,,,
ANORI,,,,AM,,,,,,-,,,,,,,,"2.011,77",,,,,,,"2.011,77",,,,,,,,,"8.986,18",,,,,,,,
AUTAZES,,,,AM,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
BERURI,,,,AM,,,,,,-,,,,,,,,"2.011,77",,,,,,,"2.011,77",,,,,,,,,"8.986,18",,,,,,,,
CAREIRO DA VARZEA,,,,AM,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
CAREIRO,,,,AM,,,,,,-,,,,,,,,"2.011,77",,,,,,,"2.011,77",,,,,,,,,"8.986,18",,,,,,,,
COARI,,,,AM,,,,,,"1.539.563,52",,,,,,,,"1.433.970,21",,,,,,,"2.973.533,73",,,,,,,,,"13.348.490,80",,,,,,,,
CODAJAS,,,,AM,,,,,,-,,,,,,,,"2.011,77",,,,,,,"2.011,77",,,,,,,,,"8.986,18",,,,,,,,
IRANDUBA,,,,AM,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
ITACOATIARA,,,,AM,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
