ANADIA-AL,,,,AL,,,,,"246,11",,,,,,,-,,,,,"246,11",,,,,,"1.462,24",,,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"307,63",,,,,,,-,,,,,"307,63",,,,,,"1.827,79",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"205,09",,,,,,,-,,,,,"205,09",,,,,,"1.218,54",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"205,09",,,,,,,-,,,,,"205,09",,,,,,"1.218,54",,,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"266,62",,,,,,,-,,,,,"266,62",,,,,,"1.584,09",,,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"205,09",,,,,,,-,,,,,"205,09",,,,,,"1.218,54",,,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"246,11",,,,,,,-,,,,,"246,11",,,,,,"1.462,24",,,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"205,09",,,,,,,-,,,,,"205,09",,,,,,"1.218,54",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"307,63",,,,,,,-,,,,,"307,63",,,,,,"1.827,79",,,,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"266,62",,,,,,,-,,,,,"266,62",,,,,,"1.584,09",,,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"205,09",,,,,,,-,,,,,"205,09",,,,,,"1.218,54",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"246,11",,,,,,,-,,,,,"246,11",,,,,,"1.462,24",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"10.009,82",,,,,,,"669,52",,,,,"10.679,34",,,,,,"68.741,54",,,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"21.627,73",,,,,,,"10.305,99",,,,,"31.933,72",,,,,,"190.783,31",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"7.226,49",,,,,,,"9.904,81",,,,,"17.131,30",,,,,,"101.785,83",,,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"225,60",,,,,,,-,,,,,"225,60",,,,,,"1.340,37",,,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"235,85",,,,,,,-,,,,,"235,85",,,,,,"1.401,30",,,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"256,36",,,,,,,-,,,,,"256,36",,,,,,"1.523,16",,,,,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"205,09",,,,,,,-,,,,,"205,09",,,,,,"1.218,54",,,,,,,,,,,,
