ANADIA-AL,,,,,AL,,,"465,56",,,,,-,,,,,,,"465,56",,,,,,,,"2.815,64",,,,,,,,,,,,
ATALAIA-AL,,,,,AL,,,"601,35",,,,,-,,,,,,,"601,35",,,,,,,,"3.636,89",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,"446,16",,,,,-,,,,,,,"446,16",,,,,,,,"2.698,31",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,"387,96",,,,,-,,,,,,,"387,96",,,,,,,,"2.346,36",,,,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,"523,75",,,,,-,,,,,,,"523,75",,,,,,,,"3.167,59",,,,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,"407,36",,,,,-,,,,,,,"407,36",,,,,,,,"2.463,66",,,,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,"504,36",,,,,-,,,,,,,"504,36",,,,,,,,"3.050,28",,,,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,"387,96",,,,,-,,,,,,,"387,96",,,,,,,,"2.346,36",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,"620,75",,,,,-,,,,,,,"620,75",,,,,,,,"3.754,20",,,,,,,,,,,,
CAPELA-AL,,,,,AL,,,"465,56",,,,,-,,,,,,,"465,56",,,,,,,,"2.815,64",,,,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,"387,96",,,,,-,,,,,,,"387,96",,,,,,,,"2.346,36",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,"504,36",,,,,-,,,,,,,"504,36",,,,,,,,"3.050,28",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,"67.945,55",,,,,"200,34",,,,,,,"68.145,89",,,,,,,,"403.383,76",,,,,,,,,,,,
CORURIPE-AL,,,,,AL,,,"1.387.828,27",,,,,"43.990,55",,,,,,,"1.431.818,82",,,,,,,,"8.108.555,88",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,"14.034,04",,,,,"19.612,57",,,,,,,"33.646,61",,,,,,,,"203.490,61",,,,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,"426,76",,,,,-,,,,,,,"426,76",,,,,,,,"2.581,00",,,,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,"446,16",,,,,-,,,,,,,"446,16",,,,,,,,"2.698,31",,,,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,"504,36",,,,,-,,,,,,,"504,36",,,,,,,,"3.050,28",,,,,,,,,,,,
JACUIPE-AL,,,,,AL,,,"387,96",,,,,-,,,,,,,"387,96",,,,,,,,"2.346,36",,,,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,"387,96",,,,,-,,,,,,,"387,96",,,,,,,,"2.346,36",,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,"426,76",,,,,-,,,,,,,"426,76",,,,,,,,"6.145,88",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,"504,36",,,,,-,,,,,,,"504,36",,,,,,,,"3.050,28",,,,,,,,,,,,
JUNDIA-AL,,,,,AL,,,"387,96",,,,,-,,,,,,,"387,96",,,,,,,,"2.346,36",,,,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,"504,36",,,,,-,,,,,,,"504,36",,,,,,,,"3.050,28",,,,,,,,,,,,
