SANTANA DO MUNDAU,,,,,AL,,,,"490,41",,,,,,-,,,,,,"490,41",,,,,,,,"5.823,28",,,,,,,
SAO JOSE DA LAJE,,,,,AL,,,,"607,18",,,,,,-,,,,,,"607,18",,,,,,,,"7.209,79",,,,,,,
SAO LUIS DO QUITUNDE,,,,,AL,,,,"653,88",,,,,,-,,,,,,"653,88",,,,,,,,"7.764,39",,,,,,,
SAO MIGUEL DOS CAMPOS,,,,,AL,,,,"149.042,39",,,,,,"75.657,71",,,,,,"224.700,10",,,,,,,,"2.152.365,62",,,,,,,
SAO MIGUEL DOS MILAGRES,,,,,AL,,,,"467,06",,,,,,-,,,,,,"467,06",,,,,,,,"5.545,97",,,,,,,
SATUBA,,,,,AL,,,,"75.531,25",,,,,,"48.386,28",,,,,,"123.917,53",,,,,,,,"956.981,89",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOTONIO VILELA,,,,,AL,,,,"700,59",,,,,,-,,,,,,"700,59",,,,,,,,"8.318,98",,,,,,,
UNIAO DOS PALMARES,,,,,AL,,,,"770,65",,,,,,-,,,,,,"770,65",,,,,,,,"9.150,89",,,,,,,
VICOSA,,,,,AL,,,,"630,53",,,,,,-,,,,,,"630,53",,,,,,,,"7.487,09",,,,,,,
TOTAL ALAGOAS,,,,,,,,,"1.273.444,62",,,,,,"344.337,26",,,,,,"1.617.781,88",,,,,,,,"18.499.070,03",,,,,,,
LARANJAL DO JARI,,,,,AP,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
MACAPA,,,,,AP,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
MAZAGAO,,,,,AP,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
TOTAL AMAPA,,,,,,,,,-,,,,,,"11.540,25",,,,,,"11.540,25",,,,,,,,"174.900,00",,,,,,,
ANAMA,,,,,AM,,,,-,,,,,,"1.772,05",,,,,,"1.772,05",,,,,,,,"24.246,95",,,,,,,
ANORI,,,,,AM,,,,-,,,,,,"1.772,05",,,,,,"1.772,05",,,,,,,,"24.246,95",,,,,,,
AUTAZES,,,,,AM,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
BERURI,,,,,AM,,,,-,,,,,,"1.772,05",,,,,,"1.772,05",,,,,,,,"24.246,95",,,,,,,
CAREIRO,,,,,AM,,,,-,,,,,,"1.772,05",,,,,,"1.772,05",,,,,,,,"24.246,95",,,,,,,
CAREIRO DA VARZEA,,,,,AM,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
COARI,,,,,AM,,,,"1.262.719,52",,,,,,"1.171.860,18",,,,,,"2.434.579,70",,,,,,,,"26.427.628,35",,,,,,,
CODAJAS,,,,,AM,,,,-,,,,,,"1.772,05",,,,,,"1.772,05",,,,,,,,"24.246,95",,,,,,,
IRANDUBA,,,,,AM,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
ITACOATIARA,,,,,AM,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
ITAPIRANGA,,,,,AM,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
MANACAPURU,,,,,AM,,,,-,,,,,,"1.772,05",,,,,,"1.772,05",,,,,,,,"24.246,95",,,,,,,
