ANADIA-AL,,,,,AL,,,,,"466,79",,,,,,,,-,,,,,,"466,79",,,,,,,,"4.632,19",,,,,,,
ATALAIA-AL,,,,,AL,,,,,"583,49",,,,,,,,-,,,,,,"583,49",,,,,,,,"5.790,25",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"388,99",,,,,,,,-,,,,,,"388,99",,,,,,,,"3.860,13",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"388,99",,,,,,,,-,,,,,,"388,99",,,,,,,,"3.860,13",,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"505,69",,,,,,,,-,,,,,,"505,69",,,,,,,,"5.018,21",,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"388,99",,,,,,,,-,,,,,,"388,99",,,,,,,,"3.860,13",,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"466,79",,,,,,,,-,,,,,,"466,79",,,,,,,,"4.632,19",,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"388,99",,,,,,,,-,,,,,,"388,99",,,,,,,,"3.860,13",,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"583,49",,,,,,,,-,,,,,,"583,49",,,,,,,,"5.790,25",,,,,,,
CAPELA-AL,,,,,AL,,,,,"505,69",,,,,,,,-,,,,,,"505,69",,,,,,,,"5.018,21",,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"388,99",,,,,,,,-,,,,,,"388,99",,,,,,,,"3.860,13",,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"466,79",,,,,,,,-,,,,,,"466,79",,,,,,,,"4.632,19",,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"388,99",,,,,,,,-,,,,,,"388,99",,,,,,,,"37.160,50",,,,,,,
CORURIPE-AL,,,,,AL,,,,,"44.401,82",,,,,,,,"19.613,62",,,,,,"64.015,65",,,,,,,,"639.205,06",,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"13.706,34",,,,,,,,"18.787,55",,,,,,"32.494,11",,,,,,,,"322.442,52",,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"427,89",,,,,,,,-,,,,,,"427,89",,,,,,,,"4.246,16",,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"447,34",,,,,,,,-,,,,,,"447,34",,,,,,,,"4.439,16",,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"486,24",,,,,,,,-,,,,,,"486,24",,,,,,,,"4.825,19",,,,,,,
JACUIPE-AL,,,,,AL,,,,,"388,99",,,,,,,,-,,,,,,"388,99",,,,,,,,"3.860,13",,,,,,,
JAPARATINGA-AL,,,,,AL,,,,,"388,99",,,,,,,,-,,,,,,"388,99",,,,,,,,"3.860,13",,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,"486,24",,,,,,,,-,,,,,,"486,24",,,,,,,,"4.825,19",,,,,,,
JUNDIA-AL,,,,,AL,,,,,"388,99",,,,,,,,-,,,,,,"388,99",,,,,,,,"3.860,13",,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,"505,69",,,,,,,,-,,,,,,"505,69",,,,,,,,"5.018,21",,,,,,,
MACEIO-AL,,,,,AL,,,,,"26.280,23",,,,,,,,"14.354,57",,,,,,"40.634,70",,,,,,,,"467.534,59",,,,,,,
MARAGOGI-AL,,,,,AL,,,,,"466,79",,,,,,,,-,,,,,,"466,79",,,,,,,,"4.632,19",,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,"48.858,75",,,,,,,,"25.082,49",,,,,,"73.941,17",,,,,,,,"763.072,26",,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,"505,69",,,,,,,,-,,,,,,"505,69",,,,,,,,"5.018,21",,,,,,,
MESSIAS-AL,,,,,AL,,,,,"408,44",,,,,,,,-,,,,,,"408,44",,,,,,,,"4.053,15",,,,,,,
MURICI-AL,,,,,AL,,,,,"505,69",,,,,,,,-,,,,,,"505,69",,,,,,,,"5.018,21",,,,,,,
NOVO LINO-AL,,,,,AL,,,,,"408,44",,,,,,,,-,,,,,,"408,44",,,,,,,,"4.053,15",,,,,,,
