SANTA LUZIA DO NORTE-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"40.512,68",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,,"456,77",,,,,,-,,,,,"456,77",,,,,,"3.496,69",,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,"565,52",,,,,,-,,,,,"565,52",,,,,,"4.328,33",,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,,"609,02",,,,,,-,,,,,"609,02",,,,,,"4.664,96",,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,,"94.459,43",,,,,,"27.089,50",,,,,"121.548,93",,,,,,"903.765,19",,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,,"435,02",,,,,,-,,,,,"435,02",,,,,,"3.332,44",,,,,,,,,,,
SATUBA-AL,,,AL,,,,"10.008,16",,,,,,"6.146,62",,,,,"16.154,78",,,,,,"162.448,37",,,,,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,,"652,53",,,,,,-,,,,,"652,53",,,,,,"4.995,73",,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,,"717,78",,,,,,-,,,,,"717,78",,,,,,"5.496,61",,,,,,,,,,,
VICOSA-AL,,,AL,,,,"587,27",,,,,,-,,,,,"587,27",,,,,,"4.493,72",,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,,-,,,,,,"3.549,71",,,,,"3.549,71",,,,,,"55.571,17",,,,,,,,,,,
COARI-AM,,,AM,,,,"1.194.862,01",,,,,,"1.019.517,72",,,,,"2.214.379,73",,,,,,"14.515.578,91",,,,,,,,,,,
IRANDUBA-AM,,,AM,,,,-,,,,,,"3.549,71",,,,,"3.549,71",,,,,,"55.571,17",,,,,,,,,,,
MANAUS-AM,,,AM,,,,"49.738,48",,,,,,"33.880,69",,,,,"83.619,17",,,,,,"633.683,72",,,,,,,,,,,
ACAJUTIBA-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
ADUSTINA-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
AGUA FRIA-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
AIQUARA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
ALAGOINHAS-BA,,,BA,,,,"167.505,13",,,,,,"87.381,33",,,,,"254.886,46",,,,,,"1.731.851,65",,,,,,,,,,,
AMARGOSA-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,05",,,,,,,,,,,
