ANADIA-AL,,,,AL,,,,,"430,71",,,,,,,,-,,,,,,,"430,71",,,,,,,,"1.618,36",,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"538,40",,,,,,,,-,,,,,,,"538,40",,,,,,,,"2.022,95",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"358,93",,,,,,,,-,,,,,,,"358,93",,,,,,,,"1.348,63",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"358,93",,,,,,,,-,,,,,,,"358,93",,,,,,,,"1.348,63",,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"466,61",,,,,,,,-,,,,,,,"466,61",,,,,,,,"1.753,23",,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"358,93",,,,,,,,-,,,,,,,"358,93",,,,,,,,"1.348,63",,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"430,71",,,,,,,,-,,,,,,,"430,71",,,,,,,,"1.618,36",,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"358,93",,,,,,,,-,,,,,,,"358,93",,,,,,,,"1.348,63",,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"538,40",,,,,,,,-,,,,,,,"538,40",,,,,,,,"2.022,95",,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"466,61",,,,,,,,-,,,,,,,"466,61",,,,,,,,"1.753,23",,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"358,93",,,,,,,,-,,,,,,,"358,93",,,,,,,,"1.348,63",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"430,71",,,,,,,,-,,,,,,,"430,71",,,,,,,,"1.618,36",,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"358,93",,,,,,,,-,,,,,,,"358,93",,,,,,,,"1.348,63",,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"39.879,26",,,,,,,,"18.091,73",,,,,,,"57.970,99",,,,,,,,"227.542,88",,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"12.646,95",,,,,,,,"17.333,47",,,,,,,"29.980,42",,,,,,,,"112.650,21",,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"394,82",,,,,,,,-,,,,,,,"394,82",,,,,,,,"1.483,50",,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"412,77",,,,,,,,-,,,,,,,"412,77",,,,,,,,"1.550,93",,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"448,66",,,,,,,,-,,,,,,,"448,66",,,,,,,,"1.685,79",,,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"358,93",,,,,,,,-,,,,,,,"358,93",,,,,,,,"1.348,63",,,,,,,,,,
