ANADIA-AL,,,,,AL,,,,"905,24",,,,,-,,,,,,,"905,24",,,,,,"7.852,56",,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"1.169,27",,,,,-,,,,,,,"1.169,27",,,,,,"10.142,93",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"792,08",,,,,-,,,,,,,"792,08",,,,,,"6.870,99",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"754,37",,,,,-,,,,,,,"754,37",,,,,,"6.543,80",,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"1.018,40",,,,,-,,,,,,,"1.018,40",,,,,,"8.834,17",,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"792,08",,,,,-,,,,,,,"792,08",,,,,,"6.870,99",,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"942,96",,,,,-,,,,,,,"942,96",,,,,,"8.179,77",,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"754,37",,,,,-,,,,,,,"754,37",,,,,,"6.543,80",,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"1.169,27",,,,,-,,,,,,,"1.169,27",,,,,,"10.142,93",,,,,,,,,
CAPELA-AL,,,,,AL,,,,"942,96",,,,,-,,,,,,,"942,96",,,,,,"8.179,77",,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"754,37",,,,,-,,,,,,,"754,37",,,,,,"6.543,80",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"905,24",,,,,-,,,,,,,"905,24",,,,,,"7.852,56",,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"1.033,06",,,,,"179,75",,,,,,,"1.212,81",,,,,,"11.065,75",,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"1.291.793,16",,,,,"74.754,60",,,,,,,"1.366.547,76",,,,,,"11.903.412,32",,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"27.379,22",,,,,"37.526,64",,,,,,,"64.905,86",,,,,,"563.031,48",,,,,,,,,
