ANADIA-AL,,,,,,,,,AL,,,"381,31",,,,,,,-,,,,,,,"381,31",,,,,,,,,,"1.389,17",,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"492,52",,,,,,,-,,,,,,,"492,52",,,,,,,,,,"1.794,35",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"365,42",,,,,,,-,,,,,,,"365,42",,,,,,,,,,"1.331,28",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"317,76",,,,,,,-,,,,,,,"317,76",,,,,,,,,,"1.157,64",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"428,97",,,,,,,-,,,,,,,"428,97",,,,,,,,,,"1.562,81",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"333,64",,,,,,,-,,,,,,,"333,64",,,,,,,,,,"1.215,51",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"413,08",,,,,,,-,,,,,,,"413,08",,,,,,,,,,"1.504,93",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"317,76",,,,,,,-,,,,,,,"317,76",,,,,,,,,,"1.157,64",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"508,41",,,,,,,-,,,,,,,"508,41",,,,,,,,,,"1.852,23",,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"381,31",,,,,,,-,,,,,,,"381,31",,,,,,,,,,"1.389,17",,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"317,76",,,,,,,-,,,,,,,"317,76",,,,,,,,,,"1.157,64",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"413,08",,,,,,,-,,,,,,,"413,08",,,,,,,,,,"1.504,93",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"53.367,79",,,,,,,"251,78",,,,,,,"53.619,57",,,,,,,,,,"200.075,00",,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"1.062.260,38",,,,,,,"33.184,45",,,,,,,"1.095.444,83",,,,,,,,,,"3.989.135,36",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,"11.494,36",,,,,,,"16.063,38",,,,,,,"27.557,74",,,,,,,,,,"100.397,29",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,"349,53",,,,,,,-,,,,,,,"349,53",,,,,,,,,,"1.273,40",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,"365,42",,,,,,,-,,,,,,,"365,42",,,,,,,,,,"1.331,28",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,"413,08",,,,,,,-,,,,,,,"413,08",,,,,,,,,,"1.504,93",,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,,"317,76",,,,,,,-,,,,,,,"317,76",,,,,,,,,,"1.157,64",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,,"317,76",,,,,,,-,,,,,,,"317,76",,,,,,,,,,"1.157,64",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,,"995,58",,,,,,,"271,34",,,,,,,"1.266,92",,,,,,,,,,"4.084,81",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,,"413,08",,,,,,,-,,,,,,,"413,08",,,,,,,,,,"1.504,93",,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,,"317,76",,,,,,,-,,,,,,,"317,76",,,,,,,,,,"1.157,64",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,,"413,08",,,,,,,-,,,,,,,"413,08",,,,,,,,,,"1.504,93",,,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,,"45.006,57",,,,,,,"14.946,76",,,,,,,"59.953,33",,,,,,,,,,"218.896,58",,,,,,,,,,
