ANADIA-AL,,,,,,,,AL,,,"874,90",,,,,,,,-,,,,,,"874,90",,,,,,"1.769,67",,,,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"1.166,54",,,,,,,,-,,,,,,"1.166,54",,,,,,"2.359,56",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"802,00",,,,,,,,-,,,,,,"802,00",,,,,,"1.622,20",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"729,09",,,,,,,,-,,,,,,"729,09",,,,,,"1.474,73",,,,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"984,27",,,,,,,,-,,,,,,"984,27",,,,,,"1.990,88",,,,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"765,54",,,,,,,,-,,,,,,"765,54",,,,,,"1.548,46",,,,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"947,81",,,,,,,,-,,,,,,"947,81",,,,,,"1.917,14",,,,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"729,09",,,,,,,,-,,,,,,"729,09",,,,,,"1.474,73",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"1.130,09",,,,,,,,-,,,,,,"1.130,09",,,,,,"2.285,83",,,,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"874,90",,,,,,,,-,,,,,,"874,90",,,,,,"1.769,67",,,,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"729,09",,,,,,,,-,,,,,,"729,09",,,,,,"1.474,73",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"911,36",,,,,,,,-,,,,,,"911,36",,,,,,"1.843,41",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"1.123,44",,,,,,,,"254,36",,,,,,"1.377,80",,,,,,"2.400,39",,,,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"635.544,28",,,,,,,,"55.532,98",,,,,,"691.077,26",,,,,,"1.467.536,25",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"26.205,21",,,,,,,,"36.621,78",,,,,,"62.826,99",,,,,,"127.080,30",,,,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"765,54",,,,,,,,-,,,,,,"765,54",,,,,,"1.548,46",,,,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"838,45",,,,,,,,-,,,,,,"838,45",,,,,,"1.695,93",,,,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"947,81",,,,,,,,-,,,,,,"947,81",,,,,,"1.917,14",,,,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"729,09",,,,,,,,-,,,,,,"729,09",,,,,,"1.474,73",,,,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"729,09",,,,,,,,-,,,,,,"729,09",,,,,,"1.474,73",,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"13.572,88",,,,,,,,"5.379,08",,,,,,"18.951,96",,,,,,"41.131,71",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,"947,81",,,,,,,,-,,,,,,"947,81",,,,,,"1.917,14",,,,,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,"729,09",,,,,,,,-,,,,,,"729,09",,,,,,"1.478,94",,,,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,"984,27",,,,,,,,-,,,,,,"984,27",,,,,,"1.990,88",,,,,,,,,,,,
MACEIO-AL,,,,,,,,AL,,,"57.165,02",,,,,,,,"14.253,64",,,,,,"71.418,66",,,,,,"147.669,36",,,,,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,"984,27",,,,,,,,-,,,,,,"984,27",,,,,,"1.990,88",,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,"64.935,77",,,,,,,,"52.160,08",,,,,,"117.095,85",,,,,,"255.579,89",,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,"984,27",,,,,,,,-,,,,,,"984,27",,,,,,"1.990,88",,,,,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,"838,45",,,,,,,,-,,,,,,"838,45",,,,,,"1.695,93",,,,,,,,,,,,
MURICI-AL,,,,,,,,AL,,,"984,27",,,,,,,,-,,,,,,"984,27",,,,,,"1.990,88",,,,,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,"765,54",,,,,,,,-,,,,,,"765,54",,,,,,"1.548,46",,,,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,"729,09",,,,,,,,"4.225,95",,,,,,"4.955,04",,,,,,"13.791,37",,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,"802,00",,,,,,,,-,,,,,,"802,00",,,,,,"1.622,20",,,,,,,,,,,,
PENEDO-AL,,,,,,,,AL,,,"378.441,01",,,,,,,,-,,,,,,"378.441,01",,,,,,"807.359,85",,,,,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,"874,90",,,,,,,,-,,,,,,"874,90",,,,,,"1.769,67",,,,,,,,,,,,
PILAR-AL,,,,,,,,AL,,,"74.370,25",,,,,,,,"47.308,00",,,,,,"121.678,25",,,,,,"302.211,08",,,,,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,"729,09",,,,,,,,-,,,,,,"729,09",,,,,,"1.474,73",,,,,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,,"984,27",,,,,,,,-,,,,,,"984,27",,,,,,"1.990,88",,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,,"765,54",,,,,,,,-,,,,,,"765,54",,,,,,"1.548,46",,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,,"874,90",,,,,,,,-,,,,,,"874,90",,,,,,"1.769,67",,,,,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,,"12.043,75",,,,,,,,"6.968,77",,,,,,"19.012,52",,,,,,"42.605,70",,,,,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,,"987,32",,,,,,,,"166,54",,,,,,"1.153,86",,,,,,"1.899,50",,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,,"30.765,12",,,,,,,,"153,28",,,,,,"30.918,40",,,,,,"64.499,71",,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,,"765,54",,,,,,,,-,,,,,,"765,54",,,,,,"1.548,46",,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,,"947,81",,,,,,,,-,,,,,,"947,81",,,,,,"1.917,14",,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,,"1.020,72",,,,,,,,-,,,,,,"1.020,72",,,,,,"2.064,62",,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,,"275.759,11",,,,,,,,"180.566,41",,,,,,"456.325,52",,,,,,"941.659,85",,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,,"729,09",,,,,,,,-,,,,,,"729,09",,,,,,"1.474,73",,,,,,,,,,,,
SATUBA-AL,,,,,,,,AL,,,"392.960,67",,,,,,,,"9.600,31",,,,,,"402.560,98",,,,,,"867.638,81",,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,,"1.130,09",,,,,,,,-,,,,,,"1.130,09",,,,,,"2.285,83",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
