PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,"628,34",,,,,,,,-,,,,,,"628,34",,,,,,,"8.198,69",,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,"13.411,68",,,,,,,,"8.076,38",,,,,,"21.488,06",,,,,,,"238.827,62",,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,"1.382,55",,,,,,,,"554,01",,,,,,"1.936,56",,,,,,,"18.700,03",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,"1.083,65",,,,,,,,"361,22",,,,,,"1.444,87",,,,,,,"103.247,00",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,"549,79",,,,,,,,-,,,,,,"549,79",,,,,,,"7.173,83",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,"680,70",,,,,,,,-,,,,,,"680,70",,,,,,,"8.881,89",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,"733,06",,,,,,,,-,,,,,,"733,06",,,,,,,"9.565,13",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,"227.322,62",,,,,,,,"190.329,47",,,,,,"417.652,09",,,,,,,"4.926.866,51",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,"523,61",,,,,,,,-,,,,,,"523,61",,,,,,,"6.832,23",,,,,,,,
SATUBA-AL,,,,,,,,AL,,"666.090,61",,,,,,,,"27.947,48",,,,,,"694.038,09",,,,,,,"5.926.321,17",,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,"811,60",,,,,,,,-,,,,,,"811,60",,,,,,,"10.589,97",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,"863,96",,,,,,,,-,,,,,,"863,96",,,,,,,"11.273,20",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICOSA-AL,,,,,,,,AL,,"706,88",,,,,,,,-,,,,,,"706,88",,,,,,,"9.223,52",,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,"2.448.491,07",,,,,,,,"462.022,50",,,,,,"2.910.513,57",,,,,,,"30.189.734,00",,,,,,,,
ANAMA-AM,,,,,,,,AM,,-,,,,,,,,"1.849,35",,,,,,"1.849,35",,,,,,,"22.021,13",,,,,,,,
ANORI-AM,,,,,,,,AM,,-,,,,,,,,"1.849,35",,,,,,"1.849,35",,,,,,,"22.021,13",,,,,,,,
AUTAZES-AM,,,,,,,,AM,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
BERURI-AM,,,,,,,,AM,,-,,,,,,,,"1.849,35",,,,,,"1.849,35",,,,,,,"22.021,13",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,AM,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.762,46",,,,,,,,
CAREIRO-AM,,,,,,,,AM,,-,,,,,,,,"1.849,35",,,,,,"1.849,35",,,,,,,"22.021,13",,,,,,,,
