SANTA LUZIA DO NORTE,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
SANTANA DO MUNDAU,,,AL,,,,"514,47",,,,,,,-,,,,,,,,"514,47",,,,,,,,"2.022,80",,,,,,,,
SAO JOSE DA LAJE,,,AL,,,,"636,96",,,,,,,-,,,,,,,,"636,96",,,,,,,,"2.504,42",,,,,,,,
SAO LUIS DO QUITUNDE,,,AL,,,,"685,96",,,,,,,-,,,,,,,,"685,96",,,,,,,,"2.697,08",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS,,,AL,,,,"134.041,16",,,,,,,"37.173,43",,,,,,,,"171.214,59",,,,,,,,"632.029,20",,,,,,,,
SAO MIGUEL DOS MILAGRES,,,AL,,,,"489,97",,,,,,,-,,,,,,,,"489,97",,,,,,,,"1.926,48",,,,,,,,
SATUBA,,,AL,,,,"64.007,42",,,,,,,"40.937,15",,,,,,,,"104.944,57",,,,,,,,"317.671,76",,,,,,,,
TEOTONIO VILELA,,,AL,,,,"734,95",,,,,,,-,,,,,,,,"734,95",,,,,,,,"2.889,71",,,,,,,,
UNIAO DOS PALMARES,,,AL,,,,"808,45",,,,,,,-,,,,,,,,"808,45",,,,,,,,"3.178,69",,,,,,,,
VICOSA,,,AL,,,,"661,46",,,,,,,-,,,,,,,,"661,46",,,,,,,,"2.600,75",,,,,,,,
ANAMA,,,AM,,,,-,,,,,,,"2.387,04",,,,,,,,"2.387,04",,,,,,,,"10.069,27",,,,,,,,
ANORI,,,AM,,,,-,,,,,,,"2.387,04",,,,,,,,"2.387,04",,,,,,,,"10.069,27",,,,,,,,
AUTAZES,,,AM,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
BERURI,,,AM,,,,-,,,,,,,"2.387,04",,,,,,,,"2.387,04",,,,,,,,"10.069,27",,,,,,,,
CAREIRO DA VARZEA,,,AM,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
CAREIRO,,,AM,,,,-,,,,,,,"2.387,04",,,,,,,,"2.387,04",,,,,,,,"10.069,27",,,,,,,,
COARI,,,AM,,,,"1.530.993,43",,,,,,,"1.284.247,55",,,,,,,,"2.815.240,98",,,,,,,,"10.598.846,14",,,,,,,,
CODAJAS,,,AM,,,,-,,,,,,,"2.387,04",,,,,,,,"2.387,04",,,,,,,,"10.069,27",,,,,,,,
IRANDUBA,,,AM,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
ITACOATIARA,,,AM,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
ITAPIRANGA,,,AM,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
MANACAPURU,,,AM,,,,-,,,,,,,"2.387,04",,,,,,,,"2.387,04",,,,,,,,"10.069,27",,,,,,,,
MANAQUIRI,,,AM,,,,-,,,,,,,"2.387,04",,,,,,,,"2.387,04",,,,,,,,"10.069,27",,,,,,,,
MANAUS,,,AM,,,,"1.102.571,05",,,,,,,"72.534,38",,,,,,,,"1.175.105,43",,,,,,,,"3.369.325,16",,,,,,,,
PARINTINS,,,AM,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
SILVES,,,AM,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
URUCARA,,,AM,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
URUCURITUBA,,,AM,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
LARANJAL DO JARI,,,AP,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
MACAPA,,,AP,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
MAZAGAO,,,AP,,,,-,,,,,,,"6.015,35",,,,,,,,"6.015,35",,,,,,,,"23.663,30",,,,,,,,
ACAJUTIBA,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
ADUSTINA,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
AGUA FRIA,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
AIQUARA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
ALAGOINHAS,,,BA,,,,"249.208,35",,,,,,,"130.538,03",,,,,,,,"379.746,38",,,,,,,,"1.461.731,97",,,,,,,,
AMARGOSA,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
AMELIA RODRIGUES,,,BA,,,,"97,17",,,,,,,-,,,,,,,,"97,17",,,,,,,,"384,53",,,,,,,,
ANAGE,,,BA,,,,"111,57",,,,,,,-,,,,,,,,"111,57",,,,,,,,"441,51",,,,,,,,
ANGUERA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
ANTAS,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
ANTONIO CARDOSO,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
APORA,,,BA,,,,"86,37",,,,,,,-,,,,,,,,"86,37",,,,,,,,"341,81",,,,,,,,
APUAREMA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
ARACAS,,,BA,,,,"217.658,58",,,,,,,"96.972,77",,,,,,,,"314.631,35",,,,,,,,"1.196.737,14",,,,,,,,
ARACI,,,BA,,,,"111,57",,,,,,,-,,,,,,,,"111,57",,,,,,,,"441,51",,,,,,,,
ARAMARI,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
ARATUIPE,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
BAIXA GRANDE,,,BA,,,,"93,57",,,,,,,-,,,,,,,,"93,57",,,,,,,,"370,29",,,,,,,,
BANZAE,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
BARRA DO CHOCA,,,BA,,,,"111,57",,,,,,,-,,,,,,,,"111,57",,,,,,,,"441,51",,,,,,,,
BARROCAS,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
BELO CAMPO,,,BA,,,,"86,37",,,,,,,-,,,,,,,,"86,37",,,,,,,,"341,81",,,,,,,,
BIRITINGA,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
