ANADIA-AL,,,,,,,,AL,,,"835,62",,,,,,,-,,,,,,,,"835,62",,,,,,,"3.264,16",,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"1.079,34",,,,,,,-,,,,,,,,"1.079,34",,,,,,,"4.216,22",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"800,80",,,,,,,-,,,,,,,,"800,80",,,,,,,"3.128,15",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"2.720,14",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"940,07",,,,,,,-,,,,,,,,"940,07",,,,,,,"3.672,18",,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"731,17",,,,,,,-,,,,,,,,"731,17",,,,,,,"2.856,15",,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"905,26",,,,,,,-,,,,,,,,"905,26",,,,,,,"3.536,19",,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"2.720,14",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"1.114,16",,,,,,,-,,,,,,,,"1.114,16",,,,,,,"4.352,22",,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"835,62",,,,,,,-,,,,,,,,"835,62",,,,,,,"3.264,16",,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"2.720,14",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"905,26",,,,,,,-,,,,,,,,"905,26",,,,,,,"3.536,19",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"113.934,18",,,,,,,"350,97",,,,,,,,"114.285,15",,,,,,,"443.579,19",,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"2.087.247,31",,,,,,,"76.115,88",,,,,,,,"2.163.363,19",,,,,,,"8.688.805,85",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"25.189,27",,,,,,,"35.202,00",,,,,,,,"60.391,27",,,,,,,"235.905,17",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"765,98",,,,,,,-,,,,,,,,"765,98",,,,,,,"2.992,15",,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"800,80",,,,,,,-,,,,,,,,"800,80",,,,,,,"3.128,15",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"905,26",,,,,,,-,,,,,,,,"905,26",,,,,,,"3.536,19",,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"2.720,14",,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"2.720,14",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"2.072,21",,,,,,,"548,61",,,,,,,,"2.620,82",,,,,,,"12.770,60",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,"905,26",,,,,,,-,,,,,,,,"905,26",,,,,,,"3.536,19",,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"2.720,14",,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,"905,26",,,,,,,-,,,,,,,,"905,26",,,,,,,"3.536,19",,,,,,,,,
MACEIO-AL,,,,,,,,AL,,,"81.146,66",,,,,,,"22.047,83",,,,,,,,"103.194,49",,,,,,,"427.697,32",,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,"974,89",,,,,,,-,,,,,,,,"974,89",,,,,,,"3.808,19",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,"47.157,90",,,,,,,"36.286,03",,,,,,,,"83.443,93",,,,,,,"340.835,57",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,"905,26",,,,,,,-,,,,,,,,"905,26",,,,,,,"3.536,19",,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,"800,80",,,,,,,-,,,,,,,,"800,80",,,,,,,"3.128,15",,,,,,,,,
MURICI-AL,,,,,,,,AL,,,"940,07",,,,,,,-,,,,,,,,"940,07",,,,,,,"3.672,18",,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,"765,98",,,,,,,-,,,,,,,,"765,98",,,,,,,"2.992,15",,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,"731,17",,,,,,,"6.565,36",,,,,,,,"7.296,53",,,,,,,"30.263,96",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,"800,80",,,,,,,-,,,,,,,,"800,80",,,,,,,"3.128,15",,,,,,,,,
PENEDO-AL,,,,,,,,AL,,,"402.879,87",,,,,,,"31,16",,,,,,,,"402.911,03",,,,,,,"1.645.261,54",,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,"835,62",,,,,,,-,,,,,,,,"835,62",,,,,,,"3.264,16",,,,,,,,,
PILAR-AL,,,,,,,,AL,,,"246.722,96",,,,,,,"140.925,14",,,,,,,,"387.648,10",,,,,,,"1.436.024,59",,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"2.720,14",,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,,"940,07",,,,,,,-,,,,,,,,"940,07",,,,,,,"3.672,18",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"2.720,14",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,,"870,44",,,,,,,-,,,,,,,,"870,44",,,,,,,"3.400,18",,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,,"404.940,06",,,,,,,"3.998,06",,,,,,,,"408.938,12",,,,,,,"1.679.408,09",,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,,"2.045.063,11",,,,,,,"853,15",,,,,,,,"2.045.916,26",,,,,,,"8.228.956,80",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"202.631,83",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,,"731,17",,,,,,,-,,,,,,,,"731,17",,,,,,,"2.856,15",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,,"905,26",,,,,,,-,,,,,,,,"905,26",,,,,,,"3.536,19",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,,"1.009,71",,,,,,,-,,,,,,,,"1.009,71",,,,,,,"3.944,20",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,,"366.158,59",,,,,,,"238.524,22",,,,,,,,"604.682,81",,,,,,,"2.096.646,80",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,,"696,35",,,,,,,-,,,,,,,,"696,35",,,,,,,"2.720,14",,,,,,,,,
SATUBA-AL,,,,,,,,AL,,,"10.378,34",,,,,,,"5.746,51",,,,,,,,"16.124,85",,,,,,,"64.244,50",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,,"1.079,34",,,,,,,-,,,,,,,,"1.079,34",,,,,,,"4.216,22",,,,,,,,,
