ANADIA-AL,,,,,,,,,AL,,"663,51",,,,,,,-,,,,,,"663,51",,,,,,,"8.226,99",,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"857,03",,,,,,,-,,,,,,"857,03",,,,,,,"10.626,55",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"635,86",,,,,,,-,,,,,,"635,86",,,,,,,"7.884,20",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"552,92",,,,,,,-,,,,,,"552,92",,,,,,,"6.855,83",,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"746,45",,,,,,,-,,,,,,"746,45",,,,,,,"9.255,36",,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"580,57",,,,,,,-,,,,,,"580,57",,,,,,,"7.198,62",,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"718,80",,,,,,,-,,,,,,"718,80",,,,,,,"8.912,58",,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"552,92",,,,,,,-,,,,,,"552,92",,,,,,,"6.855,83",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"884,68",,,,,,,-,,,,,,"884,68",,,,,,,"10.969,33",,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"663,51",,,,,,,-,,,,,,"663,51",,,,,,,"8.226,99",,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"552,92",,,,,,,-,,,,,,"552,92",,,,,,,"6.855,83",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"718,80",,,,,,,-,,,,,,"718,80",,,,,,,"8.912,58",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"93.501,48",,,,,,,"283,85",,,,,,"93.785,33",,,,,,,"1.074.577,66",,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"2.063.396,06",,,,,,,"62.126,15",,,,,,"2.125.522,21",,,,,,,"24.492.894,37",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"20.001,10",,,,,,,"27.951,53",,,,,,"47.952,63",,,,,,,"594.575,16",,,,,,,,
