ANADIA-AL,,,,,AL,,,,"149,48",,,,,,,,-,,,,,,"149,48",,,,,"299,44",,,,,,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"186,85",,,,,,,,-,,,,,,"186,85",,,,,"374,3",,,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"161,94",,,,,,,,-,,,,,,"161,94",,,,,"324,4",,,,,,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"149,48",,,,,,,,-,,,,,,"149,48",,,,,"299,44",,,,,,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"186,85",,,,,,,,-,,,,,,"186,85",,,,,"374,3",,,,,,,,,,,,,,
CAPELA-AL,,,,,AL,,,,"161,94",,,,,,,,-,,,,,,"161,94",,,,,"324,4",,,,,,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"149,48",,,,,,,,-,,,,,,"149,48",,,,,"299,44",,,,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"5.164,00",,,,,,,,"493,94",,,,,,"5.657,94",,,,,"12.101,95",,,,,,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"11.853,24",,,,,,,,"6.180,68",,,,,,"18.033,92",,,,,"36.379,65",,,,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"4.389,27",,,,,,,,"6.016,05",,,,,,"10.405,32",,,,,"20.844,16",,,,,,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"137,02",,,,,,,,-,,,,,,"137,02",,,,,"274,48",,,,,,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"143,25",,,,,,,,-,,,,,,"143,25",,,,,"286,96",,,,,,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"155,71",,,,,,,,-,,,,,,"155,71",,,,,"311,92",,,,,,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"155,71",,,,,,,,-,,,,,,"155,71",,,,,"311,92",,,,,,,,,,,,,,
JUNDIA-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"161,94",,,,,,,,-,,,,,,"161,94",,,,,"324,4",,,,,,,,,,,,,,
MACEIO-AL,,,,,AL,,,,"6.288,39",,,,,,,,"2.713,51",,,,,,"9.001,90",,,,,"18.502,20",,,,,,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,"149,48",,,,,,,,-,,,,,,"149,48",,,,,"299,44",,,,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"9.511,88",,,,,,,,"3.231,71",,,,,,"12.743,59",,,,,"27.578,71",,,,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,"161,94",,,,,,,,-,,,,,,"161,94",,,,,"324,4",,,,,,,,,,,,,,
MESSIAS-AL,,,,,AL,,,,"130,79",,,,,,,,-,,,,,,"130,79",,,,,"262,01",,,,,,,,,,,,,,
MURICI-AL,,,,,AL,,,,"161,94",,,,,,,,-,,,,,,"161,94",,,,,"324,4",,,,,,,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,"130,79",,,,,,,,-,,,,,,"130,79",,,,,"262,01",,,,,,,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,"137,02",,,,,,,,-,,,,,,"137,02",,,,,"274,48",,,,,,,,,,,,,,
PENEDO-AL,,,,,AL,,,,"199,31",,,,,,,,-,,,,,,"199,31",,,,,"399,26",,,,,,,,,,,,,,
PIACABUCU-AL,,,,,AL,,,,"4.935,36",,,,,,,,-,,,,,,"4.935,36",,,,,"10.086,43",,,,,,,,,,,,,,
PILAR-AL,,,,,AL,,,,"18.510,91",,,,,,,,"8.599,36",,,,,,"27.110,27",,,,,"58.826,44",,,,,,,,,,,,,,
PINDOBA-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,"168,17",,,,,,,,-,,,,,,"168,17",,,,,"336,88",,,,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,"130,79",,,,,,,,-,,,,,,"130,79",,,,,"262,01",,,,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"149,48",,,,,,,,-,,,,,,"149,48",,,,,"299,44",,,,,,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,"205,54",,,,,,,,-,,,,,,"205,54",,,,,"411,74",,,,,,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,"211,3",,,,,,,,"55,97",,,,,,"267,27",,,,,"543,12",,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"4.920,51",,,,,,,,"359,6",,,,,,"5.280,11",,,,,"10.816,48",,,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"137,02",,,,,,,,-,,,,,,"137,02",,,,,"274,48",,,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"161,94",,,,,,,,-,,,,,,"161,94",,,,,"324,4",,,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"174,39",,,,,,,,-,,,,,,"174,39",,,,,"349,35",,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"18.901,21",,,,,,,,"7.122,37",,,,,,"26.023,58",,,,,"54.270,28",,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"124,57",,,,,,,,-,,,,,,"124,57",,,,,"249,54",,,,,,,,,,,,,,
SATUBA-AL,,,,,AL,,,,"2.580,99",,,,,,,,"1.581,40",,,,,,"4.162,39",,,,,"8.294,90",,,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"180,62",,,,,,,,-,,,,,,"180,62",,,,,"361,82",,,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"199,31",,,,,,,,-,,,,,,"199,31",,,,,"399,26",,,,,,,,,,,,,,
VICOSA-AL,,,,,AL,,,,"168,17",,,,,,,,-,,,,,,"168,17",,,,,"336,88",,,,,,,,,,,,,,
COARI-AM,,,,,AM,,,,"127.028,21",,,,,,,,"105.906,62",,,,,,"232.934,83",,,,,"472.331,97",,,,,,,,,,,,,,
CODAJAS-AM,,,,,AM,,,,-,,,,,,,,"10.764,09",,,,,,"10.764,09",,,,,"21.336,37",,,,,,,,,,,,,,
MANAUS-AM,,,,,AM,,,,"4.795,94",,,,,,,,"32.120,10",,,,,,"36.916,04",,,,,"73.510,59",,,,,,,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"28.227,06",,,,,,,,"14.176,39",,,,,,"42.403,45",,,,,"89.328,54",,,,,,,,,,,,,,
ARACAS-BA,,,,,BA,,,,"11.483,89",,,,,,,,"4.213,01",,,,,,"15.696,90",,,,,"32.082,02",,,,,,,,,,,,,,
