ANADIA-AL,,,,,AL,,,"354,88",,,,,,,,,,-,,,,,,,"354,88",,,,,,,,"5.831,03",,,,,,,,,
ATALAIA-AL,,,,,AL,,,"458,39",,,,,,,,,,-,,,,,,,"458,39",,,,,,,,"7.531,77",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,"340,10",,,,,,,,,,-,,,,,,,"340,10",,,,,,,,"5.588,06",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"4.859,17",,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,"399,24",,,,,,,,,,-,,,,,,,"399,24",,,,,,,,"6.559,90",,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,"310,52",,,,,,,,,,-,,,,,,,"310,52",,,,,,,,"5.102,11",,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,"384,46",,,,,,,,,,-,,,,,,,"384,46",,,,,,,,"6.316,96",,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"4.859,17",,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,"473,18",,,,,,,,,,-,,,,,,,"473,18",,,,,,,,"7.774,74",,,,,,,,,
CAPELA-AL,,,,,AL,,,"354,88",,,,,,,,,,-,,,,,,,"354,88",,,,,,,,"5.831,03",,,,,,,,,
CHA PRETA-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"4.859,17",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,"384,46",,,,,,,,,,-,,,,,,,"384,46",,,,,,,,"6.316,96",,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,"71.642,69",,,,,,,,,,"108,05",,,,,,,"71.750,74",,,,,,,,"824.286,64",,,,,,,,,
CORURIPE-AL,,,,,AL,,,"1.180.425,74",,,,,,,,,,"33.486,18",,,,,,,"1.213.911,92",,,,,,,,"15.732.354,58",,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,"10.697,80",,,,,,,,,,"14.950,18",,,,,,,"25.647,98",,,,,,,,"421.417,18",,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,"325,31",,,,,,,,,,-,,,,,,,"325,31",,,,,,,,"5.345,11",,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,"340,10",,,,,,,,,,-,,,,,,,"340,10",,,,,,,,"5.588,06",,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,"384,46",,,,,,,,,,-,,,,,,,"384,46",,,,,,,,"6.316,96",,,,,,,,,
JACUIPE-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"4.859,17",,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"4.859,17",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,"325,31",,,,,,,,,,-,,,,,,,"325,31",,,,,,,,"8.909,99",,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,"384,46",,,,,,,,,,-,,,,,,,"384,46",,,,,,,,"6.316,96",,,,,,,,,
JUNDIA-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"4.859,17",,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,"384,46",,,,,,,,,,-,,,,,,,"384,46",,,,,,,,"6.316,96",,,,,,,,,
MACEIO-AL,,,,,AL,,,"54.386,05",,,,,,,,,,"16.583,35",,,,,,,"70.969,40",,,,,,,,"828.705,01",,,,,,,,,
MARAGOGI-AL,,,,,AL,,,"414,03",,,,,,,,,,-,,,,,,,"414,03",,,,,,,,"6.802,87",,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,"982.361,82",,,,,,,,,,"47.941,44",,,,,,,"1.030.303,26",,,,,,,,"11.580.515,31",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,"384,46",,,,,,,,,,-,,,,,,,"384,46",,,,,,,,"6.316,96",,,,,,,,,
MESSIAS-AL,,,,,AL,,,"340,10",,,,,,,,,,-,,,,,,,"340,10",,,,,,,,"5.588,06",,,,,,,,,
MURICI-AL,,,,,AL,,,"399,24",,,,,,,,,,-,,,,,,,"399,24",,,,,,,,"6.559,90",,,,,,,,,
NOVO LINO-AL,,,,,AL,,,"325,31",,,,,,,,,,-,,,,,,,"325,31",,,,,,,,"5.345,11",,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,"283.357,78",,,,,,,,,,"5.651,74",,,,,,,"289.009,52",,,,,,,,"354.128,99",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,"340,10",,,,,,,,,,-,,,,,,,"340,10",,,,,,,,"5.588,06",,,,,,,,,
PENEDO-AL,,,,,AL,,,"280.469,04",,,,,,,,,,"1,57",,,,,,,"280.470,61",,,,,,,,"3.233.091,55",,,,,,,,,
PIACABUCU-AL,,,,,AL,,,"354,88",,,,,,,,,,-,,,,,,,"354,88",,,,,,,,"5.831,03",,,,,,,,,
PILAR-AL,,,,,AL,,,"183.822,42",,,,,,,,,,"104.132,50",,,,,,,"287.954,92",,,,,,,,"3.075.129,34",,,,,,,,,
PINDOBA-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"4.859,17",,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,"399,24",,,,,,,,,,-,,,,,,,"399,24",,,,,,,,"6.559,90",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"4.859,17",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,"369,67",,,,,,,,,,-,,,,,,,"369,67",,,,,,,,"6.074,02",,,,,,,,,
RIO LARGO-AL,,,,,AL,,,"282.376,08",,,,,,,,,,"1.505,30",,,,,,,"283.881,38",,,,,,,,"3.269.073,13",,,,,,,,,
ROTEIRO-AL,,,,,AL,,,"1.162.126,15",,,,,,,,,,"380,86",,,,,,,"1.162.507,01",,,,,,,,"14.906.189,49",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"361.410,83",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,"310,52",,,,,,,,,,-,,,,,,,"310,52",,,,,,,,"5.102,11",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,"384,46",,,,,,,,,,-,,,,,,,"384,46",,,,,,,,"6.316,96",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,"428,82",,,,,,,,,,-,,,,,,,"428,82",,,,,,,,"7.045,84",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,"1.359.552,35",,,,,,,,,,"159.234,48",,,,,,,"1.518.786,83",,,,,,,,"14.228.721,97",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,"295,73",,,,,,,,,,-,,,,,,,"295,73",,,,,,,,"4.859,17",,,,,,,,,
SATUBA-AL,,,,,AL,,,"18.230,76",,,,,,,,,,"11.539,47",,,,,,,"29.770,23",,,,,,,,"399.352,78",,,,,,,,,
