ANADIA-AL,,,,AL,,,,,"293,97",,,,,,-,,,,,"293,97",,,,,,,"1.756,21",,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"367,47",,,,,,-,,,,,"367,47",,,,,,,"2.195,26",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"244,98",,,,,,-,,,,,"244,98",,,,,,,"1.463,52",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"244,98",,,,,,-,,,,,"244,98",,,,,,,"1.463,52",,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"318,47",,,,,,-,,,,,"318,47",,,,,,,"1.902,56",,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"244,98",,,,,,-,,,,,"244,98",,,,,,,"1.463,52",,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"293,97",,,,,,-,,,,,"293,97",,,,,,,"1.756,21",,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"244,98",,,,,,-,,,,,"244,98",,,,,,,"1.463,52",,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"367,47",,,,,,-,,,,,"367,47",,,,,,,"2.195,26",,,,,,,,,
CAPELA-AL,,,,AL,,,,,"318,47",,,,,,-,,,,,"318,47",,,,,,,"1.902,56",,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"244,98",,,,,,-,,,,,"244,98",,,,,,,"1.463,52",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"293,97",,,,,,-,,,,,"293,97",,,,,,,"1.756,21",,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"12.388,59",,,,,,"1.443,61",,,,,"13.832,20",,,,,,,"82.573,74",,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"26.300,01",,,,,,"12.332,31",,,,,"38.632,32",,,,,,,"229.415,63",,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"8.632,01",,,,,,"11.831,25",,,,,"20.463,26",,,,,,,"122.249,09",,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"269,48",,,,,,-,,,,,"269,48",,,,,,,"1.609,85",,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"281,72",,,,,,-,,,,,"281,72",,,,,,,"1.683,02",,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"306,22",,,,,,-,,,,,"306,22",,,,,,,"1.829,38",,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"244,98",,,,,,-,,,,,"244,98",,,,,,,"1.463,52",,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"244,98",,,,,,-,,,,,"244,98",,,,,,,"1.463,52",,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"306,22",,,,,,-,,,,,"306,22",,,,,,,"1.829,38",,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"244,98",,,,,,-,,,,,"244,98",,,,,,,"1.463,52",,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"318,47",,,,,,-,,,,,"318,47",,,,,,,"1.902,56",,,,,,,,,
MACEIO-AL,,,,AL,,,,,"15.301,95",,,,,,"25.819,65",,,,,"41.121,60",,,,,,,"188.802,86",,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"293,97",,,,,,-,,,,,"293,97",,,,,,,"1.756,21",,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"22.731,24",,,,,,"8.022,83",,,,,"30.754,07",,,,,,,"203.325,62",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"318,47",,,,,,-,,,,,"318,47",,,,,,,"1.902,56",,,,,,,,,
MESSIAS-AL,,,,AL,,,,,"257,23",,,,,,-,,,,,"257,23",,,,,,,"1.536,67",,,,,,,,,
MURICI-AL,,,,AL,,,,,"318,47",,,,,,-,,,,,"318,47",,,,,,,"1.902,56",,,,,,,,,
NOVO LINO-AL,,,,AL,,,,,"257,23",,,,,,-,,,,,"257,23",,,,,,,"1.536,67",,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,,"244,98",,,,,,-,,,,,"244,98",,,,,,,"1.463,52",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,,"269,48",,,,,,-,,,,,"269,48",,,,,,,"1.609,85",,,,,,,,,
PENEDO-AL,,,,AL,,,,,"391,97",,,,,,-,,,,,"391,97",,,,,,,"2.341,62",,,,,,,,,
