ANADIA-AL,,,,,AL,,,,"535,96",,,,,,-,,,,,,,"535,96",,,,,,,"3.351,60",,,,,,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"692,28",,,,,,-,,,,,,,"692,28",,,,,,,"4.329,17",,,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"513,63",,,,,,-,,,,,,,"513,63",,,,,,,"3.211,94",,,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"446,63",,,,,,-,,,,,,,"446,63",,,,,,,"2.792,99",,,,,,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"602,96",,,,,,-,,,,,,,"602,96",,,,,,,"3.770,55",,,,,,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"468,96",,,,,,-,,,,,,,"468,96",,,,,,,"2.932,62",,,,,,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"580,62",,,,,,-,,,,,,,"580,62",,,,,,,"3.630,90",,,,,,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"446,63",,,,,,-,,,,,,,"446,63",,,,,,,"2.792,99",,,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"714,62",,,,,,-,,,,,,,"714,62",,,,,,,"4.468,82",,,,,,,,,,,,,,
CAPELA-AL,,,,,AL,,,,"535,96",,,,,,-,,,,,,,"535,96",,,,,,,"3.351,60",,,,,,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"446,63",,,,,,-,,,,,,,"446,63",,,,,,,"2.792,99",,,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"580,62",,,,,,-,,,,,,,"580,62",,,,,,,"3.630,90",,,,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"76.668,31",,,,,,"247,24",,,,,,,"76.915,55",,,,,,,"480.299,31",,,,,,,,,,,,,,
