ANADIA-AL,,,,,,,,AL,,"664,66",,,,,,,-,,,,,,,"664,66",,,,,,"7.570,35",,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"886,21",,,,,,,-,,,,,,,"886,21",,,,,,"10.093,79",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"609,27",,,,,,,-,,,,,,,"609,27",,,,,,"6.939,48",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"553,88",,,,,,,-,,,,,,,"553,88",,,,,,"6.308,62",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"747,74",,,,,,,-,,,,,,,"747,74",,,,,,"8.516,64",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"581,57",,,,,,,-,,,,,,,"581,57",,,,,,"6.624,04",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"720,04",,,,,,,-,,,,,,,"720,04",,,,,,"8.201,19",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"553,88",,,,,,,-,,,,,,,"553,88",,,,,,"6.308,62",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"858,52",,,,,,,-,,,,,,,"858,52",,,,,,"9.778,37",,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,"664,66",,,,,,,-,,,,,,,"664,66",,,,,,"7.570,35",,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"553,88",,,,,,,-,,,,,,,"553,88",,,,,,"6.308,62",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"692,35",,,,,,,-,,,,,,,"692,35",,,,,,"7.885,78",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"668,56",,,,,,,"73,97",,,,,,,"742,53",,,,,,"8.585,21",,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"381.705,95",,,,,,,"55.065,89",,,,,,,"436.771,84",,,,,,"7.581.468,60",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"19.907,88",,,,,,,"27.821,26",,,,,,,"47.729,14",,,,,,"543.627,37",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"581,57",,,,,,,-,,,,,,,"581,57",,,,,,"6.624,04",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"636,96",,,,,,,-,,,,,,,"636,96",,,,,,"7.254,91",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"720,04",,,,,,,-,,,,,,,"720,04",,,,,,"8.201,19",,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"553,88",,,,,,,-,,,,,,,"553,88",,,,,,"6.308,62",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"553,88",,,,,,,-,,,,,,,"553,88",,,,,,"6.308,62",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"3.117,79",,,,,,,"1.065,21",,,,,,,"4.183,00",,,,,,"64.310,36",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,"720,04",,,,,,,-,,,,,,,"720,04",,,,,,"8.201,19",,,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,"553,88",,,,,,,-,,,,,,,"553,88",,,,,,"6.331,10",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,"747,74",,,,,,,-,,,,,,,"747,74",,,,,,"8.516,64",,,,,,,,,,
MACEIO-AL,,,,,,,,AL,,"74.116,55",,,,,,,"21.329,94",,,,,,,"95.446,49",,,,,,"761.564,67",,,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,"747,74",,,,,,,-,,,,,,,"747,74",,,,,,"8.516,64",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,"106.384,81",,,,,,,"96.150,05",,,,,,,"202.534,86",,,,,,"1.427.910,54",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,"747,74",,,,,,,-,,,,,,,"747,74",,,,,,"8.516,64",,,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,"636,96",,,,,,,-,,,,,,,"636,96",,,,,,"7.254,91",,,,,,,,,,
MURICI-AL,,,,,,,,AL,,"747,74",,,,,,,-,,,,,,,"747,74",,,,,,"8.516,64",,,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,"581,57",,,,,,,-,,,,,,,"581,57",,,,,,"6.624,04",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,"553,88",,,,,,,"10.967,30",,,,,,,"11.521,18",,,,,,"74.551,30",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,"609,27",,,,,,,-,,,,,,,"609,27",,,,,,"6.939,48",,,,,,,,,,
PENEDO-AL,,,,,,,,AL,,"643.396,28",,,,,,,-,,,,,,,"643.396,28",,,,,,"4.925.862,68",,,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,"664,66",,,,,,,-,,,,,,,"664,66",,,,,,"7.570,35",,,,,,,,,,
PILAR-AL,,,,,,,,AL,,"114.975,12",,,,,,,"73.658,80",,,,,,,"188.633,92",,,,,,"1.522.456,36",,,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,"553,88",,,,,,,-,,,,,,,"553,88",,,,,,"6.308,62",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,"747,74",,,,,,,-,,,,,,,"747,74",,,,,,"8.516,64",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,"581,57",,,,,,,-,,,,,,,"581,57",,,,,,"6.624,04",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,"664,66",,,,,,,-,,,,,,,"664,66",,,,,,"7.570,35",,,,,,,,,,
