ANADIA,,,AL,,,,"564,45",,,,,-,,,,,,"564,45",,,,,"564,45",,,,,,,,,,,
ATALAIA,,,AL,,,,"729,09",,,,,-,,,,,,"729,09",,,,,"729,09",,,,,,,,,,,
BARRA DE SANTO ANTONIO,,,AL,,,,"493,90",,,,,-,,,,,,"493,90",,,,,"493,90",,,,,,,,,,,
BARRA DE SAO MIGUEL,,,AL,,,,"470,38",,,,,-,,,,,,"470,38",,,,,"470,38",,,,,,,,,,,
BOCA DA MATA,,,AL,,,,"635,01",,,,,-,,,,,,"635,01",,,,,"635,01",,,,,,,,,,,
BRANQUINHA,,,AL,,,,"493,90",,,,,-,,,,,,"493,90",,,,,"493,90",,,,,,,,,,,
CAJUEIRO,,,AL,,,,"587,97",,,,,-,,,,,,"587,97",,,,,"587,97",,,,,,,,,,,
CAMPESTRE,,,AL,,,,"470,38",,,,,-,,,,,,"470,38",,,,,"470,38",,,,,,,,,,,
CAMPO ALEGRE,,,AL,,,,"729,09",,,,,-,,,,,,"729,09",,,,,"729,09",,,,,,,,,,,
CAPELA,,,AL,,,,"587,97",,,,,-,,,,,,"587,97",,,,,"587,97",,,,,,,,,,,
CHA PRETA,,,AL,,,,"470,38",,,,,-,,,,,,"470,38",,,,,"470,38",,,,,,,,,,,
COLONIA LEOPOLDINA,,,AL,,,,"564,45",,,,,-,,,,,,"564,45",,,,,"564,45",,,,,,,,,,,
COQUEIRO SECO,,,AL,,,,"766,13",,,,,"190,76",,,,,,"956,89",,,,,"956,89",,,,,,,,,,,
CORURIPE,,,AL,,,,"689.725,62",,,,,"41.738,96",,,,,,"731.464,58",,,,,"731.464,58",,,,,,,,,,,
FELIZ DESERTO,,,AL,,,,"16.757,33",,,,,"23.418,37",,,,,,"40.175,70",,,,,"40.175,70",,,,,,,,,,,
FLEXEIRAS,,,AL,,,,"517,41",,,,,-,,,,,,"517,41",,,,,"517,41",,,,,,,,,,,
