ANADIA-AL,,,,,,,,,,AL,,,,"731,11",,,,,,,,-,,,,,,"731,11",,,,,,,,,"3.733,65",,,,,,,,
ATALAIA-AL,,,,,,,,,,AL,,,,"944,35",,,,,,,,-,,,,,,"944,35",,,,,,,,,"4.822,63",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,,AL,,,,"700,64",,,,,,,,-,,,,,,"700,64",,,,,,,,,"3.578,07",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,,AL,,,,"609,26",,,,,,,,-,,,,,,"609,26",,,,,,,,,"3.111,37",,,,,,,,
BOCA DA MATA-AL,,,,,,,,,,AL,,,,"822,50",,,,,,,,-,,,,,,"822,50",,,,,,,,,"4.200,36",,,,,,,,
BRANQUINHA-AL,,,,,,,,,,AL,,,,"639,72",,,,,,,,-,,,,,,"639,72",,,,,,,,,"3.266,95",,,,,,,,
CAJUEIRO-AL,,,,,,,,,,AL,,,,"792,03",,,,,,,,-,,,,,,"792,03",,,,,,,,,"4.044,77",,,,,,,,
CAMPESTRE-AL,,,,,,,,,,AL,,,,"609,26",,,,,,,,-,,,,,,"609,26",,,,,,,,,"3.111,37",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,,AL,,,,"974,81",,,,,,,,-,,,,,,"974,81",,,,,,,,,"4.978,21",,,,,,,,
CAPELA-AL,,,,,,,,,,AL,,,,"731,11",,,,,,,,-,,,,,,"731,11",,,,,,,,,"3.733,65",,,,,,,,
CHA PRETA-AL,,,,,,,,,,AL,,,,"609,26",,,,,,,,-,,,,,,"609,26",,,,,,,,,"3.111,37",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,,AL,,,,"792,03",,,,,,,,-,,,,,,"792,03",,,,,,,,,"4.044,77",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,,AL,,,,"96.892,80",,,,,,,,"328,02",,,,,,"97.220,82",,,,,,,,,"485.856,52",,,,,,,,
CORURIPE-AL,,,,,,,,,,AL,,,,"1.750.112,98",,,,,,,,"68.538,44",,,,,,"1.818.651,42",,,,,,,,,"9.855.300,11",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,,AL,,,,"22.038,82",,,,,,,,"30.799,25",,,,,,"52.838,07",,,,,,,,,"269.835,40",,,,,,,,
FLEXEIRAS-AL,,,,,,,,,,AL,,,,"670,18",,,,,,,,-,,,,,,"670,18",,,,,,,,,"3.422,52",,,,,,,,
IBATEGUARA-AL,,,,,,,,,,AL,,,,"700,64",,,,,,,,-,,,,,,"700,64",,,,,,,,,"3.578,07",,,,,,,,
IGREJA NOVA-AL,,,,,,,,,,AL,,,,"792,03",,,,,,,,-,,,,,,"792,03",,,,,,,,,"4.044,77",,,,,,,,
JACUIPE-AL,,,,,,,,,,AL,,,,"609,26",,,,,,,,-,,,,,,"609,26",,,,,,,,,"3.111,37",,,,,,,,
