ANADIA-AL,,,,,AL,,,,,"309,87",,,,,,,,,-,,,,,,"309,87",,,,,,,,,"3.408,83",,,,,,,,
ATALAIA-AL,,,,,AL,,,,,"400,26",,,,,,,,,-,,,,,,"400,26",,,,,,,,,"4.403,10",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"271,14",,,,,,,,,-,,,,,,"271,14",,,,,,,,,"2.982,73",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"258,23",,,,,,,,,-,,,,,,"258,23",,,,,,,,,"2.840,69",,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"348,61",,,,,,,,,-,,,,,,"348,61",,,,,,,,,"3.834,95",,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"271,14",,,,,,,,,-,,,,,,"271,14",,,,,,,,,"2.982,73",,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"322,79",,,,,,,,,-,,,,,,"322,79",,,,,,,,,"3.550,88",,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"258,23",,,,,,,,,-,,,,,,"258,23",,,,,,,,,"2.840,69",,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"400,26",,,,,,,,,-,,,,,,"400,26",,,,,,,,,"4.403,10",,,,,,,,
CAPELA-AL,,,,,AL,,,,,"322,79",,,,,,,,,-,,,,,,"322,79",,,,,,,,,"3.550,88",,,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"258,23",,,,,,,,,-,,,,,,"258,23",,,,,,,,,"2.840,69",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"309,87",,,,,,,,,-,,,,,,"309,87",,,,,,,,,"3.408,83",,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"437,86",,,,,,,,,"115,86",,,,,,"553,72",,,,,,,,,"5.749,12",,,,,,,,
CORURIPE-AL,,,,,AL,,,,,"1.091.758,08",,,,,,,,,"26.192,10",,,,,,"1.117.950,18",,,,,,,,,"5.086.800,81",,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"9.372,34",,,,,,,,,"12.845,97",,,,,,"22.218,31",,,,,,,,,"244.414,92",,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"271,14",,,,,,,,,-,,,,,,"271,14",,,,,,,,,"2.982,73",,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"296,96",,,,,,,,,-,,,,,,"296,96",,,,,,,,,"3.266,80",,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"335,70",,,,,,,,,-,,,,,,"335,70",,,,,,,,,"3.692,91",,,,,,,,
JACUIPE-AL,,,,,AL,,,,,"258,23",,,,,,,,,-,,,,,,"258,23",,,,,,,,,"2.840,69",,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,,"258,23",,,,,,,,,-,,,,,,"258,23",,,,,,,,,"2.840,69",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,,"3.798,74",,,,,,,,,"1.476,17",,,,,,"5.274,91",,,,,,,,,"21.450,20",,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,"335,70",,,,,,,,,-,,,,,,"335,70",,,,,,,,,"3.692,91",,,,,,,,
JUNDIA-AL,,,,,AL,,,,,"258,23",,,,,,,,,-,,,,,,"258,23",,,,,,,,,"2.840,69",,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,"335,70",,,,,,,,,-,,,,,,"335,70",,,,,,,,,"3.692,91",,,,,,,,
MACEIO-AL,,,,,AL,,,,,"87.908,56",,,,,,,,,"20.561,31",,,,,,"108.469,87",,,,,,,,,"519.242,51",,,,,,,,
MARAGOGI-AL,,,,,AL,,,,,"335,70",,,,,,,,,-,,,,,,"335,70",,,,,,,,,"3.692,91",,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,"144.578,29",,,,,,,,,"117.121,98",,,,,,"261.700,27",,,,,,,,,"1.279.697,70",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,"348,61",,,,,,,,,-,,,,,,"348,61",,,,,,,,,"3.834,95",,,,,,,,
MESSIAS-AL,,,,,AL,,,,,"271,14",,,,,,,,,-,,,,,,"271,14",,,,,,,,,"2.982,73",,,,,,,,
MURICI-AL,,,,,AL,,,,,"348,61",,,,,,,,,-,,,,,,"348,61",,,,,,,,,"3.834,95",,,,,,,,
NOVO LINO-AL,,,,,AL,,,,,"271,14",,,,,,,,,-,,,,,,"271,14",,,,,,,,,"2.982,73",,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,,"258,23",,,,,,,,,"10.602,08",,,,,,"10.860,31",,,,,,,,,"49.285,88",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,,"284,05",,,,,,,,,-,,,,,,"284,05",,,,,,,,,"3.124,76",,,,,,,,
PENEDO-AL,,,,,AL,,,,,"426,08",,,,,,,,,-,,,,,,"426,08",,,,,,,,,"4.687,17",,,,,,,,
PIACABUCU-AL,,,,,AL,,,,,"309,87",,,,,,,,,-,,,,,,"309,87",,,,,,,,,"3.408,83",,,,,,,,
PILAR-AL,,,,,AL,,,,,"238.947,23",,,,,,,,,"153.887,78",,,,,,"392.835,01",,,,,,,,,"1.833.709,96",,,,,,,,
PINDOBA-AL,,,,,AL,,,,,"258,23",,,,,,,,,-,,,,,,"258,23",,,,,,,,,"2.840,69",,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,,"335,70",,,,,,,,,-,,,,,,"335,70",,,,,,,,,"3.692,91",,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,,"271,14",,,,,,,,,-,,,,,,"271,14",,,,,,,,,"2.982,73",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,,"322,79",,,,,,,,,-,,,,,,"322,79",,,,,,,,,"3.550,88",,,,,,,,
RIO LARGO-AL,,,,,AL,,,,,"9.360,69",,,,,,,,,"5.762,82",,,,,,"15.123,51",,,,,,,,,"76.634,95",,,,,,,,
