ANADIA-AL,,,,,,,,AL,,,"629,36",,,,,,-,,,,,,,"629,36",,,,,,"6.255,41",,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"839,14",,,,,,-,,,,,,,"839,14",,,,,,"8.340,54",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"576,91",,,,,,-,,,,,,,"576,91",,,,,,"5.734,12",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"524,46",,,,,,-,,,,,,,"524,46",,,,,,"5.212,84",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"708,03",,,,,,-,,,,,,,"708,03",,,,,,"7.037,34",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"550,69",,,,,,-,,,,,,,"550,69",,,,,,"5.473,48",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"681,80",,,,,,-,,,,,,,"681,80",,,,,,"6.776,68",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"524,46",,,,,,-,,,,,,,"524,46",,,,,,"5.212,84",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"812,92",,,,,,-,,,,,,,"812,92",,,,,,"8.079,91",,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"629,36",,,,,,-,,,,,,,"629,36",,,,,,"6.255,41",,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"524,46",,,,,,-,,,,,,,"524,46",,,,,,"5.212,84",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"655,58",,,,,,-,,,,,,,"655,58",,,,,,"6.516,06",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"634,80",,,,,,"71,17",,,,,,,"705,97",,,,,,"7.130,67",,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"841.886,35",,,,,,"49.593,73",,,,,,,"891.480,08",,,,,,"6.255.721,44",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"18.850,54",,,,,,"26.343,64",,,,,,,"45.194,18",,,,,,"449.201,74",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"550,69",,,,,,-,,,,,,,"550,69",,,,,,"5.473,48",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"603,13",,,,,,-,,,,,,,"603,13",,,,,,"5.994,77",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"681,80",,,,,,-,,,,,,,"681,80",,,,,,"6.776,68",,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"524,46",,,,,,-,,,,,,,"524,46",,,,,,"5.212,84",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"524,46",,,,,,-,,,,,,,"524,46",,,,,,"5.212,84",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"550,69",,,,,,-,,,,,,,"550,69",,,,,,"55.428,19",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,"681,80",,,,,,-,,,,,,,"681,80",,,,,,"6.776,68",,,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,"524,46",,,,,,-,,,,,,,"524,46",,,,,,"5.235,32",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,"708,03",,,,,,-,,,,,,,"708,03",,,,,,"7.037,34",,,,,,,,,,
MACEIO-AL,,,,,,,,AL,,,"68.894,86",,,,,,"17.156,75",,,,,,,"86.051,61",,,,,,"586.295,75",,,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,"708,03",,,,,,-,,,,,,,"708,03",,,,,,"7.037,34",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,"85.196,69",,,,,,"74.145,54",,,,,,,"159.342,23",,,,,,"1.052.471,27",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,"708,03",,,,,,-,,,,,,,"708,03",,,,,,"7.037,34",,,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,"603,13",,,,,,-,,,,,,,"603,13",,,,,,"5.994,77",,,,,,,,,,
MURICI-AL,,,,,,,,AL,,,"708,03",,,,,,-,,,,,,,"708,03",,,,,,"7.037,34",,,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,"550,69",,,,,,-,,,,,,,"550,69",,,,,,"5.473,48",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,"524,46",,,,,,"7.939,21",,,,,,,"8.463,67",,,,,,"56.887,85",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,"576,91",,,,,,-,,,,,,,"576,91",,,,,,"5.734,12",,,,,,,,,,
PENEDO-AL,,,,,,,,AL,,,"589.818,05",,,,,,-,,,,,,,"589.818,05",,,,,,"3.721.323,77",,,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,"629,36",,,,,,-,,,,,,,"629,36",,,,,,"6.255,41",,,,,,,,,,
