ANADIA-AL,,,,,,,,,AL,,,,"578,70",,,,,,,,,-,,,,,,"578,70",,,,,,,,,"2.952,68",,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,,"747,48",,,,,,,,,-,,,,,,"747,48",,,,,,,,,"3.912,80",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,,"554,58",,,,,,,,,-,,,,,,"554,58",,,,,,,,,"2.730,73",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,,"482,25",,,,,,,,,-,,,,,,"482,25",,,,,,,,,"2.460,57",,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,,"651,03",,,,,,,,,-,,,,,,"651,03",,,,,,,,,"3.321,77",,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,,"506,36",,,,,,,,,-,,,,,,"506,36",,,,,,,,,"2.583,59",,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,,"626,92",,,,,,,,,-,,,,,,"626,92",,,,,,,,,"3.198,74",,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,,"482,25",,,,,,,,,-,,,,,,"482,25",,,,,,,,,"2.460,57",,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,,"771,60",,,,,,,,,-,,,,,,"771,60",,,,,,,,,"3.838,01",,,,,,,
CAPELA-AL,,,,,,,,,AL,,,,"578,70",,,,,,,,,-,,,,,,"578,70",,,,,,,,,"2.952,68",,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,,"482,25",,,,,,,,,-,,,,,,"482,25",,,,,,,,,"2.460,57",,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,,"626,92",,,,,,,,,-,,,,,,"626,92",,,,,,,,,"3.099,83",,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,,"81.743,10",,,,,,,,,"117,62",,,,,,"81.860,72",,,,,,,,,"355.821,54",,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,,"1.811.779,14",,,,,,,,,"60.785,29",,,,,,"1.872.564,43",,,,,,,,,"8.061.712,79",,,,,,,
