ANADIA-AL,,,AL,,,,"248,95",,,,,,-,,,,,"248,95",,,,,"248,95",,,,,,,,,,,
ATALAIA-AL,,,AL,,,,"311,18",,,,,,-,,,,,"311,18",,,,,"311,18",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
BOCA DA MATA-AL,,,AL,,,,"269,69",,,,,,-,,,,,"269,69",,,,,"269,69",,,,,,,,,,,
BRANQUINHA-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
CAJUEIRO-AL,,,AL,,,,"248,95",,,,,,-,,,,,"248,95",,,,,"248,95",,,,,,,,,,,
CAMPESTRE-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,,"311,18",,,,,,-,,,,,"311,18",,,,,"311,18",,,,,,,,,,,
CAPELA-AL,,,AL,,,,"269,69",,,,,,-,,,,,"269,69",,,,,"269,69",,,,,,,,,,,
CHA PRETA-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,,"248,95",,,,,,-,,,,,"248,95",,,,,"248,95",,,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
CORURIPE-AL,,,AL,,,,"35.521,33",,,,,,"10.736,08",,,,,"46.257,41",,,,,"46.257,41",,,,,,,,,,,
FELIZ DESERTO-AL,,,AL,,,,"7.309,90",,,,,,"10.017,54",,,,,"17.327,44",,,,,"17.327,44",,,,,,,,,,,
FLEXEIRAS-AL,,,AL,,,,"228,20",,,,,,-,,,,,"228,20",,,,,"228,2",,,,,,,,,,,
IBATEGUARA-AL,,,AL,,,,"238,57",,,,,,-,,,,,"238,57",,,,,"238,57",,,,,,,,,,,
IGREJA NOVA-AL,,,AL,,,,"259,32",,,,,,-,,,,,"259,32",,,,,"259,32",,,,,,,,,,,
JACUIPE-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
JAPARATINGA-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,,"259,32",,,,,,-,,,,,"259,32",,,,,"259,32",,,,,,,,,,,
JUNDIA-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
JUNQUEIRO-AL,,,AL,,,,"269,69",,,,,,-,,,,,"269,69",,,,,"269,69",,,,,,,,,,,
MACEIO-AL,,,AL,,,,"27.187,83",,,,,,"15.935,28",,,,,"43.123,11",,,,,"43.123,11",,,,,,,,,,,
MARAGOGI-AL,,,AL,,,,"248,95",,,,,,-,,,,,"248,95",,,,,"248,95",,,,,,,,,,,
MARECHAL DEODORO-AL,,,AL,,,,"49.161,70",,,,,,"25.658,64",,,,,"74.820,34",,,,,"74.820,34",,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,,"269,69",,,,,,-,,,,,"269,69",,,,,"269,69",,,,,,,,,,,
MESSIAS-AL,,,AL,,,,"217,83",,,,,,-,,,,,"217,83",,,,,"217,83",,,,,,,,,,,
MURICI-AL,,,AL,,,,"269,69",,,,,,-,,,,,"269,69",,,,,"269,69",,,,,,,,,,,
NOVO LINO-AL,,,AL,,,,"217,83",,,,,,-,,,,,"217,83",,,,,"217,83",,,,,,,,,,,
PARIPUEIRA-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,AL,,,,"228,20",,,,,,-,,,,,"228,20",,,,,"228,2",,,,,,,,,,,
PENEDO-AL,,,AL,,,,"331,93",,,,,,-,,,,,"331,93",,,,,"331,93",,,,,,,,,,,
PIACABUCU-AL,,,AL,,,,"238,57",,,,,,-,,,,,"238,57",,,,,"238,57",,,,,,,,,,,
PILAR-AL,,,AL,,,,"103.502,29",,,,,,"51.701,25",,,,,"155.203,54",,,,,"155.203,54",,,,,,,,,,,
PINDOBA-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
PORTO CALVO-AL,,,AL,,,,"280,07",,,,,,-,,,,,"280,07",,,,,"280,07",,,,,,,,,,,
PORTO DE PEDRAS-AL,,,AL,,,,"217,83",,,,,,-,,,,,"217,83",,,,,"217,83",,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,AL,,,,"248,95",,,,,,-,,,,,"248,95",,,,,"248,95",,,,,,,,,,,
RIO LARGO-AL,,,AL,,,,"1.390,83",,,,,,"683,27",,,,,"2.074,10",,,,,"2.074,10",,,,,,,,,,,
ROTEIRO-AL,,,AL,,,,"569,07",,,,,,"233,33",,,,,"802,40",,,,,"802,4",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,,"23.281,90",,,,,,-,,,,,"23.281,90",,,,,"23.281,90",,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,,"228,20",,,,,,-,,,,,"228,20",,,,,"228,2",,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,"269,69",,,,,,-,,,,,"269,69",,,,,"269,69",,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,,"290,44",,,,,,-,,,,,"290,44",,,,,"290,44",,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,,"66.646,89",,,,,,"25.295,52",,,,,"91.942,41",,,,,"91.942,41",,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,,"207,45",,,,,,-,,,,,"207,45",,,,,"207,45",,,,,,,,,,,
SATUBA-AL,,,AL,,,,"1.235,57",,,,,,"645,09",,,,,"1.880,66",,,,,"1.880,66",,,,,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,,"300,81",,,,,,-,,,,,"300,81",,,,,"300,81",,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,,"331,93",,,,,,-,,,,,"331,93",,,,,"331,93",,,,,,,,,,,
VICOSA-AL,,,AL,,,,"280,07",,,,,,-,,,,,"280,07",,,,,"280,07",,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,,-,,,,,,"32.320,30",,,,,"32.320,30",,,,,"32.320,30",,,,,,,,,,,
COARI-AM,,,AM,,,,"879.287,10",,,,,,"777.067,53",,,,,"1.656.354,63",,,,,"1.656.354,63",,,,,,,,,,,
IRANDUBA-AM,,,AM,,,,-,,,,,,"32.320,30",,,,,"32.320,30",,,,,"32.320,30",,,,,,,,,,,
MANAUS-AM,,,AM,,,,"23.074,45",,,,,,"17.622,18",,,,,"40.696,63",,,,,"40.696,63",,,,,,,,,,,
ACAJUTIBA-BA,,,BA,,,,"34,98",,,,,,-,,,,,"34,98",,,,,"34,98",,,,,,,,,,,
ADUSTINA-BA,,,BA,,,,"33,39",,,,,,-,,,,,"33,39",,,,,"33,39",,,,,,,,,,,
AGUA FRIA-BA,,,BA,,,,"36,57",,,,,,-,,,,,"36,57",,,,,"36,57",,,,,,,,,,,
AIQUARA-BA,,,BA,,,,"31,80",,,,,,-,,,,,"31,80",,,,,"31,80",,,,,,,,,,,
ALAGOINHAS-BA,,,BA,,,,"156.512,41",,,,,,"84.363,05",,,,,"240.875,46",,,,,"240.875,46",,,,,,,,,,,
AMARGOSA-BA,,,BA,,,,"44,52",,,,,,-,,,,,"44,52",,,,,"44,52",,,,,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,,"41,34",,,,,,-,,,,,"41,34",,,,,"41,34",,,,,,,,,,,
ANAGE-BA,,,BA,,,,"49,29",,,,,,-,,,,,"49,29",,,,,"49,29",,,,,,,,,,,
ANGUERA-BA,,,BA,,,,"31,80",,,,,,-,,,,,"31,80",,,,,"31,80",,,,,,,,,,,
ANTAS-BA,,,BA,,,,"33,39",,,,,,-,,,,,"33,39",,,,,"33,39",,,,,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,,"33,39",,,,,,-,,,,,"33,39",,,,,"33,39",,,,,,,,,,,
APORA-BA,,,BA,,,,"36,57",,,,,,-,,,,,"36,57",,,,,"36,57",,,,,,,,,,,
APUAREMA-BA,,,BA,,,,"33,39",,,,,,-,,,,,"33,39",,,,,"33,39",,,,,,,,,,,
ARACAS-BA,,,BA,,,,"57.320,10",,,,,,"20.063,78",,,,,"77.383,88",,,,,"77.383,88",,,,,,,,,,,
ARACI-BA,,,BA,,,,"50,88",,,,,,-,,,,,"50,88",,,,,"50,88",,,,,,,,,,,
ARAMARI-BA,,,BA,,,,"31,80",,,,,,-,,,,,"31,80",,,,,"31,80",,,,,,,,,,,
ARATUIPE-BA,,,BA,,,,"31,80",,,,,,-,,,,,"31,80",,,,,"31,80",,,,,,,,,,,
